epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,27.23,27.89,18.97,23.33,24.355,4.115446512834301
1,31.7,28.42,27.59,33.33,30.26,2.7088127780757865
2,33.48,32.63,32.76,30.0,32.2175,1.524868846819292
3,33.04,32.11,25.86,26.67,29.42,3.677707619337531
4,33.93,34.74,25.86,30.0,31.1325,4.07929221802018
5,38.84,38.95,34.48,33.33,36.400000000000006,2.9193264063250424
6,39.73,38.95,29.31,30.0,34.4975,5.607776594456428
7,41.52,44.74,34.48,33.33,38.5175,5.505938460728866
8,41.96,50.53,31.03,36.67,40.0475,8.29182880913493
9,39.73,44.74,29.31,33.33,36.7775,6.8256251239965815
10,45.54,50.53,31.03,43.33,42.6075,8.285048279883467
11,42.41,47.37,29.31,33.33,38.105000000000004,8.256833533504231
12,43.3,48.95,29.31,43.33,41.2225,8.374156176395726
13,45.54,50.53,32.76,43.33,43.03999999999999,7.4858221548025945
14,46.43,55.26,27.59,40.0,42.32,11.643181123158167
15,46.43,51.58,29.31,43.33,42.662499999999994,9.529789696875092
16,46.88,56.32,32.76,40.0,43.99,10.040152721282016
17,47.32,52.11,32.76,43.33,43.879999999999995,8.236572911917513
18,48.21,56.84,32.76,46.67,46.120000000000005,9.967925227113884
19,47.77,54.21,37.93,40.0,44.9775,7.471721689142337
20,45.54,51.58,31.03,40.0,42.0375,8.730087342060214
21,46.88,56.84,32.76,43.33,44.9525,9.938435071311114
22,46.43,55.26,27.59,43.33,43.1525,11.540601876274334
23,48.66,57.37,27.59,40.0,43.405,12.70622550825644
24,46.43,57.37,34.48,36.67,43.7375,10.46813378783439
25,47.77,60.0,32.76,40.0,45.1325,11.653615676404184
26,48.66,54.74,37.93,43.33,46.165000000000006,7.202039063117242
27,48.21,58.42,31.03,36.67,43.582499999999996,12.205368695783017
28,49.11,59.47,32.76,40.0,45.335,11.556263813764955
29,49.11,62.63,43.1,40.0,48.71,10.02102123870949
30,50.89,60.53,34.48,40.0,46.475,11.587937693998878
31,49.55,65.79,41.38,36.67,48.3475,12.787974494292156
32,50.89,63.68,36.21,43.33,48.5275,11.746126666551262
33,50.0,61.58,34.48,43.33,47.3475,11.420926334292387
34,55.36,64.21,41.38,46.67,51.905,10.025482532028068
35,53.57,63.16,37.93,46.67,50.332499999999996,10.681168397386744
36,50.45,65.26,41.38,36.67,48.44,12.587414349261726
37,51.34,66.32,37.93,46.67,50.565,11.883250116585666
38,53.57,62.63,37.93,40.0,48.5325,11.68093139836603
39,51.79,61.58,36.21,50.0,49.895,10.447017118137916
40,52.68,64.74,43.1,43.33,50.96249999999999,10.211811380292264
41,53.57,62.63,37.93,46.67,50.2,10.470205346601375
42,54.02,63.68,39.66,50.0,51.84,9.944445685909297
43,53.12,70.53,36.21,40.0,49.965,15.50671359981433
44,51.34,67.37,37.93,53.33,52.49250000000001,12.047628743173213
45,54.02,63.16,37.93,53.33,52.11,10.461220451425985
46,53.12,64.74,39.66,46.67,51.0475,10.65547550948963
47,52.23,64.74,37.93,53.33,52.057500000000005,10.986068071274028
48,55.36,66.84,37.93,56.67,54.2,11.999013848368264
49,53.57,62.63,37.93,50.0,51.0325,10.225498765341476
50,53.12,65.26,41.38,53.33,53.272499999999994,9.749500414551166
51,54.02,63.16,39.66,50.0,51.71,9.73935658381326
52,52.68,61.58,36.21,46.67,49.285,10.65343293653897
53,52.23,67.89,41.38,56.67,54.542500000000004,10.973924776487216
54,52.23,64.21,36.21,43.33,48.995000000000005,12.076283920699002
55,54.46,65.26,41.38,46.67,51.942499999999995,10.377206994177191
56,54.91,67.37,36.21,60.0,54.6225,13.298108574781104
57,53.57,67.89,37.93,50.0,52.347500000000004,12.334759489615786
58,54.91,66.32,36.21,60.0,54.36,12.96888841291599
