epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,26.34,27.37,18.97,23.33,24.0025,3.767504700284616
1,31.7,27.37,29.31,30.0,29.595,1.7913588882930926
2,33.93,31.58,29.31,26.67,30.3725,3.106513318819025
3,33.93,31.58,31.03,26.67,30.8025,3.0284800918392483
4,35.27,34.74,25.86,30.0,31.4675,4.425903862489561
5,37.95,38.42,34.48,33.33,36.045,2.522571439358394
6,39.73,37.37,29.31,30.0,34.1025,5.232713604494961
7,41.07,43.68,31.03,33.33,37.2775,6.055
8,41.52,48.95,27.59,36.67,38.682500000000005,8.954825049472865
9,41.52,44.74,31.03,33.33,37.655,6.525123242769698
10,45.09,48.42,29.31,40.0,40.705,8.348502859794685
11,44.2,50.0,27.59,36.67,39.615,9.697836528490948
12,41.52,50.0,29.31,43.33,41.040000000000006,8.628422026458065
13,45.09,51.58,31.03,43.33,42.7575,8.585628981035692
14,45.09,54.74,27.59,40.0,41.855000000000004,11.305156640518817
15,44.64,51.05,29.31,40.0,41.25,9.158933707952398
16,45.98,53.16,32.76,40.0,42.974999999999994,8.678730705965398
17,45.98,51.05,27.59,43.33,41.9875,10.118617741569249
18,48.21,58.95,32.76,46.67,46.647499999999994,10.749512779656577
19,47.32,55.26,34.48,40.0,44.265,9.021446668910702
20,45.54,49.47,36.21,40.0,42.805,5.866983892938517
21,47.32,57.89,36.21,43.33,46.1875,9.054407306205452
22,44.64,54.74,29.31,46.67,43.84,10.623555588094476
23,48.21,55.26,29.31,40.0,43.195,11.161178253213233
24,47.32,60.0,36.21,36.67,45.05,11.210492109329248
25,49.11,61.05,31.03,43.33,46.129999999999995,12.481143110041376
26,48.21,56.32,37.93,43.33,46.447500000000005,7.806819134577156
27,46.43,57.37,34.48,40.0,44.57,9.831795359953338
28,52.68,60.53,37.93,40.0,47.785000000000004,10.71017117821497
29,51.34,59.47,43.1,36.67,47.644999999999996,9.9094449895037
30,53.12,62.11,39.66,43.33,49.55499999999999,10.11597581386327
31,50.45,66.84,41.38,40.0,49.667500000000004,12.351117021009342
32,48.21,63.16,39.66,40.0,47.7575,11.002879547342745
33,50.45,60.0,32.76,40.0,45.8025,11.92957214935501
34,53.12,63.68,39.66,40.0,49.114999999999995,11.556520525948399
35,52.23,58.42,39.66,46.67,49.245000000000005,7.991530933849076
36,51.34,65.26,37.93,40.0,48.6325,12.55478494439471
37,53.57,63.16,41.38,53.33,52.86,8.918247211943235
38,54.91,61.05,43.1,36.67,48.932500000000005,11.059705767635348
39,53.12,63.16,39.66,46.67,50.6525,9.987016154320902
40,52.68,63.16,43.1,50.0,52.235,8.326605951206448
41,54.91,62.63,43.1,46.67,51.8275,8.736224871190073
42,52.23,60.53,34.48,46.67,48.47749999999999,10.932231778857721
43,54.02,66.84,36.21,46.67,50.935,12.877656360275086
44,54.46,66.32,37.93,53.33,53.010000000000005,11.644274701901072
45,54.02,64.21,39.66,46.67,51.14,10.502231508906412
46,54.91,65.79,39.66,43.33,50.9225,11.852322908752251
47,53.57,66.84,34.48,50.0,51.2225,13.306926454544893
48,54.02,67.37,37.93,40.0,49.830000000000005,13.704580742705463
49,54.91,64.21,39.66,36.67,48.8625,12.980255197799462
50,52.68,67.37,39.66,50.0,52.4275,11.434507349830747
51,55.36,59.47,41.38,56.67,53.22,8.077338670626606
52,52.23,62.11,34.48,36.67,46.3725,13.134550810743395
53,56.7,68.42,39.66,53.33,54.5275,11.834946486289383
54,55.36,64.74,37.93,40.0,49.5075,12.78947321041801
55,56.25,63.16,36.21,43.33,49.7375,12.201440830218917
56,55.36,63.16,43.1,53.33,53.7375,8.261123309413394
57,54.46,65.79,39.66,50.0,52.4775,10.825575812245129
58,56.7,68.95,39.66,60.0,56.3275,12.257774063833942
59,55.36,69.47,36.21,46.67,51.927499999999995,14.073645287084176
60,55.8,65.26,41.38,56.67,54.7775,9.899543339636095
61,55.36,69.47,37.93,50.0,53.19,13.074032787680064
62,56.25,71.58,37.93,60.0,56.44,13.958860985051752
63,55.8,68.95,39.66,56.67,55.269999999999996,12.014649391472064
64,54.02,66.32,37.93,56.67,53.735,11.788068826854829
65,54.91,68.95,41.38,50.0,53.81,11.539072753042161
66,57.14,66.84,37.93,50.0,52.9775,12.176316835014877
67,55.36,67.89,37.93,53.33,53.6275,12.287127071316007
68,54.02,67.89,36.21,60.0,54.53,13.469632511690882
69,55.36,67.37,41.38,60.0,56.0275,10.945743084261876
70,55.8,68.42,36.21,60.0,55.1075,13.647396271816834
71,55.36,65.79,44.83,53.33,54.8275,8.614957438470995
72,55.36,66.84,37.93,56.67,54.2,11.999013848368264
73,56.7,66.84,39.66,63.33,56.63249999999999,12.070899925026305
74,54.91,67.89,37.93,60.0,55.1825,12.680850063514406
75,54.91,66.32,41.38,60.0,55.652499999999996,10.59798526450507
76,58.48,74.21,41.38,60.0,58.5175,13.443061097334438
77,55.36,70.0,41.38,60.0,56.685,11.892253781348597
78,55.36,68.42,37.93,60.0,55.4275,12.85664387259236
79,56.7,66.32,41.38,50.0,53.6,10.546670880740832
80,57.59,72.63,41.38,53.33,56.2325,12.906614260396356
81,57.14,67.89,41.38,53.33,54.935,10.939349462681346
82,58.48,70.53,41.38,56.67,56.765,11.959984671116151
83,58.04,70.53,41.38,60.0,57.4875,12.057864307855958
84,58.04,71.05,43.1,60.0,58.0475,11.49355000279142
85,58.48,71.58,43.1,60.0,58.29,11.695018882698164
86,58.48,70.0,43.1,60.0,57.894999999999996,11.10849974869094
87,58.04,70.53,44.83,56.67,57.5175,10.508553262303364
88,55.8,71.58,43.1,53.33,55.9525,11.780015209384633
89,58.04,70.53,41.38,60.0,57.4875,12.057864307855958
90,56.7,68.95,39.66,56.67,55.495000000000005,12.0362909569352
91,56.25,70.0,44.83,56.67,56.9375,10.291819971867627
92,58.93,71.05,39.66,53.33,55.74249999999999,13.024933461122428
93,57.14,68.42,46.55,53.33,56.36,9.155490156184978
94,57.14,70.0,43.1,60.0,57.56,11.105181973595329
95,56.25,70.53,44.83,56.67,57.07000000000001,10.5169957687545
96,56.7,70.53,43.1,53.33,55.915000000000006,11.330208883040655
97,56.25,68.42,41.38,50.0,54.0125,11.376330325138536
98,57.59,70.53,43.1,63.33,58.6375,11.632745090189731
99,56.7,71.05,41.38,56.67,56.45,12.115772089855986
100,58.48,68.42,43.1,56.67,56.667500000000004,10.416068916182663
101,58.04,70.53,48.28,60.0,59.2125,9.121408425603288
102,55.36,68.95,48.28,53.33,56.480000000000004,8.830209510538243
103,57.14,72.11,37.93,43.33,52.6275,15.301312307554973
104,56.7,72.11,43.1,53.33,56.31,12.016330554707622
105,56.25,73.16,43.1,56.67,57.295,12.31095582533433
106,56.25,72.11,39.66,60.0,57.005,13.398384230943671
107,56.7,68.42,37.93,60.0,55.7625,12.871747809317377
108,60.71,73.16,37.93,60.0,57.95,14.651104622746594
109,57.14,68.42,44.83,60.0,57.5975,9.765873830163212
110,58.93,72.63,39.66,60.0,57.805,13.602760749200876
111,55.8,70.0,41.38,60.0,56.795,11.87793893456829
112,56.25,69.47,44.83,60.0,57.6375,10.19062763850523
113,59.38,71.58,41.38,60.0,58.085,12.470181768255557
114,58.48,72.11,43.1,56.67,57.59,11.866324901445546
115,58.48,71.58,48.28,63.33,60.417500000000004,9.732366533034671
116,58.48,72.63,48.28,60.0,59.8475,9.984866465473301
117,60.27,73.16,43.1,60.0,59.1325,12.32691195447316
118,61.61,71.05,44.83,60.0,59.3725,10.851243784316463
119,58.93,70.0,43.1,60.0,58.0075,11.118673107285177
120,59.38,70.53,44.83,53.33,57.0175,10.805891525768095
121,60.27,73.16,46.55,60.0,59.995000000000005,10.865248885015626
122,59.38,70.0,44.83,60.0,58.552499999999995,10.362307899305058
123,58.93,71.05,46.55,60.0,59.13249999999999,10.018976577808068
124,59.82,71.05,44.83,60.0,58.925,10.764777440027887
125,58.48,68.42,44.83,60.0,57.932500000000005,9.767931800881223
126,55.8,70.0,44.83,63.33,58.489999999999995,10.797181731050625
127,58.48,71.05,43.1,60.0,58.1575,11.495559649998196
128,59.82,74.21,44.83,60.0,59.715,11.996673149947307
129,60.71,73.68,48.28,60.0,60.667500000000004,10.379831003762378
130,58.93,71.58,41.38,60.0,57.9725,12.456627084942909
131,60.71,72.11,46.55,63.33,60.675,10.60385307329369
132,58.93,71.58,44.83,60.0,58.834999999999994,10.953558021635406
133,59.82,70.0,46.55,60.0,59.0925,9.620129503632823
134,58.93,71.58,46.55,63.33,60.0975,10.44341379371069
135,57.59,69.47,51.72,56.67,58.8625,7.526855806599016
136,57.59,73.16,46.55,53.33,57.6575,11.290643250054444
137,58.93,74.21,44.83,60.0,59.49249999999999,12.002328593513285
138,62.05,71.05,44.83,60.0,59.4825,10.883667810072117
139,58.04,71.05,46.55,60.0,58.91,10.034842632880034
140,59.38,73.16,44.83,60.0,59.3425,11.575400281055797
141,60.27,72.11,48.28,63.33,60.9975,9.852111025900319
142,61.16,73.16,46.55,56.67,59.385000000000005,11.030407970696277
143,61.61,71.58,46.55,60.0,59.935,10.288733320158189
144,59.38,73.16,50.0,56.67,59.802499999999995,9.73828997651367
145,61.16,70.53,46.55,56.67,58.727500000000006,9.962276764541995
146,59.82,69.47,46.55,56.67,58.1275,9.445981067805151
147,61.16,71.58,48.28,60.0,60.255,9.53135702125708
148,62.5,74.21,48.28,60.0,61.247499999999995,10.634965522589464
149,61.16,71.58,44.83,60.0,59.3925,11.016573499353902
150,61.61,70.53,43.1,60.0,58.809999999999995,11.451617061940787
151,57.14,71.05,46.55,60.0,58.685,10.070877154779849
152,61.61,71.05,46.55,60.0,59.802499999999995,10.090277085723002
153,58.93,70.53,46.55,60.0,59.0025,9.814076200369891
154,61.16,70.53,46.55,60.0,59.56,9.871754318931027
155,61.16,72.63,48.28,60.0,60.5175,9.952381205855541
156,60.71,72.63,44.83,60.0,59.542500000000004,11.39170275536834
157,59.38,71.58,48.28,60.0,59.81,9.51656100349981
158,59.82,72.63,55.17,60.0,61.905,7.49137504067177
159,58.93,73.16,48.28,60.0,60.0925,10.19239381434345
160,60.71,72.63,46.55,60.0,59.9725,10.660213803359355
161,59.38,71.58,46.55,60.0,59.3775,10.227956377823807
162,60.27,73.16,46.55,60.0,59.995000000000005,10.865248885015626
163,58.04,68.42,46.55,60.0,58.2525,9.007875720723508
164,59.82,72.11,51.72,60.0,60.9125,8.404607367390817
165,61.61,73.16,46.55,60.0,60.33,10.897164768874516
166,60.71,71.58,46.55,60.0,59.709999999999994,10.249660156967808
167,59.82,71.05,50.0,63.33,61.05,8.733342239181209
168,62.95,72.11,44.83,60.0,59.9725,11.335496974842643
169,59.82,72.63,46.55,60.0,59.75,10.648971781350534
170,62.5,72.63,46.55,60.0,60.42,10.738773983405492
171,60.27,70.0,44.83,63.33,59.6075,10.656367032592927
172,58.93,69.47,46.55,60.0,58.7375,9.404833420463474
173,62.05,70.53,46.55,60.0,59.7825,9.929697460983729
174,60.71,70.0,46.55,63.33,60.147499999999994,9.872663858689137
175,61.16,70.0,46.55,60.0,59.427499999999995,9.677070407239304
176,59.82,72.63,46.55,60.0,59.75,10.648971781350534
177,61.16,70.53,46.55,60.0,59.56,9.871754318931027
178,60.71,73.68,48.28,60.0,60.667500000000004,10.379831003762378
179,61.16,74.21,46.55,63.33,61.3125,11.377909518009007
180,59.38,71.05,46.55,60.0,59.245000000000005,10.018471273935292
181,60.71,74.21,44.83,56.67,59.105000000000004,12.116681338826512
182,58.48,70.0,46.55,66.67,60.425,10.439976053612385
183,60.27,72.11,46.55,60.0,59.7325,10.445753124276552
184,58.48,72.11,44.83,63.33,59.6875,11.398679382571768
185,60.71,70.0,48.28,70.0,62.2475,10.290083818900602
186,60.71,71.58,46.55,63.33,60.54249999999999,10.414967994830006
187,61.16,72.63,48.28,63.33,61.349999999999994,10.033606862273738
188,60.71,71.58,46.55,66.67,61.3775,10.838232866416309
189,60.27,70.0,46.55,60.0,59.205,9.634093972277137
190,59.82,70.53,46.55,63.33,60.05749999999999,10.04807568641877
191,61.61,73.68,48.28,63.33,61.72500000000001,10.428795072618252
192,60.27,72.11,51.72,70.0,63.525,9.408877014111019
193,60.27,70.53,44.83,66.67,60.575,11.317377493630463
194,61.16,71.58,48.28,63.33,61.087500000000006,9.646392676366986
195,59.82,69.47,48.28,66.67,61.06,9.435150590566462
196,60.27,72.11,50.0,70.0,63.095,10.139179782737195
197,61.16,71.05,46.55,60.0,59.69,10.065886283217521
198,62.95,72.11,43.1,60.0,59.54,12.112227981121666
199,61.61,73.68,44.83,60.0,60.03,11.830184557591092
