epoch,local_time_s,peak_vram_mb
0,74.2,3921.13
1,99.13,3920.58
2,99.05,3917.97
3,99.11,3917.21
4,98.95,3918.14
5,99.05,3917.6
6,98.94,3917.35
7,99.01,3917.89
8,99.04,3917.08
9,99.58,3917.72
10,99.96,3916.97
11,99.73,3916.85
12,99.62,3914.77
13,99.7,3914.89
14,99.68,3914.35
15,99.82,3917.16
16,99.88,3916.22
17,99.67,3914.91
18,99.79,3915.29
19,99.81,3915.39
20,99.66,3916.16
21,99.7,3914.96
22,99.73,3914.97
23,99.53,3916.47
24,99.7,3916.47
25,99.78,3915.54
26,99.62,3915.04
27,99.82,3916.27
28,99.62,3916.46
29,99.72,3916.97
30,99.75,3917.35
31,99.69,3916.52
32,99.73,3915.39
33,99.66,3916.04
34,99.61,3915.6
35,99.93,3915.04
36,99.68,3915.39
37,99.67,3914.79
38,99.58,3915.16
39,99.64,3915.66
40,99.72,3915.41
41,99.66,3915.04
42,99.72,3914.39
43,99.7,3914.41
44,99.67,3915.04
45,99.74,3915.66
46,99.66,3915.89
47,99.62,3915.39
48,99.67,3915.54
49,99.58,3917.16
50,99.7,3915.91
51,99.74,3916.46
52,99.81,3917.04
53,99.79,3916.79
54,99.69,3917.6
55,99.11,3917.46
56,99.14,3916.41
57,99.12,3916.41
58,99.29,3916.27
59,98.96,3916.29
60,99.06,3916.16
61,99.05,3915.54
62,99.02,3915.04
63,98.96,3916.54
64,98.98,3915.91
65,99.05,3914.77
66,99.14,3915.29
67,98.99,3915.91
68,99.06,3916.39
69,99.04,3916.47
70,99.08,3917.21
71,99.07,3916.97
72,98.94,3916.04
73,99.14,3916.91
74,99.08,3916.33
75,99.11,3915.54
76,99.08,3915.54
77,99.05,3916.39
78,99.0,3916.96
79,99.03,3914.96
80,98.99,3915.16
81,99.0,3914.02
82,99.07,3915.39
83,99.01,3915.54
84,98.89,3914.54
85,99.01,3914.29
86,98.97,3915.29
87,99.32,3916.27
88,99.76,3916.72
89,99.53,3916.04
90,99.54,3917.02
91,99.55,3916.6
92,99.66,3914.91
93,99.61,3916.04
94,99.66,3916.29
95,99.51,3918.02
96,99.52,3918.86
97,99.33,3917.41
98,99.16,3916.97
99,99.74,3918.83
100,99.71,3918.85
101,99.87,3918.64
102,98.95,3918.04
103,99.06,3917.46
104,98.94,3917.29
105,98.91,3918.22
106,99.15,3917.89
107,99.09,3917.41
108,98.98,3919.04
109,99.15,3917.16
110,98.99,3916.89
111,98.99,3917.41
112,99.06,3917.41
113,99.03,3918.77
114,99.03,3917.91
115,98.98,3917.14
116,98.99,3915.02
117,98.97,3916.52
118,99.04,3916.89
119,99.02,3917.14
120,99.03,3917.41
121,98.99,3919.77
122,99.14,3917.85
123,99.03,3918.27
124,99.13,3919.47
125,98.92,3917.14
126,99.06,3919.47
127,99.07,3918.63
128,99.06,3917.79
129,98.94,3916.54
130,99.09,3917.29
131,99.0,3916.27
132,99.02,3916.6
133,99.09,3917.35
134,99.18,3918.41
135,98.99,3916.29
136,99.04,3916.91
137,98.97,3916.41
138,98.89,3918.02
139,99.0,3918.39
140,98.88,3916.04
141,98.98,3916.41
142,99.07,3918.16
143,98.98,3918.16
144,98.92,3916.02
145,99.07,3916.79
146,99.04,3916.66
147,98.98,3916.66
148,99.02,3916.72
149,99.0,3917.16
150,98.96,3918.16
151,99.1,3917.16
152,98.99,3916.29
153,98.95,3915.29
154,98.98,3915.27
155,99.0,3916.29
156,99.0,3916.29
157,99.04,3916.52
158,98.99,3917.16
159,99.11,3917.66
160,99.0,3917.54
161,98.96,3915.79
162,98.89,3915.79
163,99.06,3914.89
164,99.01,3915.66
165,98.97,3915.58
166,99.08,3915.91
167,99.18,3915.16
168,99.15,3915.91
169,99.11,3916.04
170,99.17,3915.89
171,99.03,3915.91
172,99.11,3916.35
173,99.05,3915.52
174,98.93,3916.35
175,98.94,3916.77
176,99.06,3917.52
177,98.99,3917.14
178,99.03,3916.54
179,98.93,3917.16
180,99.03,3915.64
181,98.96,3915.41
182,99.02,3916.04
183,99.18,3915.66
184,99.21,3916.79
185,99.06,3917.16
186,99.0,3916.64
187,99.16,3916.29
188,99.12,3915.6
189,99.08,3916.04
190,99.18,3916.04
191,99.06,3915.1
192,99.09,3914.79
193,99.08,3915.66
194,99.17,3916.79
195,99.05,3916.41
196,99.1,3915.54
197,99.11,3915.79
198,99.14,3916.41
199,99.17,3915.91
