epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,8.48,9.47,10.34,13.33,10.405000000000001,2.0928210625851413
1,20.54,16.32,25.86,36.67,24.8475,8.795253928492723
2,24.11,16.32,37.93,36.67,28.7575,10.37678619162343
3,25.89,18.42,36.21,40.0,30.130000000000003,9.823186855598339
4,26.34,16.84,34.48,43.33,30.2475,11.315114891153337
5,27.23,17.37,34.48,43.33,30.6025,11.007528862858667
6,27.68,20.0,34.48,43.33,31.3725,9.926507861948899
7,28.57,19.47,36.21,40.0,31.0625,9.073299197829494
8,29.46,20.53,36.21,43.33,32.3825,9.721458652554837
9,28.57,20.0,34.48,43.33,31.595,9.82561448460095
10,29.02,21.58,36.21,43.33,32.535,9.35244887716581
11,29.46,21.58,36.21,43.33,32.644999999999996,9.299765230011634
12,31.7,24.74,43.1,46.67,36.552499999999995,10.137643957054323
13,30.36,23.16,44.83,46.67,36.254999999999995,11.375894104054709
14,30.8,23.16,44.83,43.33,35.53,10.37175330726038
15,32.59,21.05,41.38,43.33,34.587500000000006,10.162402521057706
16,30.8,25.79,43.1,43.33,35.754999999999995,8.85405556793044
17,32.14,27.37,44.83,46.67,37.7525,9.46765150393697
18,32.14,27.37,51.72,46.67,39.475,11.576431516951443
19,32.14,26.32,41.38,46.67,36.6275,9.125427387251515
20,33.93,27.89,43.1,50.0,38.730000000000004,9.77506010211702
21,32.59,27.89,46.55,46.67,38.425,9.644153669451766
22,33.48,30.53,46.55,46.67,39.3075,8.517912009407
23,32.59,30.0,53.45,50.0,41.510000000000005,11.926024763795631
24,34.38,28.95,44.83,50.0,39.54,9.59460612358145
25,33.04,31.58,51.72,50.0,41.585,10.749379827072197
26,35.27,31.58,48.28,50.0,41.2825,9.224035179898221
27,33.93,31.05,51.72,50.0,41.675,10.69397493918889
28,35.27,32.63,50.0,53.33,42.807500000000005,10.37385294863967
29,34.82,35.79,48.28,50.0,42.2225,8.028218461568338
30,34.82,32.63,53.45,50.0,42.725,10.525355100898022
31,33.04,35.26,50.0,46.67,41.2425,8.351105216277265
32,33.93,35.79,51.72,46.67,42.0275,8.562968235372592
33,36.61,34.21,50.0,50.0,42.705,8.480332147583216
34,35.27,35.26,50.0,50.0,42.6325,8.507257196065016
35,35.71,31.58,48.28,50.0,41.3925,9.130583679772798
36,35.27,36.32,50.0,50.0,42.8975,8.212455479331378
37,34.38,34.74,48.28,50.0,41.85,8.448281876610572
38,36.61,33.68,48.28,43.33,40.474999999999994,6.587343926044852
39,36.16,35.26,50.0,43.33,41.1875,6.895928146377398
40,37.95,37.89,48.28,46.67,42.697500000000005,5.555654026905083
41,44.2,41.58,48.28,46.67,45.182500000000005,2.9297596602224343
42,39.73,36.84,51.72,50.0,44.5725,7.388862677480659
43,35.71,37.89,50.0,50.0,43.4,7.672813477901483
44,42.86,38.95,50.0,46.67,44.620000000000005,4.774704179318337
45,37.95,37.89,44.83,46.67,41.835,4.582702986957224
46,37.5,39.47,43.1,50.0,42.5175,5.501202141350562
47,39.73,38.42,50.0,50.0,44.5375,6.3301836466251125
48,39.73,40.0,48.28,50.0,44.5025,5.401890872648208
49,41.07,41.58,50.0,50.0,45.6625,5.012839348446481
50,38.84,36.32,50.0,50.0,43.79,7.2441148527615145
51,44.64,41.58,43.1,56.67,46.4975,6.895768630109338
52,40.62,41.05,48.28,53.33,45.81999999999999,6.116769299774733
53,41.07,40.53,48.28,56.67,46.6375,7.56411429051677
54,44.2,43.68,53.45,56.67,49.5,6.5567725800630505
55,45.98,44.74,50.0,53.33,48.5125,3.918599877507271
56,42.86,42.11,46.55,50.0,45.379999999999995,3.640357125338117
57,45.54,43.68,48.28,53.33,47.707499999999996,4.197581645026892
58,44.64,43.16,48.28,53.33,47.35249999999999,4.5286302196874795
59,43.3,42.11,46.55,53.33,46.32249999999999,5.034463725164777
60,42.41,40.53,48.28,50.0,45.305,4.548820359902847
61,45.98,43.68,53.45,50.0,48.2775,4.325786055735999
62,44.2,44.21,48.28,53.33,47.504999999999995,4.332485814556502
63,43.75,40.53,50.0,53.33,46.9025,5.815332463984038
64,46.88,47.37,50.0,53.33,49.394999999999996,2.9595100945933597
65,44.2,39.47,53.45,56.67,48.447500000000005,7.984803796378888
66,43.75,44.74,51.72,53.33,48.385000000000005,4.842330706040909
67,46.88,45.26,46.55,60.0,49.6725,6.920391968667672
68,45.54,44.21,46.55,53.33,47.4075,4.062957666528165
69,45.54,45.79,50.0,53.33,48.66499999999999,3.722709586667575
70,44.64,44.21,50.0,53.33,48.045,4.399033984865312
71,47.32,47.37,48.28,63.33,51.575,7.849078502176757
72,46.88,49.47,50.0,63.33,52.42,7.399968468401289
73,44.64,45.26,53.45,63.33,51.67,8.74896184317507
74,46.43,46.32,46.55,60.0,49.825,6.783983588816628
75,43.3,43.16,48.28,60.0,48.685,7.910269696202948
76,46.88,48.95,46.55,66.67,52.2625,9.663551365828198
77,49.11,48.95,50.0,63.33,52.8475,7.0035818217061845
78,45.09,43.68,55.17,66.67,52.6525,10.654033273835783
79,48.66,46.32,46.55,70.0,52.88249999999999,11.460152340465056
80,47.32,51.05,48.28,70.0,54.1625,10.676105329191914
81,45.98,45.26,51.72,70.0,53.239999999999995,11.541172672942151
82,45.09,43.68,48.28,70.0,51.7625,12.309661178656922
83,49.55,54.74,51.72,63.33,54.834999999999994,6.050027548146647
84,49.55,52.63,53.45,70.0,56.4075,9.215886193597083
85,50.45,50.53,50.0,66.67,54.41250000000001,8.174995922527016
86,45.98,47.89,55.17,63.33,53.0925,7.890417711798702
87,47.32,54.21,55.17,70.0,56.675,9.54660323535724
88,44.64,48.95,51.72,66.67,52.995000000000005,9.570776701327153
89,47.77,55.26,53.45,63.33,54.9525,6.432285104585045
90,48.21,53.68,48.28,63.33,53.375,7.114101020742769
91,48.21,55.79,51.72,73.33,57.2625,11.150483920739344
92,47.32,52.63,55.17,73.33,57.1125,11.29552234294634
93,46.88,50.53,53.45,73.33,56.0475,11.830999887301719
94,48.66,53.68,46.55,73.33,55.55499999999999,12.221528818714404
95,48.66,55.79,48.28,70.0,55.6825,10.150777884806006
96,47.32,49.47,53.45,73.33,55.8925,11.899138274121645
97,46.88,52.11,50.0,63.33,53.08,7.163095234138194
98,49.11,51.05,50.0,73.33,55.8725,11.665311468909291
99,47.77,52.11,60.34,70.0,57.555,9.798443753984609
100,45.98,51.05,53.45,70.0,55.120000000000005,10.397240018389496
101,48.21,53.16,51.72,73.33,56.605000000000004,11.342147063056448
102,47.77,57.89,58.62,73.33,59.4025,10.522836673951877
103,46.43,47.89,55.17,73.33,55.705,12.356195477033642
104,51.34,54.74,55.17,73.33,58.644999999999996,9.938760821484065
105,49.55,55.26,58.62,73.33,59.19,10.142961434742157
106,48.66,52.63,50.0,73.33,56.155,11.568135833688446
107,49.55,54.21,46.55,73.33,55.91,12.033364727567543
108,48.21,53.16,50.0,73.33,56.175,11.618320303153405
109,49.55,54.74,58.62,73.33,59.06,10.213210399608277
110,48.21,56.32,58.62,73.33,59.120000000000005,10.472856980467808
111,46.43,52.11,53.45,73.33,56.33,11.734746127064984
112,46.88,52.63,55.17,73.33,57.0025,11.42408384364657
113,45.54,51.05,53.45,73.33,55.8425,12.119492219836054
114,49.55,54.21,58.62,73.33,58.927499999999995,10.291078255783825
115,49.11,55.79,53.45,73.33,57.92,10.639580192219364
116,49.55,54.74,55.17,73.33,58.19749999999999,10.406598467639013
117,50.45,56.32,51.72,73.33,57.955,10.55563198802737
118,48.21,54.74,58.62,73.33,58.724999999999994,10.64209409217315
119,49.11,55.26,58.62,73.33,59.08,10.283763902385155
120,49.55,53.16,55.17,73.33,57.802499999999995,10.609584896058218
