epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,8.93,9.47,10.34,13.33,10.5175,1.9629123770560928
1,18.75,13.68,13.79,10.0,14.055,3.5915131444374064
2,23.21,14.74,12.07,10.0,15.005,5.803921088367759
3,21.43,17.89,13.79,13.33,16.61,3.8114564145481187
4,28.57,27.89,17.24,13.33,21.7575,7.647402064317878
5,29.02,30.0,12.07,13.33,21.105,9.727111595946662
6,34.82,36.32,18.97,20.0,27.5275,9.316341824986889
7,35.27,37.37,20.69,26.67,30.0,7.742841855546321
8,39.73,39.47,18.97,16.67,28.709999999999997,12.610144064733491
9,41.07,45.26,15.52,30.0,32.9625,13.291316400818493
10,40.18,48.95,18.97,33.33,35.3575,12.65798134248375
11,41.96,45.79,24.14,30.0,35.4725,10.11454851521642
12,45.98,50.53,22.41,33.33,38.0625,12.721670160268527
13,42.41,56.84,27.59,36.67,40.8775,12.266630547954074
14,49.55,54.21,29.31,26.67,39.935,13.965131578327501
15,50.89,56.32,27.59,43.33,44.5325,12.48809132734062
16,52.68,61.05,29.31,36.67,44.927499999999995,14.515840485483436
17,50.45,61.58,25.86,30.0,41.9725,16.92409992683018
18,47.32,58.95,36.21,26.67,42.28750000000001,13.949997311827698
19,49.55,57.89,25.86,26.67,39.99250000000001,16.21607098940225
20,54.02,59.47,31.03,26.67,42.7975,16.355295523672652
21,54.02,63.68,31.03,46.67,48.85000000000001,13.77149955524089
22,49.55,55.79,32.76,30.0,42.025,12.603461164828229
23,54.02,61.58,29.31,43.33,47.06,14.002944928359414
24,56.25,68.42,34.48,43.33,50.620000000000005,14.856879439056735
25,53.57,56.32,27.59,36.67,43.537499999999994,13.729878307302412
26,56.25,70.53,32.76,46.67,51.552499999999995,15.908162213153348
27,54.91,65.79,36.21,40.0,49.2275,13.67734471062762
28,52.68,60.53,37.93,40.0,47.785000000000004,10.71017117821497
29,54.02,65.79,29.31,43.33,48.1125,15.53274900546155
30,55.36,66.32,34.48,36.67,48.207499999999996,15.283750357814666
31,54.91,65.26,44.83,43.33,52.082499999999996,10.179166223222806
32,58.48,68.42,32.76,63.33,55.7475,15.85326753911214
33,57.59,69.47,37.93,43.33,52.08,14.254323320780026
34,56.25,71.05,34.48,46.67,52.1125,15.45179250658857
35,56.7,65.26,41.38,46.67,52.5025,10.61603935875648
36,58.04,67.37,39.66,43.33,52.099999999999994,12.91153231288474
37,55.8,65.79,34.48,36.67,48.185,15.147568561763746
38,55.8,65.26,34.48,33.33,47.2175,15.856625061258573
39,58.93,70.53,44.83,56.67,57.74000000000001,10.532698293093436
40,54.91,64.74,41.38,53.33,53.59,9.57804085743356
41,55.36,67.89,36.21,40.0,49.865,14.593067989060195
42,55.36,68.42,41.38,53.33,54.6225,11.074735136035232
43,56.7,68.42,36.21,40.0,50.3325,14.987864813463814
44,55.8,63.68,39.66,40.0,49.785,11.937519284452137
45,57.59,72.11,34.48,50.0,53.544999999999995,15.674421839417237
46,57.14,71.05,43.1,50.0,55.3225,11.949561707443497
47,58.48,71.58,41.38,53.33,56.192499999999995,12.511486389181208
48,58.93,75.79,41.38,50.0,56.525,14.706811347127562
49,53.57,66.84,43.1,50.0,53.3775,9.971801492207916
50,60.71,69.47,43.1,43.33,54.1525,13.126447539224008
51,55.36,68.42,46.55,60.0,57.582499999999996,9.127819655682659
52,56.25,70.0,44.83,56.67,56.9375,10.291819971867627
53,57.59,67.37,39.66,53.33,54.4875,11.500418470647059
54,55.36,67.89,46.55,40.0,52.45,12.064744782491948
55,57.59,70.0,36.21,50.0,53.45,14.144047039891612
56,59.38,73.68,36.21,56.67,56.485,15.439763599226515
57,56.7,71.58,43.1,46.67,54.5125,12.751923711085057
58,59.38,74.21,37.93,53.33,56.212500000000006,15.016676008136198
59,59.82,72.63,41.38,40.0,53.457499999999996,15.652864221391985
60,58.04,70.53,44.83,60.0,58.349999999999994,10.550851466429934
61,56.7,74.74,37.93,43.33,53.175,16.399277423106174
62,56.7,71.58,41.38,46.67,54.082499999999996,13.282977515100546
63,57.59,76.32,43.1,53.33,57.584999999999994,13.891490200838783
64,61.61,71.58,44.83,60.0,59.504999999999995,11.042905716643
65,54.02,69.47,41.38,56.67,55.385000000000005,11.518705077684151
66,57.14,71.58,39.66,53.33,55.427499999999995,13.125667919513022
67,60.27,73.16,41.38,66.67,60.370000000000005,13.710144662499612
68,60.27,74.21,44.83,66.67,61.495000000000005,12.485654434857095
69,56.7,72.63,37.93,60.0,56.815,14.340094141950392
70,55.8,73.68,41.38,60.0,57.715,13.299146589161277
71,58.93,70.53,39.66,66.67,58.947500000000005,13.733162721432137
72,56.7,72.11,43.1,63.33,58.81,12.228063351705915
73,62.05,72.63,37.93,60.0,58.1525,14.57339213544099
74,58.04,70.53,41.38,66.67,59.155,12.949384798771973
75,56.25,73.68,41.38,56.67,56.995000000000005,13.201996061202262
76,58.93,72.63,37.93,63.33,58.205,14.673644173596868
77,58.93,72.11,41.38,66.67,59.772499999999994,13.401284453364907
78,58.04,70.53,37.93,63.33,57.457499999999996,13.988555739127134
79,59.38,75.26,37.93,50.0,55.642500000000005,15.752096950353417
80,58.48,69.47,43.1,60.0,57.762499999999996,10.917503911914418
81,59.82,74.21,39.66,53.33,56.754999999999995,14.353175026220969
82,62.05,72.63,37.93,56.67,57.32000000000001,14.52771603980933
83,58.48,75.79,41.38,50.0,56.4125,14.683985324155023
84,56.7,73.16,34.48,36.67,50.2525,18.253582981613956
85,58.48,72.11,37.93,50.0,54.63,14.384016592500627
86,62.5,71.58,39.66,63.33,59.2675,13.699205268919801
87,56.7,72.63,44.83,50.0,56.03999999999999,12.080416659481022
88,59.82,66.32,44.83,53.33,56.07499999999999,9.182775542648672
89,58.93,67.89,41.38,53.33,55.38249999999999,11.095120173601847
90,60.27,74.21,41.38,60.0,58.964999999999996,13.471160553815198
91,60.27,72.63,37.93,66.67,59.375,15.16136647315582
92,59.38,72.63,37.93,56.67,56.6525,14.297459855979078
93,60.27,75.26,39.66,53.33,57.129999999999995,14.812127913751402
94,57.14,74.74,43.1,50.0,56.245,13.597268107969333
95,56.25,74.21,39.66,56.67,56.69749999999999,14.108686154280985
96,58.93,76.84,39.66,63.33,59.69,15.374769374964082
97,57.59,72.63,37.93,53.33,55.370000000000005,14.27294877264914
98,57.59,68.42,37.93,56.67,55.1525,12.660769789656026
99,59.38,72.11,36.21,66.67,58.5925,15.806805232768154
100,58.93,72.63,36.21,70.0,59.4425,16.58696953434633
101,54.46,68.95,32.76,43.33,49.875,15.498796727488235
102,58.93,73.16,39.66,63.33,58.769999999999996,14.060386433760158
103,57.59,72.11,41.38,53.33,56.10249999999999,12.687151965669836
104,58.48,73.68,34.48,63.33,57.49249999999999,16.59981802109088
105,59.82,72.63,39.66,60.0,58.027499999999996,13.634537945966485
