epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,27.23,27.89,18.97,23.33,24.355,4.115446512834301
1,31.25,26.84,29.31,26.67,28.517500000000002,2.1849389770273517
2,33.04,30.0,32.76,26.67,30.6175,2.967764310048895
3,33.93,32.11,25.86,26.67,29.6425,3.9838957064662215
4,35.27,34.74,25.86,33.33,32.3,4.370697884777671
5,39.73,37.89,29.31,33.33,35.065,4.685904395098133
6,40.62,36.32,29.31,30.0,34.0625,5.390957707124031
7,42.41,44.74,29.31,33.33,37.447500000000005,7.325291234255924
8,40.18,50.0,24.14,33.33,36.9125,10.922915895797544
9,38.84,45.26,29.31,33.33,36.685,6.923903041878427
10,45.09,51.58,25.86,46.67,42.3,11.30299370373472
11,45.54,49.47,29.31,40.0,41.08,8.755626762259798
12,43.75,51.05,25.86,36.67,39.332499999999996,10.730195322857206
13,45.54,52.63,32.76,43.33,43.565,8.223504929975622
14,46.43,55.79,29.31,40.0,42.8825,11.131185546322849
15,44.64,50.53,32.76,43.33,42.815,7.398650777900883
16,44.64,55.26,25.86,46.67,43.1075,12.385468299583993
17,44.2,51.58,32.76,43.33,42.9675,7.746368504015285
18,45.98,63.16,36.21,46.67,48.004999999999995,11.175552186208368
19,46.88,56.84,34.48,43.33,45.38249999999999,9.248316513470622
20,43.75,51.58,34.48,36.67,41.620000000000005,7.729178481572281
21,45.09,56.84,29.31,40.0,42.81,11.433655000334177
22,48.66,57.89,31.03,43.33,45.22749999999999,11.214432293552209
23,46.43,55.26,31.03,33.33,41.5125,11.4019249105871
24,47.77,60.53,36.21,40.0,46.127500000000005,10.739845979652905
25,48.21,59.47,34.48,43.33,46.3725,10.418081637230532
26,50.45,56.84,39.66,43.33,47.56999999999999,7.632671004744455
27,47.32,58.42,36.21,36.67,44.655,10.514366362268342
28,48.66,60.0,34.48,40.0,45.785,11.129556744692636
29,48.66,62.11,37.93,36.67,46.3425,11.808362502904457
30,49.11,62.63,37.93,43.33,48.25,10.618110315242854
31,49.55,64.74,37.93,36.67,47.2225,13.038224252813977
32,48.66,64.74,37.93,40.0,47.832499999999996,12.192290938676509
33,49.11,60.0,34.48,43.33,46.730000000000004,10.698594923322098
34,50.89,64.21,41.38,46.67,50.787499999999994,9.757541954816281
35,53.57,64.74,41.38,50.0,52.4225,9.675447879383496
36,50.45,68.95,39.66,46.67,51.432500000000005,12.504682789525958
37,54.46,66.32,39.66,43.33,50.942499999999995,12.028927286614822
38,53.12,64.21,41.38,36.67,48.845,12.360093041721
39,51.34,62.63,37.93,43.33,48.807500000000005,10.7362016095079
40,53.12,67.89,39.66,43.33,51.0,12.612044507797565
41,52.68,65.26,36.21,50.0,51.0375,11.915095117818687
42,53.12,67.89,36.21,50.0,51.805,12.998955086211097
43,53.57,70.53,37.93,50.0,53.0075,13.462670302234498
44,52.68,70.0,36.21,50.0,52.222500000000004,13.875499690701833
45,55.36,64.21,41.38,53.33,53.56999999999999,9.399776593089856
46,55.36,67.37,44.83,43.33,52.7225,11.135772312686717
47,53.57,68.42,39.66,63.33,56.245000000000005,12.657615625912067
48,51.34,71.05,41.38,46.67,52.61,12.949169857562296
49,54.46,63.16,34.48,50.0,50.525,12.011731765236851
50,53.12,71.58,41.38,50.0,54.019999999999996,12.71604760397926
51,54.46,64.74,37.93,53.33,52.614999999999995,11.054110849212009
52,53.12,63.16,39.66,43.33,49.817499999999995,10.554482065296556
53,54.02,72.11,37.93,56.67,55.182500000000005,13.997060107989345
54,54.91,68.95,37.93,50.0,52.9475,12.834127356388514
55,56.25,68.42,39.66,46.67,52.75,12.46479575979219
56,56.25,68.95,37.93,56.67,54.95,12.784480174544969
57,54.46,71.05,39.66,53.33,54.625,12.850889722764984
58,53.57,67.89,37.93,60.0,54.847500000000004,12.708119123877722
59,54.91,68.42,41.38,53.33,54.510000000000005,11.067029110530672
60,56.25,69.47,39.66,50.0,53.845,12.46224832577707
61,55.8,70.53,43.1,53.33,55.69,11.318353826123891
62,58.93,73.16,41.38,63.33,59.2,13.286130613036537
63,54.91,71.05,36.21,56.67,54.709999999999994,14.296004103711406
64,54.46,71.05,39.66,53.33,54.625,12.850889722764984
65,54.02,72.11,39.66,60.0,56.4475,13.486376768181044
66,54.91,71.05,36.21,50.0,53.0425,14.379933646114873
67,53.57,65.79,34.48,66.67,55.1275,15.007367912684316
68,54.02,69.47,37.93,60.0,55.355000000000004,13.244144618157364
69,56.7,73.68,32.76,60.0,55.785,17.01945063743246
70,53.57,71.58,39.66,60.0,56.2025,13.310057287630285
71,53.57,67.37,39.66,60.0,55.15,11.76559107454162
72,55.36,71.58,39.66,60.0,56.65,13.22184555952761
73,56.25,65.79,36.21,63.33,55.394999999999996,13.41411569951594
74,54.02,68.95,34.48,60.0,54.3625,14.606022445096636
75,55.36,67.89,43.1,56.67,55.754999999999995,10.139041703566795
76,56.25,75.79,37.93,66.67,59.16000000000001,16.249492299761247
77,55.8,70.0,34.48,63.33,55.9025,15.414725373269981
78,54.02,69.47,34.48,66.67,56.16,15.939659134791226
79,55.8,70.53,34.48,53.33,53.535,14.799721844232977
80,56.25,73.16,36.21,50.0,53.905,15.325535335946125
81,54.46,69.47,41.38,56.67,55.495000000000005,11.503415434846586
82,56.7,68.95,37.93,50.0,53.395,12.955993465059587
83,54.91,72.11,37.93,60.0,56.2375,14.177675820340465
84,55.36,74.21,46.55,50.0,56.53,12.331431384879856
85,55.36,74.74,44.83,53.33,57.065,12.635374944970962
86,55.36,70.0,43.1,63.33,57.947500000000005,11.566870435284846
87,57.14,72.11,39.66,63.33,58.06,13.718379398942623
88,55.8,71.05,41.38,53.33,55.39,12.191901683768068
89,57.59,75.26,41.38,63.33,59.39,14.082857191162121
90,56.25,73.68,39.66,60.0,57.3975,13.997957886777632
91,57.14,72.63,34.48,60.0,56.06249999999999,15.884492175284253
92,57.14,71.58,37.93,63.33,57.495000000000005,14.321891169348644
93,55.36,71.05,50.0,60.0,59.1025,8.951909945183019
94,52.68,70.53,41.38,60.0,56.1475,12.271928332580826
95,54.46,71.05,43.1,60.0,57.152499999999996,11.632871170380364
96,56.7,71.58,41.38,53.33,55.7475,12.434423656393031
97,54.02,68.42,44.83,60.0,56.817499999999995,9.93768039668547
98,58.93,72.11,39.66,60.0,57.675,13.415042551802312
99,55.8,72.11,39.66,70.0,59.3925,15.01700674790641
100,55.36,73.16,37.93,56.67,55.78,14.39508480929052
101,55.8,71.58,43.1,53.33,55.9525,11.780015209384633
102,56.25,74.21,48.28,56.67,58.85249999999999,10.941768214811836
103,53.57,74.21,37.93,50.0,53.9275,15.087001855902315
104,56.7,73.68,37.93,60.0,57.0775,14.730391203223359
105,55.36,73.68,41.38,63.33,58.4375,13.62228168602211
106,53.12,68.42,41.38,60.0,55.73,11.43100462193357
107,56.25,72.63,36.21,63.33,57.105000000000004,15.460792347095278
108,59.82,72.11,39.66,63.33,58.730000000000004,13.723913436042944
109,54.91,71.58,41.38,60.0,56.9675,12.51565253326143
110,57.59,73.68,41.38,63.33,58.995000000000005,13.499428382960023
111,56.25,71.05,39.66,66.67,58.4075,13.954990445476247
112,54.91,67.89,43.1,63.33,57.307500000000005,10.891294306310277
113,53.57,71.58,39.66,60.0,56.2025,13.310057287630285
114,58.04,73.68,37.93,53.33,55.745000000000005,14.721160506789769
115,56.7,72.63,39.66,56.67,56.41499999999999,13.463561935832582
116,55.36,72.63,41.38,56.67,56.510000000000005,12.781750010594529
117,60.71,74.21,41.38,60.0,59.074999999999996,13.487155618093334
118,60.27,73.16,37.93,53.33,56.1725,14.676889713650732
119,56.25,71.58,43.1,63.33,58.565,12.064008454904197
120,58.93,71.58,41.38,56.67,57.14,12.387038925156135
121,59.82,73.68,43.1,63.33,59.9825,12.700032480273428
122,58.48,70.53,41.38,63.33,58.42999999999999,12.397916491626054
123,58.48,71.58,43.1,56.67,57.457499999999996,11.651158383039286
124,58.48,70.53,41.38,60.0,57.5975,12.066588512638248
