epoch,local_time_s,peak_vram_mb
0,73.49,3921.13
1,98.99,3920.58
2,98.73,3917.97
3,98.92,3917.21
4,98.82,3918.14
5,98.85,3917.6
6,98.81,3917.35
7,98.73,3917.89
8,98.9,3917.08
9,98.73,3917.72
10,98.82,3916.97
11,98.87,3916.85
12,98.91,3914.77
13,98.98,3914.89
14,98.85,3914.35
15,98.75,3917.16
16,98.79,3916.22
17,98.73,3914.91
18,98.85,3915.29
19,98.98,3915.39
20,98.79,3916.16
21,98.87,3914.96
22,98.93,3914.97
23,98.87,3916.47
24,98.8,3916.47
25,98.82,3915.54
26,98.77,3915.04
27,98.84,3916.27
28,98.82,3916.46
29,98.81,3916.97
30,98.89,3917.35
31,98.82,3916.52
32,98.74,3915.39
33,98.8,3916.04
34,98.87,3915.6
35,99.0,3915.04
36,98.8,3915.39
37,98.94,3914.79
38,98.71,3915.16
39,98.75,3915.66
40,98.78,3915.41
41,98.75,3915.04
42,98.91,3914.39
43,98.83,3914.41
44,98.7,3915.04
45,98.81,3915.66
46,98.95,3915.89
47,98.88,3915.39
48,98.87,3915.54
49,98.71,3917.16
50,98.77,3915.91
51,98.95,3916.46
52,98.69,3917.04
53,98.74,3916.79
54,98.84,3917.6
55,98.87,3917.46
56,98.88,3916.41
57,98.8,3916.41
58,98.78,3916.27
59,98.83,3916.29
60,98.73,3916.16
61,98.77,3915.54
62,98.93,3915.04
63,98.79,3916.54
64,98.77,3915.91
65,98.94,3914.77
66,98.77,3915.29
67,98.87,3915.91
68,98.86,3916.39
69,98.83,3916.47
70,98.86,3917.21
71,98.79,3916.97
72,98.75,3916.04
73,99.04,3916.91
74,98.97,3916.33
75,98.77,3915.54
76,98.93,3915.54
77,98.71,3916.39
78,98.9,3916.96
79,98.88,3914.96
80,98.92,3915.16
81,98.93,3914.02
82,98.76,3915.39
83,98.8,3915.54
84,98.9,3914.54
85,98.9,3914.29
86,98.9,3915.29
87,98.97,3916.27
88,98.82,3916.72
89,98.84,3916.04
90,98.89,3917.02
91,98.84,3916.6
92,98.8,3914.91
93,98.78,3916.04
94,98.89,3916.29
95,98.81,3918.02
96,98.82,3918.86
97,98.8,3917.41
98,98.99,3916.97
99,98.79,3918.83
100,98.85,3918.85
101,99.02,3918.64
102,98.77,3918.04
103,98.85,3917.46
104,98.85,3917.29
105,98.85,3918.22
106,98.89,3917.89
107,98.75,3917.41
108,99.01,3919.04
109,98.97,3917.16
110,98.81,3916.89
111,98.92,3917.41
112,98.99,3917.41
113,98.85,3918.77
114,98.82,3917.91
115,98.91,3917.14
116,98.9,3915.02
117,98.92,3916.52
118,98.8,3916.89
119,98.9,3917.14
120,98.88,3917.41
121,98.86,3919.77
122,98.81,3917.85
123,98.84,3918.27
124,98.75,3919.47
125,98.86,3917.14
126,98.75,3919.47
127,98.84,3918.63
128,98.83,3917.79
129,98.82,3916.54
130,98.91,3917.29
131,98.7,3916.27
132,98.77,3916.6
133,98.82,3917.35
134,98.89,3918.41
135,98.91,3916.29
136,98.87,3916.91
137,98.9,3916.41
138,98.81,3918.02
139,98.97,3918.39
140,98.86,3916.04
141,98.81,3916.41
142,98.82,3918.16
143,98.95,3918.16
144,99.03,3916.02
145,98.85,3916.79
146,98.85,3916.66
147,99.0,3916.66
148,98.82,3916.72
149,98.81,3917.16
150,98.84,3918.16
151,98.9,3917.16
152,98.79,3916.29
153,98.89,3915.29
154,98.82,3915.27
155,98.87,3916.29
156,99.02,3916.29
157,98.97,3916.52
158,98.89,3917.16
159,98.92,3917.66
160,98.89,3917.54
161,98.93,3915.79
162,98.95,3915.79
163,98.8,3914.89
164,98.93,3915.66
165,98.86,3915.58
166,99.02,3915.91
167,98.81,3915.16
168,98.93,3915.91
169,98.81,3916.04
170,98.68,3915.89
171,98.86,3915.91
172,98.82,3916.35
173,98.95,3915.52
174,98.79,3916.35
175,98.68,3916.77
176,98.78,3917.52
177,98.82,3917.14
178,98.84,3916.54
179,99.29,3917.16
180,99.34,3915.64
181,99.1,3915.41
182,99.01,3916.04
183,98.85,3915.66
184,98.95,3916.79
185,99.01,3917.16
186,98.95,3916.64
187,99.0,3916.29
188,98.81,3915.6
189,98.88,3916.04
190,98.77,3916.04
191,98.94,3915.1
192,98.88,3914.79
193,98.86,3915.66
194,98.91,3916.79
195,99.09,3916.41
196,98.88,3915.54
197,98.9,3915.79
198,98.87,3916.41
199,98.77,3915.91
