epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,16.07,14.74,31.03,23.33,21.2925,7.509551140603101
1,16.07,13.16,22.41,13.33,16.2425,4.322509880459115
2,30.8,26.84,31.03,33.33,30.5,2.6941541653488694
3,32.59,30.0,39.66,26.67,32.230000000000004,5.514254256016853
4,32.14,28.95,34.48,26.67,30.56,3.444173824494536
5,34.38,32.11,36.21,33.33,34.00750000000001,1.7367858244469878
6,34.38,31.58,41.38,36.67,36.0025,4.145442276364088
7,38.39,36.32,41.38,33.33,37.355000000000004,3.393312049704046
8,37.5,36.32,44.83,36.67,38.83,4.0304921122198785
9,39.29,35.79,44.83,36.67,39.144999999999996,4.0711136887425114
10,40.18,40.0,43.1,40.0,40.82,1.5223665787188059
11,42.86,43.16,43.1,43.33,43.1125,0.19448650338776655
12,39.29,40.53,41.38,46.67,41.9675,3.250337161998224
13,41.96,41.58,43.1,46.67,43.3275,2.320048490872552
14,42.41,44.74,43.1,46.67,44.230000000000004,1.8976301009416998
15,45.09,46.84,41.38,50.0,45.8275,3.594397260552409
16,46.43,48.95,39.66,53.33,47.0925,5.716574586236063
17,45.54,47.89,39.66,53.33,46.605000000000004,5.664041548811826
18,46.43,47.89,39.66,53.33,46.8275,5.625610337258232
19,49.11,51.05,41.38,53.33,48.7175,5.18679975193439
20,48.21,48.42,39.66,53.33,47.405,5.679463002784683
21,49.11,51.05,39.66,53.33,48.287499999999994,6.004678037441587
22,48.66,52.11,39.66,56.67,49.275000000000006,7.200687467179785
23,50.0,54.21,39.66,53.33,49.3,6.6775394669993045
24,49.55,60.0,41.38,53.33,51.065,7.76871718282154
25,48.66,58.95,39.66,56.67,50.985,8.744935677293462
26,50.0,56.32,41.38,60.0,51.925,8.15320591342244
27,51.79,58.42,44.83,56.67,52.92750000000001,6.083783773277943
28,53.57,60.53,41.38,60.0,53.87,8.9073490257577
29,54.02,62.63,39.66,60.0,54.0775,10.26464604033346
30,55.8,58.95,43.1,60.0,54.4625,7.782391984473668
31,55.36,61.05,44.83,56.67,54.477500000000006,6.8764786288719995
32,55.8,62.63,41.38,66.67,56.620000000000005,11.106343532714385
33,57.14,63.16,44.83,60.0,56.2825,8.021115363006984
34,57.14,61.05,48.28,66.67,58.285,7.7322808191805
35,56.25,64.74,46.55,60.0,56.885,7.716210209681952
36,57.14,64.21,44.83,70.0,59.045,10.837965676269693
37,57.59,64.74,46.55,66.67,58.8875,9.105245283168745
38,57.59,66.32,43.1,76.67,60.92,14.211073147373492
39,58.04,65.79,43.1,76.67,60.900000000000006,14.114113503865555
40,57.59,64.74,44.83,76.67,60.957499999999996,13.324492172937275
41,58.04,66.32,43.1,76.67,61.0325,14.177666415881
42,58.93,66.32,43.1,73.33,60.42,12.957373705089054
43,58.93,63.68,46.55,76.67,61.457499999999996,12.449651601550947
44,60.27,67.89,46.55,76.67,62.845,12.763754672248028
45,60.71,68.42,43.1,76.67,62.224999999999994,14.318948983776707
46,60.27,67.89,48.28,76.67,63.2775,12.036116137137705
47,60.71,64.21,46.55,76.67,62.035,12.388902291970828
48,61.16,67.37,48.28,76.67,63.370000000000005,11.909130950661346
49,61.16,68.95,50.0,76.67,64.19500000000001,11.386320740256707
50,61.61,65.26,46.55,76.67,62.52250000000001,12.431131283998253
51,61.61,66.84,50.0,76.67,63.78,11.107249884647416
52,60.71,69.47,44.83,76.67,62.92,13.712490656332278
53,61.61,67.37,51.72,76.67,64.3425,10.455095647577789
54,61.61,69.47,51.72,73.33,64.0325,9.547706094485033
55,62.95,67.89,50.0,73.33,63.542500000000004,9.974070967597266
56,60.71,68.42,46.55,73.33,62.2525,11.686129598802165
57,63.39,68.42,51.72,73.33,64.215,9.265903445788041
58,62.05,66.32,53.45,73.33,63.787499999999994,8.313757173103705
59,62.05,70.0,50.0,73.33,63.845,10.372323751214093
60,62.5,68.42,51.72,73.33,63.99250000000001,9.30292919819702
61,64.29,68.95,50.0,73.33,64.1425,10.125121809966865
62,62.5,68.42,55.17,73.33,64.855,7.829008025712239
63,62.05,69.47,53.45,70.0,63.74249999999999,7.76231655714538
64,63.39,68.95,51.72,70.0,63.515,8.381171358070025
65,62.95,68.95,55.17,73.33,65.1,7.869409126484655
66,63.39,68.42,56.9,73.33,65.51,7.029627775826161
67,63.39,69.47,55.17,73.33,65.34,7.918930904274052
68,64.73,70.0,55.17,70.0,64.97500000000001,6.992836811099387
69,63.39,70.0,56.9,70.0,65.07249999999999,6.2764394099414895
70,62.95,68.95,55.17,70.0,64.2675,6.813899397554971
71,64.29,69.47,56.9,73.33,65.9975,7.106426082544351
72,62.5,69.47,51.72,70.0,63.4225,8.517340645217066
73,62.95,68.42,55.17,70.0,64.135,6.696638460202751
74,63.84,68.95,56.9,70.0,64.92250000000001,5.987043649971719
75,62.95,70.0,55.17,70.0,64.53,7.0698373390057565
76,63.39,71.05,53.45,70.0,64.4725,8.092879071545962
77,64.29,71.05,53.45,73.33,65.53,8.921404971565108
78,64.29,68.42,56.9,73.33,65.735,6.953140777135658
79,63.39,71.58,55.17,70.0,65.035,7.472449397620568
