epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,30.8,29.47,24.14,16.67,25.27,6.415029228304419
1,35.27,30.0,24.14,23.33,28.185000000000002,5.580456970535659
2,37.5,31.58,25.86,23.33,29.5675,6.314709679259478
3,37.5,34.21,25.86,26.67,31.060000000000002,5.706960662208914
4,38.39,37.37,27.59,26.67,32.504999999999995,6.23179749350057
5,41.07,39.47,29.31,30.0,34.9625,6.169718389035272
6,41.96,43.68,31.03,30.0,36.667500000000004,7.151286014883384
7,44.2,48.42,31.03,30.0,38.4125,9.290078489083575
8,44.64,53.68,31.03,33.33,40.67,10.517068666379112
9,42.41,55.26,36.21,33.33,41.802499999999995,9.738799977409947
10,45.98,55.79,32.76,36.67,42.8,10.28317395878659
11,46.88,57.89,34.48,43.33,45.644999999999996,9.686445856625296
12,48.66,58.95,34.48,46.67,47.19,10.037811846546374
13,48.21,61.58,34.48,46.67,47.735,11.086612046367758
14,50.45,61.58,34.48,46.67,48.295,11.174824383407554
15,50.45,62.63,34.48,46.67,48.557500000000005,11.595336346997446
16,49.55,63.16,34.48,50.0,49.2975,11.722975660357458
17,51.34,62.63,32.76,50.0,49.1825,12.3268930256844
18,51.34,61.58,32.76,46.67,48.087500000000006,11.966172807822335
19,52.68,63.16,34.48,53.33,50.912499999999994,11.958214401266885
20,53.57,63.16,32.76,50.0,49.872499999999995,12.68966869806563
21,54.46,62.63,34.48,50.0,50.3925,11.827407084113297
22,54.02,63.16,34.48,50.0,50.415,11.965610445494761
23,54.91,65.26,36.21,53.33,52.427499999999995,12.036855555611968
24,55.8,65.26,32.76,50.0,50.955,13.663541512604509
25,55.36,66.32,36.21,53.33,52.80499999999999,12.447930216171144
26,57.14,63.68,37.93,50.0,52.1875,11.025217684925773
27,58.04,65.79,39.66,46.67,52.540000000000006,11.635632055601166
28,56.7,68.42,39.66,50.0,53.695,12.062198528184378
29,58.04,68.42,36.21,43.33,51.5,14.486672035587286
30,57.14,66.32,37.93,53.33,53.67999999999999,11.831119980796405
31,58.48,71.05,41.38,50.0,55.2275,12.649246024961329
32,59.82,68.95,39.66,56.67,56.275000000000006,12.239783494817221
33,58.48,70.0,37.93,53.33,54.935,13.30748285740019
34,59.38,72.11,39.66,50.0,55.2875,13.807262279925977
35,58.48,72.11,41.38,50.0,55.4925,13.094485798737319
36,59.82,71.58,41.38,53.33,56.5275,12.610697509125602
37,60.27,70.53,37.93,53.33,55.515,13.6877889619422
38,61.16,73.16,37.93,56.67,57.230000000000004,14.628891505054872
39,61.16,73.68,41.38,53.33,57.3875,13.569336449018675
40,60.27,74.21,37.93,50.0,55.6025,15.40270403749506
41,60.27,74.74,39.66,53.33,57.0,14.600741990277982
42,61.16,74.74,34.48,53.33,55.927499999999995,16.813005630562706
43,62.05,74.21,36.21,56.67,57.285,15.850286012140808
44,60.71,76.32,34.48,53.33,56.209999999999994,17.36998752638201
45,61.61,74.74,39.66,56.67,58.17,14.505959694782923
46,61.61,75.26,36.21,53.33,56.602500000000006,16.327284679333548
47,62.05,74.21,37.93,56.67,57.715,15.093215915326548
48,62.05,75.79,34.48,50.0,55.58,17.57509032693716
49,63.84,74.21,37.93,60.0,58.995000000000005,15.272136938446652
50,62.05,75.79,34.48,56.67,57.2475,17.1811997543827
51,60.71,73.16,36.21,53.33,55.852500000000006,15.44167170354298
52,61.16,75.26,31.03,53.33,55.19500000000001,18.489734989988364
53,62.95,74.21,34.48,46.67,54.5775,17.530657669731998
54,61.16,76.32,34.48,50.0,55.489999999999995,17.67859345837973
55,62.95,75.79,34.48,46.67,54.9725,18.12808939188022
56,62.95,75.79,36.21,53.33,57.07000000000001,16.674731382144262
57,65.18,74.74,36.21,50.0,56.532500000000006,16.950613312404556
58,63.84,74.21,39.66,50.0,56.9275,15.194563446619101
59,64.29,75.79,32.76,50.0,55.71,18.584306999903625
60,62.05,75.26,34.48,50.0,55.4475,17.372770600377287
61,63.39,77.37,36.21,50.0,56.7425,17.670388365850936
62,63.84,77.37,34.48,50.0,56.4225,18.407778020898306
63,62.5,77.37,37.93,56.67,58.61750000000001,16.314568898176052
64,62.05,78.42,41.38,53.33,58.795,15.587218054119429
65,63.39,77.89,37.93,50.0,57.3025,17.2193987022389
66,62.05,79.47,36.21,53.33,57.765,18.016247297000188
67,65.18,77.37,39.66,53.33,58.885000000000005,16.14291278962175
68,63.39,77.37,39.66,56.67,59.272499999999994,15.662018548067172
69,62.05,77.89,39.66,56.67,59.067499999999995,15.764737813656572
70,62.95,77.89,37.93,53.33,58.025000000000006,16.78020560064745
71,63.84,79.47,39.66,50.0,58.2425,17.274131671374978
72,63.84,77.37,41.38,63.33,61.480000000000004,14.894005505571696
73,63.84,80.0,39.66,53.33,59.207499999999996,17.033671311063078
74,63.84,78.95,43.1,56.67,60.64,14.932164388772758
75,64.29,80.0,41.38,56.67,60.58500000000001,16.070972797770104
76,63.84,81.05,39.66,63.33,61.97,17.001264658842295
77,64.29,81.05,39.66,43.33,57.082499999999996,19.31375912831748
78,64.29,77.89,43.1,66.67,62.9875,14.52416922466365
