epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,18.3,17.37,12.07,16.67,16.1025,2.769998495787799
1,32.59,31.05,29.31,33.33,31.57,1.7810109488714554
2,33.04,29.47,31.03,30.0,30.884999999999998,1.5759124341155506
3,32.59,28.42,31.03,30.0,30.51,1.753567791675019
4,34.82,30.0,29.31,30.0,31.0325,2.5458642933196582
5,35.27,31.58,27.59,33.33,31.9425,3.269713290183102
6,40.18,38.42,29.31,30.0,34.4775,5.62176944268143
7,37.5,38.95,27.59,30.0,33.510000000000005,5.564177088003821
8,37.95,46.32,29.31,33.33,36.727500000000006,7.304630380792721
9,37.05,37.89,29.31,30.0,33.5625,4.533764991703914
10,36.61,37.89,22.41,26.67,30.895,7.55947749517121
11,41.07,45.79,25.86,30.0,35.68,9.308759315827217
12,42.41,47.37,24.14,33.33,36.8125,10.25528928569708
13,43.75,48.95,29.31,40.0,40.5025,8.315268586562114
14,41.52,47.89,24.14,33.33,36.72,10.288462794152812
15,47.32,51.05,29.31,33.33,40.2525,10.554538913030104
16,43.75,52.11,22.41,40.0,39.567499999999995,12.508323562065915
17,47.32,51.05,24.14,36.67,39.795,12.085049993000993
18,45.54,53.68,25.86,40.0,41.269999999999996,11.709284065788708
19,47.32,50.53,25.86,40.0,40.927499999999995,10.969075849860825
20,46.88,50.53,25.86,43.33,41.65,10.92937631645405
21,48.21,52.63,31.03,40.0,42.9675,9.524664036069725
22,45.98,47.37,24.14,36.67,38.54,10.711044144557832
23,45.98,47.37,25.86,36.67,38.97,9.947565866415092
24,47.32,53.68,31.03,43.33,43.84,9.544495796007245
25,44.64,51.58,24.14,43.33,40.9225,11.75940014059674
26,48.21,53.16,31.03,43.33,43.932500000000005,9.49177319226146
27,48.66,55.26,37.93,40.0,45.4625,8.01649289485953
28,50.45,55.26,37.93,40.0,45.910000000000004,8.299449780959378
29,49.55,53.16,31.03,43.33,44.2675,9.714107867769775
30,49.55,53.68,31.03,43.33,44.397499999999994,9.874929113669626
31,48.66,57.89,37.93,36.67,45.287499999999994,9.97648694013412
32,50.0,55.26,31.03,46.67,45.739999999999995,10.424762187535341
33,50.89,54.21,32.76,36.67,43.63249999999999,10.50781415582391
34,54.91,62.11,37.93,50.0,51.2375,10.170537104794416
35,50.89,59.47,43.1,53.33,51.697500000000005,6.773622246134878
36,52.23,58.42,36.21,46.67,48.38250000000001,9.427920855982334
37,53.12,61.05,36.21,46.67,49.2625,10.50260721598848
38,50.89,55.79,34.48,46.67,46.957499999999996,9.114974401134287
39,51.79,52.63,37.93,50.0,48.0875,6.859914358065996
40,53.57,60.0,41.38,50.0,51.2375,7.765815582839104
41,53.57,57.89,36.21,46.67,48.58500000000001,9.455881767450352
42,54.02,56.84,36.21,56.67,50.935,9.901213730312731
43,55.8,59.47,36.21,50.0,50.37,10.213347476056352
44,53.57,64.74,34.48,50.0,50.6975,12.502491418380044
45,56.25,57.89,34.48,46.67,48.822500000000005,10.766117762065706
46,58.48,62.63,37.93,43.33,50.5925,11.834932403693736
47,56.25,62.11,37.93,50.0,51.5725,10.352269879918445
48,53.57,65.26,36.21,40.0,48.760000000000005,13.286913361148507
49,51.34,62.63,31.03,53.33,49.582499999999996,13.311211753004809
50,53.12,58.95,37.93,43.33,48.332499999999996,9.467285337765345
51,54.46,61.58,36.21,46.67,49.730000000000004,10.877337296722331
52,54.02,63.68,34.48,46.67,49.712500000000006,12.314374730371009
53,55.8,61.58,34.48,46.67,49.63249999999999,11.820257681906375
54,57.59,70.53,36.21,46.67,52.75,14.720643101893796
55,57.14,60.53,34.48,56.67,52.205,11.941129204001886
56,57.59,69.47,41.38,60.0,57.11,11.673117264324326
57,58.04,63.68,37.93,53.33,53.245000000000005,11.051963626433087
58,56.25,66.32,34.48,60.0,54.262499999999996,13.827504896642296
59,55.8,65.79,39.66,60.0,55.3125,11.209952051636977
60,57.14,63.16,34.48,53.33,52.0275,12.378495802533251
61,55.8,64.74,37.93,53.33,52.95,11.148563435109773
62,55.36,63.16,39.66,63.33,55.3775,11.118298356013538
63,56.25,60.0,34.48,53.33,51.015,11.356362387079178
64,55.8,61.05,39.66,60.0,54.1275,9.908129238155912
65,56.25,67.89,37.93,63.33,56.349999999999994,13.180773877128763
66,54.46,64.74,37.93,60.0,54.2825,11.683105680140589
67,57.14,66.32,39.66,63.33,56.6125,11.930714912918392
68,56.25,70.0,43.1,56.67,56.504999999999995,10.98334041476757
69,60.27,67.37,39.66,63.33,57.6575,12.345648018633938
70,54.91,66.32,37.93,63.33,55.6225,12.745904897913942
71,58.04,66.32,37.93,63.33,56.405,12.783605386066428
72,57.14,62.63,37.93,60.0,54.425000000000004,11.222876933597137
73,57.14,67.89,37.93,60.0,55.74,12.713853336682261
74,56.7,65.79,37.93,53.33,53.4375,11.600607383523792
75,56.25,63.68,43.1,63.33,56.59,9.62274042741117
76,58.48,71.05,41.38,63.33,58.56,12.568635566361209
77,56.25,65.26,37.93,60.0,54.86,11.87625923148082
78,57.59,64.74,41.38,66.67,57.595,11.493953482882494
79,55.8,66.84,43.1,63.33,57.2675,10.508064759983164
80,56.7,65.79,43.1,63.33,57.230000000000004,10.17220723343759
81,58.48,64.74,39.66,53.33,54.052499999999995,10.669137344071762
82,57.14,61.05,37.93,50.0,51.53,10.155514101544375
83,56.7,67.37,36.21,56.67,54.2375,13.03117128273587
84,55.8,65.26,41.38,56.67,54.7775,9.899543339636095
85,58.93,66.32,39.66,60.0,56.2275,11.516305469492664
86,56.7,63.16,43.1,60.0,55.74,8.829782934289305
87,58.48,71.05,44.83,63.33,59.4225,11.019629077242119
88,56.7,67.89,46.55,56.67,56.9525,8.717501075422934
89,57.59,68.95,43.1,66.67,59.0775,11.727538460108896
90,57.14,67.37,44.83,63.33,58.167500000000004,9.836701259399245
91,59.82,65.79,37.93,56.67,55.05250000000001,12.025241161822912
92,57.59,65.79,43.1,66.67,58.28750000000001,10.919408943100661
93,57.14,67.89,41.38,63.33,57.435,11.57451366868892
94,56.25,64.21,39.66,63.33,55.8625,11.374173596354154
95,57.59,67.89,39.66,56.67,55.4525,11.692528597356521
96,58.48,73.16,44.83,56.67,58.285,11.618217017540456
97,57.59,66.32,39.66,53.33,54.224999999999994,11.113842719779688
98,58.04,70.0,41.38,60.0,57.355,11.86819138144758
99,58.93,67.37,39.66,63.33,57.322500000000005,12.269070529859494
100,58.93,65.79,44.83,56.67,56.55500000000001,8.725722510676889
101,57.59,64.74,43.1,53.33,54.69,9.04783952112326
102,58.48,65.26,37.93,63.33,56.25,12.541953595831872
103,59.38,68.42,41.38,60.0,57.295,11.382985841450681
