epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,18.3,16.84,12.07,16.67,15.97,2.7009751325524394
1,33.04,30.53,29.31,26.67,29.8875,2.6480731988875728
2,32.59,31.05,31.03,26.67,30.335,2.550261424507953
3,33.48,28.95,29.31,30.0,30.435,2.076222531425761
4,35.71,30.0,27.59,26.67,29.992500000000003,4.0620551038441945
5,35.71,31.58,27.59,33.33,32.052499999999995,3.4227900412772425
6,38.84,36.84,27.59,33.33,34.150000000000006,4.930794391711477
7,40.18,39.47,27.59,33.33,35.1425,5.899973869998634
8,41.07,47.89,27.59,33.33,37.47,8.874878402922864
9,35.27,36.32,29.31,30.0,32.725,3.5818477540695866
10,38.39,43.68,25.86,30.0,34.4825,8.047833559412123
11,39.73,45.79,25.86,26.67,34.5125,9.845047401274071
12,40.62,42.63,25.86,30.0,34.7775,8.126968992188909
13,45.98,49.47,27.59,36.67,39.927499999999995,9.840685528288496
14,45.09,49.47,29.31,36.67,40.135000000000005,8.960675197773883
15,45.09,49.47,24.14,36.67,38.8425,11.148367219762124
16,45.09,51.58,25.86,43.33,41.465,10.991634697957048
17,47.77,53.16,25.86,36.67,40.865,12.13251966136191
18,47.32,50.53,27.59,40.0,41.36,10.18287778577353
19,45.98,53.16,27.59,40.0,41.6825,10.826370198116571
20,46.43,52.63,32.76,40.0,42.955,8.531340262037771
21,45.54,53.16,24.14,36.67,39.8775,12.469237814183616
22,48.21,54.21,29.31,36.67,42.099999999999994,11.210905405006324
23,45.98,50.53,31.03,43.33,42.7175,8.339701733275596
24,48.21,55.26,31.03,46.67,45.292500000000004,10.217293754545116
25,46.88,57.89,29.31,43.33,44.352500000000006,11.789465283322508
26,50.89,55.26,31.03,40.0,44.295,10.926001098297581
27,45.09,53.16,29.31,43.33,42.7225,9.913133964594648
28,48.66,52.63,32.76,43.33,44.345,8.61206324485215
29,49.55,54.21,32.76,36.67,43.2975,10.216637982558973
30,48.66,57.37,31.03,43.33,45.0975,11.020046506253951
31,49.55,61.58,32.76,43.33,46.80499999999999,12.043992970218252
32,50.0,57.37,34.48,36.67,44.629999999999995,10.916785241086314
33,49.55,56.84,34.48,40.0,45.2175,9.939303714714296
34,53.12,63.68,32.76,46.67,49.057500000000005,12.930971541226128
35,54.02,62.11,37.93,50.0,51.015,10.07267756524219
36,50.45,57.89,36.21,40.0,46.1375,9.881684657317631
37,55.8,60.0,41.38,46.67,50.962500000000006,8.472065371954269
38,54.02,60.53,36.21,40.0,47.690000000000005,11.487108716586027
39,50.89,53.68,37.93,43.33,46.457499999999996,7.171961028895793
40,53.12,60.53,36.21,43.33,48.2975,10.70318138063009
41,53.12,63.68,36.21,43.33,49.084999999999994,11.946839191462596
42,52.68,63.68,37.93,53.33,51.905,10.592174784559905
43,56.7,66.84,37.93,46.67,52.035,12.499126636156092
44,53.57,60.0,32.76,43.33,47.41499999999999,11.940442482029997
45,54.91,58.95,34.48,50.0,49.585,10.71435330137413
46,58.48,62.11,39.66,46.67,51.730000000000004,10.401849194574332
47,56.7,63.68,43.1,53.33,54.2025,8.565186804734616
48,54.91,65.26,34.48,46.67,50.33,13.019208885335548
49,53.57,65.26,34.48,50.0,50.8275,12.698344708399336
