epoch,local_time_s,peak_vram_mb
0,65.74,2482.97
1,65.2,2483.29
2,65.27,2481.54
3,64.85,2481.72
4,64.92,2482.22
5,64.89,2481.41
6,64.84,2479.41
7,64.54,2481.47
8,64.77,2481.72
9,64.59,2480.47
10,64.34,2480.22
11,64.39,2482.72
12,64.39,2482.79
13,64.88,2481.04
14,64.76,2481.29
15,64.9,2482.35
16,64.89,2483.66
17,64.68,2483.29
18,65.23,2481.72
19,65.06,2482.85
20,64.66,2480.6
21,64.28,2483.85
22,64.63,2483.22
23,64.94,2482.72
24,64.35,2482.1
25,64.73,2482.85
26,64.72,2479.91
27,64.19,2485.22
28,64.43,2483.97
29,64.73,2484.29
30,64.99,2485.16
31,64.95,2486.29
32,64.73,2485.1
33,64.62,2483.66
34,65.17,2485.22
35,64.93,2484.79
36,64.67,2483.79
37,64.54,2483.54
38,65.07,2485.22
39,65.2,2482.97
40,65.11,2483.79
41,64.68,2483.04
42,66.86,2481.66
43,64.92,2481.52
44,64.81,2482.47
45,64.76,2484.72
46,65.54,2484.97
47,65.71,2485.22
48,64.53,2483.1
49,64.63,2482.72
50,64.44,2481.47
51,64.55,2482.97
52,65.3,2483.47
53,64.7,2483.1
54,64.77,2484.1
55,64.69,2484.1
56,64.71,2484.72
57,64.34,2484.54
58,64.36,2484.54
59,64.79,2482.79
60,65.02,2483.72
61,64.76,2485.47
62,64.73,2486.16
63,65.21,2484.35
64,64.41,2483.1
65,64.44,2483.41
66,64.57,2482.91
67,64.59,2482.35
68,64.61,2484.04
69,64.44,2486.35
70,64.94,2483.54
71,64.63,2484.1
72,64.37,2483.22
73,64.49,2483.1
74,65.56,2482.29
75,64.7,2482.79
76,64.52,2484.97
77,64.89,2483.85
78,64.94,2479.72
79,64.73,2479.97
80,64.9,2483.72
81,64.87,2484.85
82,64.84,2484.16
83,64.71,2482.47
84,64.36,2480.8
85,64.6,2483.1
86,64.46,2482.29
87,64.87,2482.16
88,64.84,2479.72
89,64.53,2482.6
90,64.72,2482.35
91,64.93,2484.16
92,64.68,2485.97
93,65.06,2486.04
94,64.67,2482.36
95,65.0,2481.49
96,64.58,2482.47
97,64.86,2483.47
98,64.64,2482.79
99,64.32,2483.35
100,64.95,2484.66
101,64.77,2481.97
102,64.88,2481.97
103,64.83,2481.97
104,64.62,2481.66
105,65.2,2483.22
106,64.57,2483.22
107,64.52,2484.35
108,64.5,2484.35
109,64.78,2483.47
110,64.85,2483.66
111,64.65,2484.97
112,64.83,2484.72
113,64.84,2484.41
114,64.82,2484.85
115,65.19,2486.35
116,64.97,2481.54
117,64.59,2481.35
118,64.7,2481.54
119,64.77,2481.72
120,64.65,2481.35
121,64.54,2485.47
122,64.64,2483.79
123,64.87,2484.22
124,64.93,2484.91
125,64.42,2485.04
126,64.35,2482.6
127,64.84,2481.47
128,64.76,2484.22
129,65.2,2485.85
130,64.45,2484.6
131,65.08,2485.97
132,64.48,2485.97
133,64.37,2487.22
134,64.81,2484.6
135,64.44,2482.91
136,64.58,2483.97
137,64.46,2483.72
138,64.76,2482.85
139,64.49,2482.22
140,64.93,2485.41
141,64.54,2486.97
142,64.43,2483.6
143,64.47,2484.47
144,64.72,2485.72
145,64.76,2486.79
146,65.25,2485.91
147,64.31,2484.6
148,64.58,2486.04
149,64.91,2488.33
150,65.01,2489.86
151,64.86,2488.79
152,64.43,2488.79
153,64.77,2486.22
154,64.71,2482.16
155,64.76,2484.29
156,64.43,2482.79
157,64.85,2484.35
158,65.02,2483.97
159,64.71,2484.1
160,64.37,2485.47
161,65.29,2486.04
162,64.66,2484.54
163,64.84,2484.91
164,64.42,2484.04
165,65.1,2484.29
166,64.4,2488.04
167,64.94,2485.1
168,65.09,2483.54
169,65.03,2483.85
170,64.87,2482.6
171,64.63,2482.1
172,64.7,2481.47
173,64.58,2481.35
174,64.92,2482.22
175,64.95,2481.35
176,64.86,2480.22
177,65.11,2480.47
178,64.63,2481.16
179,64.42,2480.85
180,64.59,2483.91
181,64.55,2484.33
182,64.53,2484.68
183,64.68,2482.54
184,64.95,2484.66
185,64.42,2483.22
186,64.55,2482.35
187,64.82,2484.52
188,64.89,2483.4
189,64.96,2484.35
190,64.85,2485.22
191,64.44,2485.22
192,65.02,2485.97
193,64.42,2485.72
194,64.35,2484.1
195,64.41,2484.35
196,64.87,2483.35
197,64.47,2481.22
198,65.12,2480.04
199,64.89,2485.54
