epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,8.48,9.47,10.34,13.33,10.405000000000001,2.0928210625851413
1,20.54,15.79,25.86,36.67,24.715,8.968821921895131
2,24.55,17.37,36.21,36.67,28.7,9.407663542736493
3,25.45,20.53,37.93,36.67,30.145,8.518080769750895
4,25.45,16.84,36.21,36.67,28.7925,9.506293967682675
5,27.23,18.42,36.21,40.0,30.465000000000003,9.651744229239949
6,28.57,20.53,34.48,36.67,30.0625,7.217328106716501
7,31.25,23.16,32.76,36.67,30.959999999999997,5.679442460899368
8,32.14,22.63,34.48,36.67,31.48,6.183154534701522
9,34.38,23.16,32.76,36.67,31.742500000000003,5.942257567625289
10,34.38,25.79,34.48,40.0,33.6625,5.868653309462629
11,34.82,28.42,37.93,36.67,34.46,4.22438161154979
12,33.04,30.0,39.66,46.67,37.3425,7.411632186412563
13,35.27,30.53,39.66,43.33,37.197500000000005,5.533000240978366
14,36.61,32.11,39.66,40.0,37.095,3.6562138887105604
15,37.95,32.63,41.38,36.67,37.1575,3.6144835961263775
16,37.5,37.37,36.21,40.0,37.77,1.5957652291821207
17,38.84,35.26,39.66,46.67,40.1075,4.773938800054592
18,37.95,34.74,50.0,43.33,41.504999999999995,6.680790871346494
19,41.96,42.63,41.38,46.67,43.16,2.3950922042098224
20,38.39,35.79,41.38,43.33,39.7225,3.316698911066042
21,43.3,40.0,43.1,33.33,39.932500000000005,4.653696559367259
22,42.86,48.95,37.93,36.67,41.602500000000006,5.579243526978665
23,41.07,45.26,39.66,43.33,42.33,2.4699122791440726
24,43.75,48.95,41.38,43.33,44.352500000000006,3.2342580292858525
25,44.2,45.26,41.38,40.0,42.71,2.4382780809415476
26,44.64,48.95,41.38,43.33,44.575,3.2095119047398266
27,43.3,46.84,41.38,33.33,41.212500000000006,5.720963642604279
28,42.86,47.37,39.66,46.67,44.14,3.5843455934568222
29,44.64,47.89,43.1,46.67,45.575,2.1258802098581815
30,45.54,49.47,43.1,46.67,46.19499999999999,2.643186208600016
31,45.98,51.05,43.1,46.67,46.7,3.2864266308560715
32,46.88,50.53,43.1,46.67,46.795,3.0345839912581094
33,46.43,50.0,39.66,46.67,45.69,4.337626078859267
34,46.88,50.53,41.38,46.67,46.364999999999995,3.7663288934097787
35,45.54,48.42,37.93,46.67,44.64,4.627576759673109
36,47.77,51.58,43.1,46.67,47.28,3.4916376291553113
37,47.77,52.11,44.83,46.67,47.845,3.091207962377599
38,46.43,47.89,44.83,43.33,45.61999999999999,1.9729166226680752
39,48.66,51.05,43.1,46.67,47.370000000000005,3.3630046089769166
40,48.66,50.53,44.83,40.0,46.004999999999995,4.6535040560850485
41,50.0,51.05,43.1,43.33,46.870000000000005,4.243182767687482
