epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,9.82,10.0,10.34,13.33,10.8725,1.652460286966074
1,23.66,18.95,27.59,30.0,25.05,4.833776991132297
2,26.34,21.58,37.93,33.33,29.794999999999998,7.259423760418822
3,27.68,21.05,34.48,36.67,29.970000000000002,7.072024698297747
4,29.02,21.58,37.93,40.0,32.1325,8.496106461197389
5,30.8,21.05,37.93,36.67,31.6125,7.696658907170911
6,33.04,23.16,36.21,36.67,32.269999999999996,6.2840698065293115
7,34.38,28.95,36.21,36.67,34.052499999999995,3.5425449891285794
8,34.82,27.37,34.48,33.33,32.5,3.4789174561444627
9,33.48,32.63,34.48,33.33,33.480000000000004,0.7626707459098345
10,34.38,34.74,36.21,36.67,35.5,1.1113055385446429
11,35.71,34.21,37.93,36.67,36.129999999999995,1.5699681525432287
12,34.38,40.0,36.21,40.0,37.6475,2.817296280715489
13,37.05,32.11,43.1,43.33,38.897499999999994,5.378707248648756
14,37.95,38.42,41.38,46.67,41.105000000000004,4.00866145573141
15,39.73,40.0,41.38,40.0,40.277499999999996,0.7459390055493834
16,37.05,43.16,34.48,46.67,40.34,5.573299441683237
17,41.96,43.16,43.1,40.0,42.055,1.4770578864756785
18,42.86,43.16,39.66,43.33,42.2525,1.7392215691701471
19,40.62,44.74,34.48,43.33,40.792500000000004,4.542358968641736
20,40.62,41.05,48.28,46.67,44.155,3.8935031355665664
21,45.09,44.21,41.38,40.0,42.67,2.3819459831546705
22,43.3,46.32,37.93,36.67,41.05500000000001,4.537036477702157
23,44.2,42.63,36.21,40.0,40.760000000000005,3.493355597893427
24,43.3,46.84,41.38,46.67,44.5475,2.667700320500787
25,45.54,51.05,36.21,40.0,43.2,6.48583584950056
26,46.88,50.0,41.38,40.0,44.565,4.6862173800767435
27,45.09,46.84,43.1,40.0,43.7575,2.9341935291774255
28,46.43,51.05,44.83,46.67,47.245000000000005,2.664901499117743
29,46.43,47.89,43.1,46.67,46.022499999999994,2.0505182271806315
30,46.88,50.53,39.66,46.67,45.935,4.54323306321244
31,46.43,53.16,43.1,50.0,48.1725,4.358190564901904
32,46.43,47.89,43.1,40.0,44.355,3.528120368317007
33,48.66,49.47,39.66,50.0,46.9475,4.889481056308533
34,51.79,53.68,43.1,53.33,50.474999999999994,4.984740046715909
35,48.21,50.53,37.93,53.33,47.5,6.714630791537735
36,49.55,51.58,44.83,56.67,50.6575,4.9053533681750885
37,52.68,53.16,43.1,53.33,50.567499999999995,4.985936053875272
38,50.45,52.63,43.1,46.67,48.212500000000006,4.204667049838787
39,50.0,48.95,37.93,56.67,48.3875,7.764785358699021
40,50.89,49.47,37.93,53.33,47.905,6.83838918654581
41,48.66,51.58,41.38,60.0,50.405,7.701521494700467
42,48.21,51.58,37.93,46.67,46.0975,5.818255036234375
43,51.79,49.47,34.48,43.33,44.7675,7.731495650907398
44,53.12,53.16,41.38,63.33,52.7475,8.972518691352313
45,52.23,49.47,36.21,60.0,49.4775,9.904979808157107
46,52.68,56.32,37.93,56.67,50.900000000000006,8.832866654338972
47,54.02,52.63,44.83,63.33,53.7025,7.5864149416352555
48,54.02,54.74,46.55,63.33,54.66,6.8643280807374
49,51.79,55.26,43.1,60.0,52.5375,7.135032702564624
50,54.46,55.79,41.38,63.33,53.739999999999995,9.118819368024932
51,54.02,54.74,41.38,63.33,53.36750000000001,9.041774807341014
