epoch,local_time_s,peak_vram_mb
0,66.19,3990.92
1,65.46,4073.62
2,65.77,4071.0
3,65.86,4067.06
4,65.96,4064.0
5,65.9,4065.18
6,65.71,4065.12
7,65.77,4065.12
8,66.17,4065.81
9,66.04,4064.62
10,65.6,4064.5
11,65.62,4063.37
12,65.68,4062.5
13,66.11,4063.25
14,66.05,4062.0
15,66.29,4061.87
16,66.17,4062.12
17,66.09,4063.62
18,66.4,4063.62
19,66.22,4065.37
20,65.81,4068.37
21,65.6,4067.5
22,65.79,4067.87
23,66.07,4067.0
24,65.45,4066.75
25,65.68,4066.12
26,65.87,4065.75
27,65.55,4067.25
28,65.51,4064.0
29,65.85,4064.12
30,66.03,4064.12
31,66.12,4066.75
32,65.94,4066.5
33,65.59,4067.12
34,66.19,4067.43
35,66.05,4066.0
36,65.67,4066.56
37,65.89,4065.93
38,65.75,4064.81
39,65.69,4063.93
40,65.86,4063.06
41,65.29,4063.37
42,65.87,4065.12
43,65.37,4065.12
44,65.92,4066.31
45,65.77,4067.12
46,65.73,4068.25
47,65.89,4069.25
48,65.74,4067.87
49,65.73,4065.87
50,65.93,4066.18
51,65.45,4065.75
52,66.34,4063.5
53,65.75,4064.5
54,65.81,4065.5
55,65.73,4065.5
56,65.83,4063.5
57,65.62,4063.25
58,65.42,4065.0
59,65.61,4065.87
60,65.77,4066.0
61,65.68,4066.18
62,65.83,4065.0
63,65.89,4067.0
64,65.61,4067.25
65,65.58,4067.62
66,65.73,4065.18
67,65.9,4065.25
68,65.87,4068.12
69,65.64,4067.43
70,66.04,4067.37
71,65.92,4066.87
72,65.46,4066.81
73,65.35,4066.0
74,66.72,4067.75
75,66.1,4068.31
76,65.97,4068.0
77,66.46,4068.37
78,66.12,4065.93
79,65.77,4064.62
80,66.32,4064.12
81,66.0,4065.12
82,65.99,4067.0
83,66.05,4064.56
84,65.45,4066.0
85,65.64,4065.25
86,65.59,4066.87
87,66.21,4064.68
88,66.18,4065.87
89,65.65,4063.37
90,66.03,4065.12
91,66.19,4065.25
92,66.16,4064.62
93,66.31,4063.43
94,65.77,4063.18
95,66.46,4069.0
96,65.77,4068.12
97,66.05,4067.25
98,65.82,4066.25
99,65.56,4065.37
100,66.04,4067.37
101,65.85,4068.0
102,66.14,4066.5
103,65.9,4065.37
104,65.78,4070.43
105,66.16,4069.87
106,65.71,4069.31
107,65.56,4071.0
108,65.66,4069.56
109,65.96,4070.12
110,66.12,4071.31
111,65.8,4071.87
112,66.29,4070.0
113,66.2,4068.62
114,66.06,4068.62
115,66.34,4068.81
116,66.18,4068.31
117,65.74,4069.5
118,65.75,4071.25
119,65.83,4070.68
120,65.7,4068.0
121,65.6,4068.68
122,65.8,4066.81
123,66.18,4067.75
124,66.02,4068.81
125,65.43,4069.18
126,65.53,4067.12
127,65.78,4066.56
128,65.71,4067.87
129,66.02,4066.62
130,65.39,4067.43
131,66.13,4069.0
132,65.51,4069.0
133,65.73,4067.31
134,65.86,4065.75
135,65.45,4066.5
136,65.72,4066.5
137,65.48,4064.12
138,65.89,4065.62
139,65.62,4064.75
140,66.04,4065.62
141,65.78,4064.62
142,65.62,4063.75
143,65.65,4063.75
144,65.76,4065.5
145,65.98,4065.18
146,66.35,4065.75
147,65.54,4064.75
148,65.65,4061.75
149,65.85,4065.0
150,66.43,4065.87
151,65.88,4063.87
152,65.7,4062.5
153,66.1,4063.87
154,65.84,4062.62
155,65.89,4064.75
156,65.66,4064.75
157,65.71,4066.5
158,65.99,4066.5
159,65.87,4064.75
160,65.7,4063.87
161,66.42,4063.12
162,65.87,4064.75
163,66.0,4064.75
164,65.4,4062.0
165,66.11,4064.12
166,65.46,4064.75
167,66.05,4063.87
168,66.04,4062.68
169,65.87,4063.87
170,65.76,4062.87
171,65.79,4062.37
172,65.94,4062.37
173,65.96,4061.37
174,66.17,4061.37
175,66.09,4063.25
176,65.89,4062.87
177,66.24,4064.0
178,65.67,4064.62
179,65.57,4067.62
180,65.86,4067.62
181,65.69,4065.87
182,65.91,4062.87
183,65.76,4064.75
184,66.06,4064.12
185,65.8,4063.5
186,65.83,4065.0
187,65.85,4066.5
188,66.24,4065.87
189,65.96,4066.75
190,66.11,4066.75
191,65.64,4066.93
192,65.83,4065.87
193,65.59,4066.75
194,65.65,4064.12
195,65.35,4062.75
196,65.9,4063.87
197,65.56,4065.62
198,66.08,4065.25
199,65.71,4065.0
