epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,17.86,16.84,12.07,16.67,15.860000000000001,2.580736329034797
1,27.68,24.21,27.59,13.33,23.2025,6.776908710220809
2,32.59,31.58,27.59,26.67,29.6075,2.914634053644929
3,33.48,39.47,36.21,20.0,32.29,8.551393648600989
4,34.82,29.47,32.76,33.33,32.595,2.257114677340668
5,37.5,35.26,27.59,33.33,33.42,4.2437797618004005
6,37.95,37.37,31.03,26.67,33.254999999999995,5.394104806792937
7,38.39,38.95,29.31,33.33,34.995000000000005,4.555564363135119
8,41.07,48.42,24.14,36.67,37.575,10.184093806847356
9,37.95,40.0,31.03,30.0,34.745000000000005,4.973372430588055
10,41.07,42.11,22.41,40.0,36.3975,9.364704569107703
11,42.41,47.89,22.41,36.67,37.345,10.959943734648762
12,42.86,51.05,22.41,40.0,39.08,12.05963791606807
13,45.54,52.11,25.86,36.67,40.045,11.377816134917982
14,45.54,52.63,20.69,40.0,39.715,13.696224540604854
15,48.21,47.37,24.14,33.33,38.2625,11.628612341977869
16,47.77,54.74,25.86,40.0,42.0925,12.3836703632916
17,45.54,51.05,25.86,40.0,40.6125,10.820244528968217
18,47.32,56.32,34.48,40.0,44.53,9.457124298643855
19,45.98,52.63,22.41,43.33,41.0875,13.051739028446235
20,45.98,53.16,29.31,40.0,42.1125,10.089127398673616
21,46.88,51.05,25.86,40.0,40.947500000000005,11.042123512561643
22,45.98,54.74,29.31,43.33,43.34,10.547837061059802
23,45.98,50.0,27.59,30.0,38.3925,11.246218253261848
24,46.88,56.32,25.86,50.0,44.765,13.20095324840849
25,50.89,55.79,25.86,50.0,45.635000000000005,13.426874791501808
26,50.45,57.89,34.48,40.0,45.705,10.480726755971332
27,46.88,56.32,25.86,40.0,42.265,12.82049791024774
28,50.45,56.32,41.38,43.33,47.870000000000005,6.850562020739613
29,50.0,56.84,31.03,46.67,46.135000000000005,10.923712738808176
30,49.55,58.42,27.59,46.67,45.557500000000005,12.98014734122845
31,49.11,63.16,32.76,43.33,47.09,12.672960716949031
32,47.77,58.42,36.21,43.33,46.432500000000005,9.302581630923752
33,50.45,57.89,36.21,43.33,46.97,9.316365528824353
34,54.46,60.0,36.21,50.0,50.167500000000004,10.164373648516994
35,50.0,58.42,34.48,56.67,49.8925,10.896627536383296
36,51.34,58.95,34.48,46.67,47.86,10.255713854562574
37,56.25,63.16,36.21,50.0,51.405,11.467578936578837
38,54.46,63.68,36.21,36.67,47.754999999999995,13.598123645072015
39,53.12,60.53,37.93,53.33,51.227500000000006,9.510732095900925
40,53.57,60.53,36.21,50.0,50.0775,10.226858021895092
41,54.46,65.26,36.21,46.67,50.650000000000006,12.279009189127057
42,52.68,62.11,34.48,50.0,49.817499999999995,11.468386620038002
43,54.02,62.11,39.66,56.67,53.114999999999995,9.581302973326054
44,54.91,57.89,39.66,53.33,51.44749999999999,8.082567145818627
45,54.46,60.0,36.21,60.0,52.667500000000004,11.278201319359395
46,57.14,64.21,37.93,50.0,52.32,11.21099163024098
47,55.36,61.58,41.38,63.33,55.412499999999994,9.960566834606684
48,54.91,63.16,39.66,60.0,54.4325,10.418270409877705
49,54.46,63.68,34.48,56.67,52.322500000000005,12.52753334326701
50,54.02,59.47,37.93,56.67,52.02250000000001,9.65493095090103
51,56.25,63.68,36.21,56.67,53.2025,11.829819313920225
52,54.02,63.16,37.93,53.33,52.11,10.461220451425985
53,56.7,65.26,37.93,53.33,53.30500000000001,11.414016237357767
54,57.14,68.42,39.66,53.33,54.6375,11.863879003091697
55,57.59,68.42,39.66,60.0,56.417500000000004,12.097973315119082
56,56.7,65.26,41.38,60.0,55.835,10.261141911762714
57,54.91,63.16,37.93,63.33,54.832499999999996,11.933919096424274
58,58.93,64.21,41.38,63.33,56.96249999999999,10.642002866002242
59,55.8,64.21,37.93,56.67,53.6525,11.141138107632152
60,57.14,66.84,36.21,56.67,54.215,12.88608163872944
61,57.59,64.74,34.48,56.67,53.370000000000005,13.099712465037799
62,57.59,63.68,41.38,60.0,55.6625,9.845460459859998
63,54.91,67.37,36.21,56.67,53.790000000000006,12.94889441870103
64,56.25,67.89,37.93,60.0,55.5175,12.688948932043191
65,57.14,67.37,37.93,53.33,53.942499999999995,12.21061116406546
66,55.8,71.58,43.1,63.33,58.4525,12.094851177257205
67,57.59,72.63,36.21,63.33,57.44,15.45060516614155
68,54.02,70.53,41.38,60.0,56.4825,12.16353121698903
69,57.14,68.95,41.38,63.33,57.7,11.901196018328017
70,55.8,67.89,39.66,63.33,56.67,12.38737260277578
71,57.59,69.47,37.93,63.33,57.08,13.657198346171393
72,56.25,68.42,41.38,63.33,57.345,11.755227206084392
73,57.59,67.89,36.21,63.33,56.254999999999995,14.012055523726703
74,56.7,67.37,39.66,56.67,55.10000000000001,11.459659680810773
75,55.8,63.68,39.66,63.33,55.61749999999999,11.2422073010597
76,59.82,72.11,41.38,60.0,58.3275,12.678063403638058
77,54.91,60.0,39.66,63.33,54.474999999999994,10.465978215150269
78,58.48,70.0,41.38,63.33,58.2975,12.227151139983507
79,60.27,65.26,37.93,63.33,56.697500000000005,12.6792254626745
80,54.91,68.42,46.55,56.67,56.6375,9.01055445944736
81,57.14,68.42,39.66,46.67,52.9725,12.555708860912635
82,58.93,71.05,39.66,60.0,57.41,13.040074130668634
83,58.48,67.89,37.93,56.67,55.24250000000001,12.545929950917682
84,58.48,70.0,43.1,56.67,57.0625,11.022608206167298
85,57.14,65.79,43.1,63.33,57.34,10.16694316563899
86,54.46,66.84,43.1,56.67,55.2675,9.739778830480017
87,58.93,73.16,43.1,63.33,59.629999999999995,12.523069378817103
88,58.04,66.84,43.1,56.67,56.162499999999994,9.805108787429813
89,58.04,70.0,41.38,50.0,54.855,12.174589657698256
90,57.59,68.42,46.55,56.67,57.307500000000005,8.938636641009637
91,58.04,67.37,41.38,46.67,53.364999999999995,11.639858246559534
92,56.7,68.42,43.1,60.0,57.055,10.530974946952126
93,57.14,71.58,43.1,56.67,57.1225,11.631206228647711
94,59.82,67.89,41.38,63.33,58.105000000000004,11.629183118344985
95,58.04,69.47,37.93,63.33,57.192499999999995,13.66465117252053
96,59.82,71.58,41.38,63.33,59.0275,12.755901575349347
97,57.59,71.58,41.38,53.33,55.97,12.465073873293596
98,58.93,70.0,44.83,56.67,57.6075,10.319342275552255
99,58.48,67.89,41.38,56.67,56.105000000000004,10.979855797474452
100,60.27,71.05,48.28,60.0,59.9,9.300426513517177
101,58.93,68.95,39.66,56.67,56.052499999999995,12.16170047046602
102,60.27,74.74,44.83,60.0,59.959999999999994,12.212875719229002
103,58.48,67.89,44.83,56.67,56.9675,9.469179390704
104,58.93,69.47,43.1,60.0,57.875,10.929673676128974
105,56.7,68.95,41.38,63.33,57.59,11.910127343287868
106,58.48,69.47,43.1,46.67,54.42999999999999,11.988753062766785
107,58.04,70.53,41.38,63.33,58.31999999999999,12.39927686063452
108,58.48,71.58,43.1,60.0,58.29,11.695018882698164
109,58.04,71.05,44.83,60.0,58.480000000000004,10.7522307762932
110,59.82,71.58,44.83,60.0,59.057500000000005,10.965164157457925
111,58.48,68.95,39.66,56.67,55.94,12.128245270167213
