epoch,local_time_s,peak_vram_mb
0,66.63,4781.93
1,66.42,4908.05
2,66.61,4908.3
3,66.51,4908.92
4,66.46,4907.11
5,66.58,4905.86
6,66.54,4904.73
7,66.28,4899.17
8,66.88,4903.3
9,66.57,4903.17
10,66.63,4900.42
11,66.51,4899.86
12,66.24,4897.8
13,67.0,4897.36
14,66.64,4898.61
15,66.82,4897.36
16,67.16,4898.36
17,66.69,4898.36
18,67.12,4894.48
19,66.85,4897.23
20,66.7,4895.73
21,66.4,4897.23
22,66.59,4898.61
23,66.77,4898.11
24,66.33,4897.23
25,66.55,4898.36
26,66.55,4897.48
27,66.1,4896.36
28,66.51,4896.36
29,66.51,4896.36
30,66.9,4897.48
31,66.88,4897.23
32,66.72,4896.36
33,66.57,4897.23
34,66.9,4896.36
35,66.79,4898.11
36,66.42,4897.17
37,66.46,4895.48
38,66.48,4896.61
39,66.64,4896.86
40,66.74,4895.73
41,66.31,4897.23
42,66.64,4894.61
43,66.39,4893.98
44,66.78,4896.36
45,66.55,4892.86
46,66.75,4891.11
47,66.63,4896.36
48,66.36,4895.73
49,66.28,4896.36
50,66.53,4896.61
51,66.45,4895.73
52,66.88,4894.61
53,66.49,4896.36
54,66.46,4895.48
55,66.43,4896.86
56,66.71,4896.61
57,66.45,4896.23
58,66.33,4895.73
59,66.55,4897.11
60,66.74,4896.86
61,66.44,4895.73
62,66.36,4897.48
63,66.46,4895.73
64,66.25,4898.36
65,66.24,4894.98
66,66.33,4898.61
67,66.54,4897.48
68,66.71,4898.61
69,66.53,4897.8
70,66.81,4897.11
71,66.54,4897.8
72,66.38,4896.23
73,66.46,4896.23
74,67.43,4890.98
75,66.7,4887.73
76,66.38,4888.23
77,66.82,4890.23
78,66.74,4890.23
79,66.43,4896.36
80,66.76,4896.36
81,66.86,4894.61
82,66.79,4893.11
83,66.69,4891.86
84,66.31,4893.11
85,66.57,4897.48
86,66.23,4894.86
87,66.74,4895.98
88,66.71,4896.23
89,66.29,4896.61
90,66.58,4896.98
91,66.57,4894.98
92,66.76,4895.98
93,66.74,4894.86
94,66.64,4895.11
95,67.22,4898.36
96,66.41,4896.61
97,66.77,4895.86
98,66.57,4897.36
99,66.33,4896.48
100,66.78,4895.36
101,66.83,4896.86
102,66.74,4897.48
103,66.5,4897.48
104,66.37,4897.73
105,66.72,4899.23
106,66.28,4898.36
107,66.32,4894.55
108,66.38,4897.48
109,66.48,4897.8
110,66.62,4895.98
111,66.7,4897.42
112,66.62,4894.55
113,66.74,4895.73
114,66.41,4895.73
115,66.75,4896.61
116,66.76,4897.8
117,66.43,4897.48
118,66.96,4894.48
119,66.95,4893.36
120,66.7,4891.61
121,66.28,4895.61
122,66.79,4893.48
123,66.62,4895.11
124,66.77,4896.23
125,66.1,4898.48
126,66.41,4898.55
127,66.45,4899.61
128,66.24,4899.17
129,66.89,4895.67
130,66.35,4894.8
131,66.69,4895.67
132,66.21,4896.8
133,66.33,4893.67
134,66.87,4893.73
135,66.31,4893.11
136,66.48,4894.61
137,66.19,4895.11
138,66.67,4890.73
139,66.36,4891.36
140,66.8,4891.36
141,66.32,4893.86
142,66.31,4893.98
143,66.34,4891.67
144,66.46,4893.73
145,66.65,4895.48
146,66.94,4895.73
147,66.2,4896.3
148,66.67,4894.98
149,66.5,4893.73
150,66.75,4893.36
151,66.81,4894.3
152,66.33,4896.61
153,66.54,4895.36
154,66.27,4895.73
155,66.4,4892.23
156,66.24,4894.48
157,66.44,4895.48
158,66.56,4893.11
159,66.41,4892.98
160,66.2,4894.23
161,66.86,4892.48
162,66.29,4892.61
163,66.64,4897.48
164,66.07,4897.73
165,66.85,4895.98
166,66.1,4895.98
167,66.74,4894.23
168,66.67,4891.98
169,66.53,4892.86
170,66.45,4896.36
171,66.24,4894.86
172,66.24,4895.48
173,66.12,4892.86
174,66.69,4891.11
175,66.53,4891.98
176,66.59,4893.73
177,66.68,4896.36
178,66.32,4896.36
179,66.15,4894.61
180,66.48,4891.98
181,66.1,4893.98
182,66.47,4894.61
183,66.2,4894.23
184,66.55,4896.61
185,65.98,4897.48
186,66.25,4899.23
187,66.32,4899.48
188,66.46,4898.36
189,66.48,4896.23
190,66.57,4895.17
191,66.35,4897.11
192,66.44,4898.86
193,66.06,4897.11
194,66.06,4895.48
195,66.15,4895.73
196,66.49,4895.11
197,66.25,4893.73
198,66.75,4894.61
199,66.47,4894.61
