epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,9.82,10.0,10.34,13.33,10.8725,1.652460286966074
1,25.0,18.42,29.31,33.33,26.515,6.3791457108299365
2,22.32,21.05,29.31,23.33,24.0025,3.6592291993442188
3,27.68,18.95,34.48,33.33,28.609999999999996,7.092620578225417
4,29.02,20.53,36.21,36.67,30.607499999999998,7.576676382161244
5,30.36,22.63,37.93,40.0,32.73,7.906111560052768
6,33.48,24.21,36.21,36.67,32.6425,5.79529334891686
7,33.48,30.0,37.93,36.67,34.519999999999996,3.547891392550417
8,34.38,27.89,36.21,33.33,32.9525,3.5786624596348844
9,33.48,35.79,36.21,33.33,34.7025,1.5092465007413483
10,37.5,34.21,34.48,33.33,34.879999999999995,1.8143685770353652
11,33.04,32.63,39.66,33.33,34.665,3.342359446060022
12,37.05,41.58,37.93,43.33,39.9725,2.975997031808556
13,36.61,33.68,37.93,33.33,35.3875,2.244079246966708
14,41.07,42.63,39.66,46.67,42.5075,3.028535124445482
15,41.52,41.58,41.38,33.33,39.4525,4.082526791093968
16,41.07,42.11,36.21,43.33,40.68000000000001,3.1198504237650013
17,42.41,37.89,39.66,43.33,40.8225,2.500578266454914
18,43.75,44.21,37.93,43.33,42.30500000000001,2.93872421298767
19,44.64,46.84,34.48,43.33,42.322500000000005,5.425202761187827
20,45.98,45.79,41.38,43.33,44.120000000000005,2.1893834748622707
21,43.3,46.32,39.66,40.0,42.32,3.1314746260082225
22,45.54,48.95,36.21,40.0,42.675000000000004,5.672615504920695
23,43.75,46.32,31.03,46.67,41.942499999999995,7.3905677499544415
24,45.09,47.37,39.66,43.33,43.8625,3.253402065530789
25,45.54,50.0,34.48,46.67,44.1725,6.73329723587684
26,47.77,48.95,39.66,43.33,44.927499999999995,4.2645388574459835
27,45.54,49.47,43.1,36.67,43.69499999999999,5.368404480538575
28,48.66,52.63,41.38,46.67,47.334999999999994,4.679633176507179
29,46.43,50.0,39.66,46.67,45.69,4.337626078859267
30,50.45,47.37,36.21,43.33,44.34,6.154402218466605
31,49.11,51.05,41.38,46.67,47.052499999999995,4.184769009953435
32,46.88,48.42,37.93,46.67,44.97500000000001,4.761025799832078
33,47.77,49.47,41.38,50.0,47.155,3.9657744094522895
34,53.57,54.74,41.38,50.0,49.9225,6.0413264272012315
35,49.55,51.58,39.66,50.0,47.6975,5.428580999364997
36,49.11,52.63,43.1,50.0,48.71,4.027513707818593
37,53.57,56.84,41.38,50.0,50.4475,6.6591760000768865
38,51.34,51.58,43.1,50.0,49.005,3.9975784336687292
39,51.34,50.0,36.21,56.67,48.55500000000001,8.719642576772667
40,51.34,52.63,36.21,60.0,50.045,9.981123851217022
41,54.02,56.84,43.1,53.33,51.822500000000005,6.009960482399198
42,52.68,54.21,39.66,50.0,49.1375,6.5535353054668155
43,54.91,53.68,37.93,53.33,49.962500000000006,8.05023136313485
44,52.23,49.47,41.38,63.33,51.60249999999999,9.073313892950027
45,52.68,49.47,34.48,66.67,50.825,13.209846075308121
46,54.91,55.26,39.66,56.67,51.625,8.01285841632061
47,55.36,53.68,43.1,63.33,53.86749999999999,8.321471724801247
48,54.46,56.32,41.38,63.33,53.8725,9.162282739579693
49,52.68,55.79,37.93,63.33,52.432500000000005,10.652262279284464
50,53.57,55.79,41.38,63.33,53.5175,9.106244652251917
51,56.7,55.26,43.1,63.33,54.5975,8.432249106851621
52,55.36,55.79,43.1,70.0,56.0625,10.997697865159477
53,54.02,55.79,41.38,63.33,53.629999999999995,9.109888400340953
54,54.91,55.79,44.83,70.0,56.38249999999999,10.350778956194553
55,55.36,54.21,48.28,56.67,53.629999999999995,3.705554389471747
56,55.36,54.21,48.28,63.33,55.295,6.190123854442116
57,56.7,54.21,55.17,66.67,58.1875,5.747210192780494
58,57.14,58.42,46.55,73.33,58.86,11.016185062594642
59,53.12,54.21,46.55,60.0,53.47,5.513540907015504
60,55.8,59.47,43.1,70.0,57.0925,11.101301350142093
61,55.36,59.47,44.83,66.67,56.582499999999996,9.1234327421207
62,54.02,54.21,43.1,70.0,55.3325,11.071770033136827
63,55.8,53.68,48.28,63.33,55.272499999999994,6.2351871129368135
64,54.46,56.84,44.83,70.0,56.5325,10.37162595738971
65,53.12,59.47,46.55,66.67,56.4525,8.615251495651963
66,55.8,62.11,43.1,63.33,56.084999999999994,9.264306054242091
67,55.8,62.11,41.38,70.0,57.3225,12.11225928553381
68,54.91,62.11,43.1,60.0,55.03,8.50816470613179
69,54.91,57.89,39.66,70.0,55.614999999999995,12.478820724197728
70,55.36,56.84,41.38,66.67,55.0625,10.411418011010795
71,56.25,59.47,44.83,63.33,55.97,7.9707297867468405
72,55.8,56.32,41.38,66.67,55.042500000000004,10.393402955721479
73,55.36,61.05,46.55,66.67,57.4075,8.585632863491584
74,55.36,60.0,44.83,66.67,56.715,9.183000598932793
75,55.36,55.79,41.38,66.67,54.8,10.364796187094079
76,56.7,61.58,46.55,66.67,57.875,8.577398595533886
77,56.25,56.84,46.55,63.33,55.74249999999999,6.916990554665616
78,54.91,60.0,46.55,66.67,57.0325,8.486759786082477
79,57.14,60.0,41.38,63.33,55.462500000000006,9.723121498092402
80,55.8,62.63,46.55,66.67,57.91250000000001,8.803743048650768
81,57.14,59.47,44.83,66.67,57.0275,9.08726719096561
82,57.14,58.95,48.28,63.33,56.925,6.322101443876606
83,58.48,63.16,46.55,66.67,58.715,8.776531205436465
84,56.7,58.95,50.0,66.67,58.08,6.873519234472737
85,58.04,63.68,46.55,66.67,58.735,8.876457626778828
86,56.7,61.05,48.28,63.33,57.34,6.636700987689591
87,56.25,62.63,46.55,66.67,58.025000000000006,8.770562505715736
88,54.91,60.53,55.17,63.33,58.485,4.140285819441294
89,56.7,64.21,50.0,63.33,58.56,6.618373415475031
90,57.59,66.32,44.83,66.67,58.852500000000006,10.248597871578987
91,56.7,58.95,50.0,60.0,56.4125,4.491171896064546
92,56.7,65.26,48.28,63.33,58.3925,7.673953240236309
93,57.59,63.16,43.1,66.67,57.629999999999995,10.383079183620499
94,55.8,63.16,50.0,63.33,58.07249999999999,6.425300900865785
95,58.93,64.74,44.83,63.33,57.957499999999996,9.094743445162889
96,58.48,63.68,50.0,70.0,60.54,8.459440485831987
97,56.25,56.84,46.55,56.67,54.0775,5.024456023624185
98,57.14,64.21,46.55,66.67,58.6425,9.01709256541893
99,56.25,61.05,46.55,66.67,57.629999999999995,8.526210568984716
100,55.36,66.32,53.45,66.67,60.45,7.025036180215253
101,55.8,62.63,50.0,63.33,57.94,6.289446186536088
102,59.38,67.37,48.28,63.33,59.59,8.215355541099038
103,56.7,66.32,48.28,66.67,59.49250000000001,8.787291486383426
104,57.59,61.58,51.72,56.67,56.89,4.052299758573313
105,54.02,62.63,50.0,56.67,55.83,5.298131746191294
106,55.8,62.63,48.28,60.0,56.6775,6.26522878007393
107,56.25,63.16,50.0,66.67,59.019999999999996,7.409349948994627
108,55.8,62.63,53.45,66.67,59.6375,6.094332749913371
109,58.93,67.89,48.28,60.0,58.775,8.057147965212836
110,57.59,62.63,51.72,63.33,58.817499999999995,5.3783230038120005
111,55.36,66.32,48.28,60.0,57.489999999999995,7.607671566692835
112,54.91,63.16,48.28,63.33,57.42,7.2506413509426855
113,55.8,66.32,51.72,66.67,60.1275,7.540218277123458
114,57.14,65.79,46.55,63.33,58.2025,8.578482286123425
115,56.7,68.42,51.72,66.67,60.8775,7.994866582168003
116,54.02,58.42,46.55,56.67,53.915000000000006,5.232567884573184
117,57.14,68.42,51.72,66.67,60.9875,7.920914825111219
118,56.25,60.0,51.72,66.67,58.66,6.322641852896621
119,54.91,68.42,51.72,70.0,61.2625,9.291344986957846
120,55.8,63.68,50.0,60.0,57.37,5.8740900004454595
121,56.7,62.11,44.83,56.67,55.0775,7.294652721914412
122,56.25,66.84,51.72,60.0,58.7025,6.394593419444275
123,57.59,58.42,46.55,66.67,57.307500000000005,8.260300135790065
124,56.25,64.74,48.28,63.33,58.14999999999999,7.556176281691684
125,57.14,65.26,50.0,66.67,59.7675,7.74854556244805
126,54.91,57.37,50.0,66.67,57.2375,6.99495711209154
127,57.14,66.32,48.28,56.67,57.102500000000006,7.370827068020699
128,54.46,69.47,50.0,63.33,59.315,8.74803787524189
129,55.8,69.47,50.0,63.33,59.64999999999999,8.522906390036988
130,55.36,66.32,48.28,63.33,58.32249999999999,8.137634279486061
131,57.14,69.47,46.55,63.33,59.1225,9.77704582171936
132,56.7,64.21,43.1,66.67,57.67,10.598701178289094
133,57.59,62.63,48.28,63.33,57.957499999999996,6.939862510645773
134,56.7,68.95,46.55,60.0,58.05,9.249954954845277
135,55.36,67.37,43.1,60.0,56.4575,10.185926156548883
136,57.59,69.47,51.72,60.0,59.695,7.386368074590742
137,54.91,61.58,48.28,56.67,55.36,5.499496946691275
138,56.25,64.21,51.72,66.67,59.712500000000006,6.940299585272478
139,55.36,70.0,50.0,60.0,58.84,8.48817216287857
140,56.25,64.74,48.28,63.33,58.14999999999999,7.556176281691684
141,58.93,67.89,51.72,66.67,61.302499999999995,7.520156802443241
142,57.14,67.89,51.72,66.67,60.855000000000004,7.7578970518218835
143,58.93,65.26,46.55,63.33,58.5175,8.40659810307753
144,58.48,63.68,50.0,60.0,58.04,5.787526817792438
145,56.7,69.47,46.55,63.33,59.0125,9.80920783413897
146,58.04,63.68,46.55,63.33,57.89999999999999,7.994485599461671
147,56.7,68.95,48.28,66.67,60.150000000000006,9.53501966437406
148,57.14,66.32,39.66,63.33,56.6125,11.930714912918392
149,55.36,63.68,48.28,60.0,56.83,6.639146531495344
150,55.8,70.53,48.28,63.33,59.485,9.590052137501653
151,54.46,65.79,50.0,63.33,58.394999999999996,7.4162097237515265
152,54.91,65.26,50.0,53.33,55.875,6.58285905464589
153,54.91,68.95,48.28,66.67,59.7025,9.789516075884446
154,58.48,65.79,48.28,63.33,58.97,7.746788581943705
155,57.14,67.37,51.72,66.67,60.72500000000001,7.603536457903434
156,58.04,64.74,50.0,66.67,59.8625,7.543705433450239
157,57.59,66.32,50.0,63.33,59.31,7.1864455748304366
158,56.7,70.0,53.45,63.33,60.870000000000005,7.345152596554182
159,57.14,68.95,51.72,56.67,58.620000000000005,7.310079798926048
160,58.93,70.53,48.28,66.67,61.102500000000006,9.815142637781685
161,57.59,65.79,48.28,63.33,58.7475,7.77827048042601
162,55.36,66.32,53.45,63.33,59.614999999999995,6.1879048689089124
163,57.14,71.05,50.0,63.33,60.379999999999995,8.959043847792389
164,57.59,67.89,51.72,63.33,60.13249999999999,7.015156805089961
165,55.36,70.0,50.0,63.33,59.6725,8.797527588286762
166,58.48,62.11,46.55,60.0,56.785,6.98379314317561
167,55.8,68.42,51.72,66.67,60.6525,8.162529734504291
168,55.36,70.53,55.17,63.33,61.0975,7.348702266386903
169,57.14,66.84,50.0,63.33,59.3275,7.399213359089826
170,55.8,64.21,44.83,53.33,54.54249999999999,7.975894411704974
171,58.93,68.95,48.28,63.33,59.8725,8.748898502097278
172,58.04,67.89,50.0,53.33,57.315,7.783437543913358
173,57.59,67.89,50.0,63.33,59.7025,7.719997301381221
174,57.14,67.89,51.72,66.67,60.855000000000004,7.7578970518218835
175,57.59,67.89,50.0,70.0,61.370000000000005,9.319381238401327
176,58.04,66.84,51.72,70.0,61.65,8.332578632492266
177,56.25,60.53,55.17,63.33,58.81999999999999,3.7943642418724104
178,57.59,66.84,50.0,66.67,60.275000000000006,8.098973185945653
179,58.48,65.79,53.45,60.0,59.43000000000001,5.080597077772127
180,56.25,66.32,53.45,63.33,59.83749999999999,5.996962425539557
181,56.25,64.74,50.0,66.67,59.415000000000006,7.738434380846468
182,57.14,66.32,53.45,66.67,60.894999999999996,6.641016488460179
183,59.82,71.05,55.17,63.33,62.3425,6.698344944835252
184,55.8,66.84,53.45,60.0,59.0225,5.873842439153438
