epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,9.82,10.0,10.34,13.33,10.8725,1.652460286966074
1,24.55,17.89,31.03,36.67,27.535,8.115817888543337
2,21.88,21.05,31.03,23.33,24.3225,4.5698532069786815
3,19.64,17.89,29.31,23.33,22.5425,5.04940508046905
4,29.46,22.63,37.93,33.33,30.837500000000002,6.474994851992806
5,29.91,25.26,39.66,40.0,33.707499999999996,7.3214086759311545
6,33.93,23.16,37.93,33.33,32.087500000000006,6.292155830873867
7,33.04,28.95,37.93,33.33,33.3125,3.6709342589228338
8,35.27,30.53,39.66,33.33,34.697500000000005,3.838067004799854
9,33.48,35.79,37.93,33.33,35.13249999999999,2.178537353363491
10,36.16,32.63,39.66,36.67,36.28,2.8817471552283442
11,36.61,33.16,39.66,33.33,35.69,3.086411076531014
12,38.39,43.68,34.48,40.0,39.137499999999996,3.813540568378246
13,38.39,30.53,39.66,43.33,37.9775,5.3887374835546265
14,39.73,42.63,36.21,43.33,40.474999999999994,3.2424424949925226
15,41.96,41.58,37.93,36.67,39.535,2.6360892751700695
16,41.96,46.32,39.66,36.67,41.1525,4.0692126593072855
17,43.3,45.26,37.93,40.0,41.6225,3.281893508327166
18,43.3,44.21,36.21,43.33,41.7625,3.725653186579054
19,45.09,43.68,37.93,46.67,43.3425,3.809421434636325
20,44.64,45.79,44.83,46.67,45.4825,0.9381320091898945
21,44.64,48.42,41.38,40.0,43.61,3.7506443890794734
22,45.09,48.42,39.66,40.0,43.292500000000004,4.2252366797612675
23,43.75,44.74,37.93,43.33,42.4375,3.0625846927064733
24,42.86,50.0,41.38,43.33,44.3925,3.829563726240018
25,44.64,50.0,36.21,43.33,43.545,5.677866383305147
26,48.66,50.53,48.28,43.33,47.7,3.0748333288163776
27,46.43,47.37,43.1,36.67,43.3925,4.841641422768383
28,47.32,51.05,43.1,43.33,46.2,3.7693412333368443
29,47.32,51.58,43.1,43.33,46.332499999999996,3.998977994438078
30,46.43,51.58,39.66,46.67,46.084999999999994,4.89683230942889
31,47.32,49.47,41.38,40.0,44.5425,4.569116435373473
32,46.88,52.11,39.66,43.33,45.495000000000005,5.304428967067679
33,48.66,49.47,41.38,50.0,47.3775,4.03612334631471
34,53.12,51.58,41.38,50.0,49.019999999999996,5.250193647222292
35,50.0,54.21,37.93,53.33,48.86750000000001,7.51371357363765
36,51.79,54.74,43.1,56.67,51.575,5.995779070868662
37,54.91,53.68,41.38,53.33,50.825,6.333016658749601
38,50.89,52.63,43.1,46.67,48.322500000000005,4.287651843764059
39,54.02,52.11,37.93,56.67,50.182500000000005,8.37959973188855
40,51.34,52.63,39.66,56.67,50.075,7.305123772622431
41,56.25,54.74,37.93,56.67,51.39750000000001,9.016501076729636
42,52.23,52.11,37.93,56.67,49.735,8.151030609683662
43,56.25,52.63,37.93,63.33,52.535,10.702776898232221
44,54.02,54.21,39.66,56.67,51.14,7.747915848794438
45,53.57,51.58,37.93,66.67,52.4375,11.76222024109394
46,56.25,56.32,36.21,63.33,53.0275,11.693229878865804
47,53.57,55.26,41.38,63.33,53.385000000000005,9.065923376395071
48,55.8,60.0,43.1,66.67,56.3925,9.927783824533382
49,54.91,57.89,43.1,60.0,53.975,7.544704544690048
50,54.91,54.21,37.93,66.67,53.43000000000001,11.808844143268216
51,54.46,56.84,39.66,60.0,52.74,9.010408795757643
52,54.46,57.89,41.38,66.67,55.099999999999994,10.492807060076917
53,54.02,57.37,37.93,63.33,53.162499999999994,10.86040936920274
54,57.14,58.42,37.93,70.0,55.8725,13.286783847116654
55,53.57,55.79,44.83,66.67,55.215,8.983353123045612
56,54.46,56.84,43.1,66.67,55.2675,9.681423362984047
57,58.48,58.95,50.0,66.67,58.525000000000006,6.811737419092626
58,55.8,56.32,43.1,66.67,55.4725,9.648631595551084
59,57.14,55.79,43.1,63.33,54.84,8.487249259919256
60,54.02,57.89,41.38,66.67,54.989999999999995,10.504053185953188
61,54.02,57.89,41.38,63.33,54.155,9.333625590662326
62,54.91,55.79,43.1,70.0,55.949999999999996,11.009574620907628
63,56.7,54.74,43.1,66.67,55.302499999999995,9.667651817616658
64,54.46,58.95,50.0,70.0,58.3525,8.581706803816282
65,56.7,61.05,37.93,66.67,55.587500000000006,12.459075340222215
66,54.46,60.53,43.1,63.33,55.355000000000004,8.96971385645421
67,55.36,65.79,44.83,70.0,58.995000000000005,11.271534944274451
68,55.36,62.63,41.38,60.0,54.8425,9.46487673805986
69,57.14,59.47,39.66,66.67,55.735,11.458680843215188
70,55.8,62.11,43.1,66.67,56.92,10.234669836720023
71,54.02,58.95,44.83,66.67,56.11750000000001,9.150327407621363
72,56.25,62.11,41.38,63.33,55.7675,10.077229695374285
73,57.14,62.63,46.55,66.67,58.2475,8.721675584427572
74,54.46,55.79,50.0,70.0,57.5625,8.653517107704435
75,55.36,55.79,48.28,66.67,56.525000000000006,7.589433443940331
76,58.04,63.16,48.28,66.67,59.037499999999994,7.99935153621842
77,56.7,60.0,46.55,66.67,57.480000000000004,8.384107982765173
78,57.59,64.74,44.83,66.67,58.457499999999996,9.88898840461787
79,55.36,59.47,37.93,63.33,54.022499999999994,11.211040317472772
80,54.02,57.89,44.83,66.67,55.852500000000006,9.055813510300075
81,54.91,62.11,44.83,63.33,56.295,8.4984292666351
82,56.25,57.89,46.55,60.0,55.1725,5.949735988540445
83,57.59,62.63,41.38,70.0,57.9,12.135202237018273
84,57.59,59.47,48.28,70.0,58.835,8.907272309747805
85,58.04,64.74,48.28,70.0,60.265,9.369928850672594
86,55.8,60.0,44.83,66.67,56.825,9.163974756257971
87,55.8,61.05,50.0,63.33,57.545,5.93642148099341
88,53.12,62.63,53.45,70.0,59.8,8.103369669464673
89,55.36,64.21,48.28,66.67,58.629999999999995,8.4378788803822
90,57.59,64.74,44.83,66.67,58.457499999999996,9.88898840461787
91,55.8,64.21,44.83,66.67,57.8775,9.865121641419329
92,55.36,65.26,46.55,63.33,57.625,8.53670701539339
93,57.14,65.79,44.83,66.67,58.6075,10.141749931183805
94,57.59,64.21,50.0,73.33,61.2825,9.910295572450567
95,58.04,67.37,44.83,66.67,59.227500000000006,10.49427264432049
96,56.7,64.21,44.83,66.67,58.102500000000006,9.81206527699444
97,56.25,57.37,43.1,60.0,54.18,7.552037252732977
98,57.14,63.68,46.55,70.0,59.3425,10.014910134394619
99,57.59,62.11,48.28,66.67,58.66250000000001,7.851791196918064
100,56.7,63.16,50.0,63.33,58.2975,6.334310670204505
101,55.36,64.74,50.0,63.33,58.3575,6.935293192552615
102,59.38,68.42,50.0,63.33,60.2825,7.7899609541169506
103,57.59,66.84,50.0,63.33,59.44,7.358174592474233
104,55.36,61.05,50.0,66.67,58.269999999999996,7.191416179492512
105,53.57,62.11,50.0,66.67,58.087500000000006,7.6519120704130765
106,58.48,67.37,48.28,60.0,58.5325,7.8606928235790186
107,56.25,65.79,46.55,66.67,58.815,9.440358397151389
108,55.8,63.16,48.28,66.67,58.477500000000006,8.169065123990627
109,58.04,67.37,50.0,63.33,59.685,7.5022330009137965
110,58.93,63.16,48.28,66.67,59.260000000000005,7.974697486425425
111,56.25,66.32,48.28,60.0,57.7125,7.53730002498684
112,55.8,64.21,48.28,66.67,58.739999999999995,8.383734251513461
113,56.7,63.68,48.28,70.0,59.665,9.333486308270166
114,56.25,64.74,48.28,63.33,58.14999999999999,7.556176281691684
115,55.36,69.47,50.0,66.67,60.375,9.222018940195976
116,57.14,67.37,46.55,63.33,58.5975,9.066786917094722
117,56.25,66.84,46.55,63.33,58.24249999999999,8.953291294267155
118,58.48,64.21,50.0,66.67,59.84,7.403174994554701
119,54.91,66.32,46.55,66.67,58.6125,9.721818674164487
120,56.25,64.21,46.55,66.67,58.42,9.077305033250049
121,55.8,62.63,46.55,53.33,54.5775,6.641643245462679
122,58.04,66.32,51.72,63.33,59.85249999999999,6.412079095997905
123,56.7,56.84,46.55,63.33,55.855000000000004,6.931640017581218
124,57.59,63.16,50.0,66.67,59.355000000000004,7.271370801529333
125,57.59,62.11,48.28,70.0,59.495000000000005,9.066393990997744
126,57.14,58.42,48.28,63.33,56.792500000000004,6.270860520428329
127,58.93,67.37,50.0,66.67,60.74250000000001,8.118815081853594
128,56.25,68.42,50.0,60.0,58.667500000000004,7.699711574684687
129,57.14,67.37,50.0,60.0,58.6275,7.187059551722111
130,56.25,65.79,50.0,63.33,58.8425,7.148805844335124
131,56.25,67.37,51.72,63.33,59.667500000000004,7.013902266213868
132,58.04,63.68,50.0,66.67,59.5975,7.330867956797476
133,57.14,63.68,48.28,63.33,58.1075,7.207474708014358
134,58.04,67.37,51.72,60.0,59.2825,6.446127390405294
135,56.25,66.32,51.72,63.33,59.405,6.639179166131908
136,56.25,66.32,53.45,60.0,59.004999999999995,5.5661866060466645
137,55.36,62.11,51.72,63.33,58.129999999999995,5.526946112758232
138,57.14,62.11,46.55,60.0,56.45,6.90710262459352
139,57.14,70.0,51.72,66.67,61.38250000000001,8.437647282665155
