epoch,local_time_s,peak_vram_mb
0,65.46,4781.93
1,65.6,4908.05
2,65.74,4908.3
3,65.74,4908.92
4,66.09,4907.11
5,65.76,4905.86
6,65.56,4904.73
7,65.5,4899.17
8,65.67,4903.3
9,65.89,4903.17
10,65.61,4900.42
11,65.47,4899.86
12,65.42,4897.8
13,65.96,4897.36
14,65.85,4898.61
15,65.66,4897.36
16,66.1,4898.36
17,65.42,4898.36
18,66.13,4894.48
19,66.1,4897.23
20,65.71,4895.73
21,65.58,4897.23
22,65.73,4898.61
23,66.05,4898.11
24,65.47,4897.23
25,65.57,4898.36
26,65.75,4897.48
27,65.52,4896.36
28,65.63,4896.36
29,65.61,4896.36
30,65.87,4897.48
31,66.06,4897.23
32,65.84,4896.36
33,65.71,4897.23
34,66.04,4896.36
35,65.97,4898.11
36,65.65,4897.17
37,65.87,4895.48
38,65.87,4896.61
39,65.87,4896.86
40,66.04,4895.73
41,65.5,4897.23
42,65.91,4894.61
43,65.51,4893.98
44,65.85,4896.36
45,65.66,4892.86
46,65.61,4891.11
47,65.77,4896.36
48,65.74,4895.73
49,65.46,4896.36
50,65.41,4896.61
51,65.41,4895.73
52,65.97,4894.61
53,65.54,4896.36
54,65.8,4895.48
55,65.84,4896.86
56,65.96,4896.61
57,65.56,4896.23
58,65.61,4895.73
59,65.72,4897.11
60,65.96,4896.86
61,65.55,4895.73
62,65.79,4897.48
63,65.88,4895.73
64,65.36,4898.36
65,65.5,4894.98
66,65.46,4898.61
67,65.72,4897.48
68,65.86,4898.61
69,65.41,4897.8
70,65.92,4897.11
71,65.74,4897.8
72,65.56,4896.23
73,65.47,4896.23
74,66.39,4890.98
75,65.69,4887.73
76,65.65,4888.23
77,66.01,4890.23
78,65.8,4890.23
79,65.79,4896.36
80,65.89,4896.36
81,65.95,4894.61
82,65.6,4893.11
83,65.51,4891.86
84,65.62,4893.11
85,66.07,4897.48
86,65.53,4894.86
87,66.03,4895.98
88,66.08,4896.23
89,65.38,4896.61
90,65.89,4896.98
91,65.77,4894.98
92,65.8,4895.98
93,65.99,4894.86
94,65.77,4895.11
95,66.02,4898.36
96,65.8,4896.61
97,65.83,4895.86
98,65.77,4897.36
99,65.36,4896.48
100,65.84,4895.36
101,65.86,4896.86
102,65.92,4897.48
103,65.6,4897.48
104,65.71,4897.73
105,65.81,4899.23
106,65.65,4898.36
107,65.39,4894.55
108,65.73,4897.48
109,65.98,4897.8
110,65.96,4895.98
111,65.73,4897.42
112,65.89,4894.55
113,66.01,4895.73
114,65.63,4895.73
115,66.11,4896.61
116,65.81,4897.8
117,65.6,4897.48
118,65.55,4894.48
119,66.14,4893.36
120,66.05,4891.61
121,65.81,4895.61
122,65.78,4893.48
123,66.01,4895.11
124,65.9,4896.23
125,65.49,4898.48
126,65.5,4898.55
127,65.79,4899.61
128,65.62,4899.17
129,65.96,4895.67
130,65.55,4894.8
131,66.08,4895.67
132,65.61,4896.8
133,65.49,4893.67
134,66.0,4893.73
135,65.6,4893.11
136,65.47,4894.61
137,65.43,4895.11
138,65.71,4890.73
139,65.6,4891.36
140,65.94,4891.36
141,65.72,4893.86
142,65.5,4893.98
143,65.49,4891.67
144,65.79,4893.73
145,66.04,4895.48
146,66.25,4895.73
147,65.4,4896.3
148,65.61,4894.98
149,65.88,4893.73
150,65.72,4893.36
151,65.91,4894.3
152,65.48,4896.61
153,65.91,4895.36
154,65.76,4895.73
155,65.72,4892.23
156,65.73,4894.48
157,65.78,4895.48
158,66.03,4893.11
159,65.61,4892.98
160,65.32,4894.23
161,66.43,4892.48
162,65.59,4892.61
163,66.05,4897.48
164,65.48,4897.73
165,66.13,4895.98
166,65.48,4895.98
167,66.07,4894.23
168,65.76,4891.98
169,65.97,4892.86
170,65.58,4896.36
171,65.69,4894.86
172,65.74,4895.48
173,65.57,4892.86
174,65.8,4891.11
175,65.76,4891.98
176,65.84,4893.73
177,66.03,4896.36
178,65.65,4896.36
179,65.36,4894.61
180,65.73,4891.98
181,65.51,4893.98
182,65.76,4894.61
183,65.77,4894.23
184,65.86,4896.61
185,65.44,4897.48
186,65.76,4899.23
187,65.71,4899.48
188,65.98,4898.36
189,66.13,4896.23
190,65.98,4895.17
191,65.73,4897.11
192,65.84,4898.86
193,65.47,4897.11
194,65.37,4895.48
195,65.41,4895.73
196,65.76,4895.11
197,65.73,4893.73
198,66.09,4894.61
199,65.8,4894.61
