epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,8.48,9.47,10.34,13.33,10.405000000000001,2.0928210625851413
1,20.54,16.32,25.86,36.67,24.8475,8.795253928492723
2,25.0,16.84,36.21,36.67,28.680000000000003,9.561537533263152
3,25.0,19.47,36.21,40.0,30.17,9.562590304584493
4,26.34,17.37,34.48,40.0,29.5475,9.868533747894533
5,27.23,18.42,34.48,40.0,30.0325,9.34229584559741
6,27.23,20.0,34.48,43.33,31.26,9.984684939112165
7,29.02,20.53,36.21,40.0,31.439999999999998,8.581200382230914
8,30.36,23.16,36.21,43.33,33.265,8.57374480609261
9,29.91,22.11,34.48,43.33,32.457499999999996,8.86683474151477
10,30.8,22.63,37.93,43.33,33.6725,8.973696284140665
11,30.8,23.16,36.21,46.67,34.21,9.882344526140209
12,32.14,26.32,39.66,46.67,36.197500000000005,8.863604891164016
13,31.7,26.32,43.1,46.67,36.947500000000005,9.536950508417249
14,31.7,27.37,44.83,43.33,36.807500000000005,8.603419378363464
15,33.04,25.26,41.38,43.33,35.7525,8.297338428676992
16,33.93,27.37,44.83,46.67,38.2,9.15094894897063
17,32.59,29.47,43.1,46.67,37.957499999999996,8.230039995852593
18,33.04,30.0,51.72,46.67,40.3575,10.484554910279535
19,32.59,26.84,44.83,43.33,36.8975,8.641170348974724
20,33.48,27.89,44.83,50.0,39.05,10.146943710628667
21,34.82,33.68,46.55,43.33,39.595,6.327456044888813
22,33.93,32.11,44.83,46.67,39.385,7.425225024648524
23,34.38,32.11,48.28,53.33,42.025000000000006,10.38719243427533
24,35.71,30.53,41.38,50.0,39.405,8.338131285445998
25,36.16,33.68,46.55,53.33,42.43,9.158962823376891
26,37.95,33.16,50.0,50.0,42.7775,8.566019592942027
27,35.71,32.11,50.0,46.67,41.1225,8.565533161066703
28,36.16,33.68,50.0,53.33,43.292500000000004,9.815203767625
29,37.05,35.26,50.0,46.67,42.245000000000005,7.199511557506293
30,36.16,34.21,48.28,50.0,42.1625,8.126550621266073
31,36.61,36.84,43.1,43.33,39.97,3.7493555001715513
32,34.82,35.79,50.0,43.33,40.985,7.112535881573229
33,39.29,35.26,51.72,43.33,42.4,7.032756690421379
34,36.61,36.84,51.72,43.33,42.125,7.114831925866788
35,38.39,34.21,44.83,43.33,40.19,4.84388274011665
36,37.05,38.95,53.45,50.0,44.8625,8.085622528084444
37,37.05,37.89,50.0,43.33,42.067499999999995,5.976210477105594
38,36.61,36.32,50.0,43.33,41.565,6.489131939892525
39,42.86,42.63,50.0,43.33,44.705,3.542000376435139
40,41.96,39.47,44.83,46.67,43.2325,3.1698619843772384
41,44.2,41.58,48.28,50.0,46.015,3.8285724058278783
42,44.64,38.95,48.28,46.67,44.635000000000005,4.072120659639969
43,42.41,37.37,50.0,50.0,44.945,6.189046776362255
44,44.2,44.21,48.28,43.33,45.004999999999995,2.2219585954738226
45,45.54,41.58,46.55,46.67,45.08500000000001,2.3909900320439097
46,43.3,40.53,43.1,50.0,44.2325,4.0465901283261525
47,45.54,39.47,44.83,50.0,44.959999999999994,4.3164414355654905
48,45.09,41.58,48.28,50.0,46.2375,3.7120198903921127
49,44.2,44.21,46.55,50.0,46.239999999999995,2.739598510731088
50,41.96,36.84,48.28,53.33,45.102500000000006,7.209541709891595
51,46.88,46.32,44.83,50.0,47.0075,2.1745095232411997
52,43.75,40.53,48.28,53.33,46.4725,5.568293424979206
53,45.09,42.11,50.0,50.0,46.8,3.890167091527046
54,45.54,41.05,50.0,53.33,47.480000000000004,5.344199347579268
55,49.11,47.37,51.72,46.67,48.7175,2.2492276452151296
56,45.09,46.84,48.28,50.0,47.5525,2.0889451085815205
57,46.88,47.89,48.28,53.33,49.095,2.8843081203875087
58,45.54,40.0,48.28,53.33,46.787499999999994,5.557525678453197
59,46.43,46.32,48.28,53.33,48.59,3.285432493092296
60,42.86,41.05,51.72,50.0,46.4075,5.241382610215235
61,47.77,48.42,55.17,50.0,50.34,3.353396288342114
62,49.55,50.0,50.0,53.33,50.72,1.7528833389589848
63,47.77,48.95,51.72,53.33,50.442499999999995,2.538994223440978
64,50.0,49.47,50.0,53.33,50.7,1.7710448893238133
65,45.98,42.63,46.55,60.0,48.79,7.670797437902615
66,48.21,47.37,48.28,53.33,49.2975,2.7199433204878853
67,48.66,49.47,44.83,63.33,51.57249999999999,8.095333532350597
68,45.54,45.79,46.55,53.33,47.802499999999995,3.7099449681453045
69,49.11,50.53,48.28,53.33,50.3125,2.2158275354067296
70,46.88,51.58,48.28,53.33,50.0175,2.959553738882489
71,48.21,52.11,50.0,70.0,55.08,10.073572686324683
72,50.0,51.05,48.28,63.33,53.16499999999999,6.8721879097319984
73,48.21,51.05,53.45,63.33,54.00999999999999,6.572102656938137
74,50.89,47.37,44.83,63.33,51.60499999999999,8.202087132756718
75,47.32,48.42,53.45,63.33,53.129999999999995,7.304852268640801
76,51.34,55.26,51.72,70.0,57.08,8.792345155493688
77,50.45,51.05,48.28,66.67,54.1125,8.45580027752154
78,48.21,44.74,48.28,66.67,51.97500000000001,9.935064166878844
79,49.55,54.21,50.0,70.0,55.94,9.605418609652922
80,50.45,50.53,46.55,70.0,54.3825,10.576084262775773
81,49.55,49.47,43.1,70.0,53.03,11.709964417822398
82,47.77,50.53,46.55,66.67,52.88000000000001,9.342868938393602
83,52.68,54.74,51.72,73.33,58.11749999999999,10.219622873015748
84,52.23,54.21,50.0,70.0,56.61,9.090812211605005
85,52.23,51.58,46.55,63.33,53.4225,7.075937511500979
86,50.0,54.74,55.17,70.0,57.477500000000006,8.67072613260658
87,50.89,56.84,51.72,70.0,57.3625,8.826295466766716
88,48.66,55.26,51.72,66.67,55.5775,7.871392824653082
89,51.34,55.26,51.72,70.0,57.08,8.792345155493688
90,50.45,52.63,48.28,70.0,55.34,9.93336800888802
91,51.79,54.74,50.0,73.33,57.465,10.755707012248582
92,50.89,56.32,51.72,73.33,58.065,10.453147851245575
93,52.68,57.37,56.9,70.0,59.2375,7.478495280914917
94,51.34,53.68,44.83,73.33,55.795,12.275011201624217
95,50.89,54.74,48.28,70.0,55.9775,9.717614161922668
96,50.45,54.21,50.0,73.33,56.9975,11.050723581135609
97,49.55,55.79,50.0,66.67,55.5025,7.968803235116301
98,49.55,53.16,50.0,73.33,56.50999999999999,11.327791782455515
99,50.89,56.32,55.17,70.0,58.095,8.273397125727739
100,50.45,56.84,56.9,66.67,57.715,6.6933325033200015
101,52.23,54.21,51.72,73.33,57.8725,10.360811985554028
102,51.79,57.37,51.72,73.33,58.552499999999995,10.20109920547781
103,51.79,55.79,50.0,73.33,57.72749999999999,10.679576692609746
104,52.23,54.74,51.72,73.33,58.004999999999995,10.301580784843978
105,51.34,56.84,56.9,73.33,59.602500000000006,9.515742658002752
106,51.79,53.68,48.28,73.33,56.769999999999996,11.264430744604894
107,51.34,53.68,48.28,73.33,56.6575,11.332785403421347
108,51.79,55.79,44.83,73.33,56.435,12.139592250154038
109,51.34,53.68,58.62,73.33,59.24250000000001,9.86975303642396
110,52.23,56.84,58.62,73.33,60.254999999999995,9.123078793185263
111,50.45,54.21,46.55,70.0,55.302499999999995,10.285314368878895
112,48.21,55.26,62.07,73.33,59.7175,10.694644687880004
113,50.45,54.74,46.55,73.33,56.2675,11.856577288577004
114,52.23,54.74,51.72,73.33,58.004999999999995,10.301580784843978
115,51.79,58.95,55.17,73.33,59.81,9.475934430615975
116,51.34,60.0,51.72,73.33,59.0975,10.295385293097743
117,52.68,59.47,56.9,73.33,60.595,8.939539510884588
118,52.23,57.37,51.72,73.33,58.662499999999994,10.105798253148206
119,51.79,56.84,55.17,73.33,59.2825,9.59771283518457
120,53.57,60.0,51.72,73.33,59.655,9.782911972754668
