epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,8.48,9.47,10.34,13.33,10.405000000000001,2.0928210625851413
1,20.54,16.84,25.86,36.67,24.9775,8.629478064556784
2,24.11,16.84,36.21,36.67,28.4575,9.685271894307702
3,25.89,18.42,36.21,36.67,29.297500000000003,8.795216029183138
4,26.34,17.37,34.48,40.0,29.5475,9.868533747894533
5,26.79,17.37,34.48,40.0,29.659999999999997,9.822236676711334
6,27.23,19.47,34.48,40.0,30.295,8.912091037835435
7,28.57,21.05,34.48,40.0,31.025,8.124352281874536
8,29.91,23.16,36.21,43.33,33.1525,8.627353302143131
9,29.46,22.63,34.48,40.0,31.6425,7.391158569534278
10,29.46,23.16,39.66,43.33,33.9025,9.258575754401969
11,31.7,23.16,36.21,40.0,32.7675,7.248068133417806
12,31.25,25.79,41.38,46.67,36.2725,9.474577827006332
13,32.14,26.32,43.1,46.67,37.057500000000005,9.458464903637024
14,32.14,26.32,44.83,43.33,36.655,8.91784166713
15,32.14,26.32,41.38,46.67,36.6275,9.125427387251515
16,33.48,27.89,50.0,43.33,38.675,9.886504269288851
17,31.7,27.89,39.66,46.67,36.480000000000004,8.378245639750604
18,33.48,28.42,50.0,46.67,39.6425,10.33738321175464
19,34.38,26.84,44.83,43.33,37.345,8.386332134292479
20,33.93,26.84,44.83,50.0,38.9,10.46453375295176
21,34.38,31.58,48.28,46.67,40.227500000000006,8.471935532490004
22,34.82,32.63,44.83,46.67,39.7375,7.0401580237946355
23,34.82,31.58,46.55,53.33,41.57,10.140029585755656
24,35.27,30.0,41.38,46.67,38.33,7.2482319683262535
25,36.61,32.63,50.0,50.0,42.31,9.027081477421149
26,36.61,32.63,51.72,50.0,42.74,9.541785297661368
27,36.16,31.58,50.0,46.67,41.1025,8.665426994672567
28,34.82,31.05,48.28,53.33,41.870000000000005,10.63319644634983
29,35.71,33.16,51.72,50.0,42.6475,9.565756199416054
30,36.61,34.74,53.45,50.0,43.7,9.403938891053402
31,36.61,35.26,41.38,43.33,39.144999999999996,3.830965935635555
32,36.61,36.84,48.28,50.0,42.932500000000005,7.202728071131567
33,37.95,35.26,50.0,43.33,41.635000000000005,6.508100081180887
34,36.16,35.79,46.55,50.0,42.125,7.241309734203245
35,35.71,33.16,43.1,46.67,39.66,6.2935469596510805
36,38.39,36.32,51.72,46.67,43.275000000000006,7.1897913738856145
37,39.29,36.32,51.72,50.0,44.332499999999996,7.666434960266734
38,37.95,31.58,51.72,43.33,41.144999999999996,8.5303790458963
39,44.64,41.58,46.55,43.33,44.02499999999999,2.0988012451555926
40,42.41,38.42,48.28,43.33,43.11,4.052299758573313
41,45.09,40.53,50.0,46.67,45.572500000000005,3.9356013941116204
42,43.3,36.32,50.0,46.67,44.072500000000005,5.847514429225464
43,43.3,40.0,51.72,46.67,45.4225,5.0041074795278595
44,43.75,43.68,48.28,46.67,45.595,2.2683400685670283
45,45.09,41.05,51.72,46.67,46.13250000000001,4.413149857716897
46,43.75,37.89,46.55,50.0,44.5475,5.121785984074955
47,45.09,40.0,46.55,50.0,45.41,4.152838386774359
48,44.2,40.53,50.0,53.33,47.015,5.737853838036191
49,44.2,42.63,46.55,50.0,45.845,3.2043356045624587
50,42.86,35.79,48.28,53.33,45.065,7.51740425058189
51,45.98,42.63,46.55,53.33,47.1225,4.48511148133466
52,44.64,41.58,46.55,53.33,46.52499999999999,4.977110942437724
53,44.2,42.11,46.55,53.33,46.5475,4.87184000147788
54,45.54,44.21,51.72,50.0,47.8675,3.567626428500233
55,47.32,46.84,51.72,50.0,48.97,2.3009273492804287
56,44.2,44.21,46.55,50.0,46.239999999999995,2.739598510731088
57,46.88,46.84,51.72,50.0,48.86,2.413848932030888
58,47.77,45.79,50.0,56.67,50.057500000000005,4.7319014853087
59,45.98,47.37,50.0,56.67,50.004999999999995,4.745738439203467
60,45.54,42.11,51.72,50.0,47.3425,4.353269843845352
61,47.32,46.32,51.72,53.33,49.6725,3.3834437584606984
62,50.0,46.32,50.0,53.33,49.912499999999994,2.8636034990899133
63,45.54,39.47,50.0,56.67,47.92,7.256165194738427
64,48.21,51.05,48.28,63.33,52.7175,7.197561508362861
65,45.54,44.21,50.0,56.67,49.105000000000004,5.618436911929629
66,46.88,46.32,48.28,53.33,48.7025,3.1932259028553958
67,48.66,53.16,48.28,63.33,53.3575,7.008025756231208
68,45.54,46.32,51.72,53.33,49.22749999999999,3.877038173657824
69,48.21,52.11,48.28,60.0,52.15,5.54149799242046
70,48.21,50.53,50.0,60.0,52.185,5.303712536202038
71,47.32,49.47,53.45,70.0,55.06,10.27864128504671
72,49.55,51.58,50.0,66.67,54.45,8.193041763187427
73,46.43,47.89,53.45,66.67,53.61,9.217013254483978
74,48.21,48.95,44.83,66.67,52.165000000000006,9.834895356162498
75,47.77,50.53,50.0,70.0,54.575,10.352637345140609
76,50.45,54.74,48.28,70.0,55.8675,9.796568702016707
77,50.45,49.47,46.55,66.67,53.285,9.075790140074124
78,46.43,46.32,53.45,70.0,54.05,11.144203276442271
79,48.21,53.16,50.0,70.0,55.3425,9.983661235572182
80,49.11,51.05,48.28,73.33,55.442499999999995,11.981356002834849
81,49.11,51.05,51.72,73.33,56.302499999999995,11.405493924713065
82,48.21,52.11,48.28,73.33,55.4825,12.037057710808456
83,52.68,57.37,51.72,73.33,58.77499999999999,10.012393986122067
84,50.45,55.26,50.0,73.33,57.260000000000005,10.974646539486665
85,51.34,53.68,46.55,73.33,56.224999999999994,11.783136254834703
86,50.45,51.05,56.9,73.33,57.932500000000005,10.669359165385707
87,50.89,56.84,51.72,70.0,57.3625,8.826295466766716
88,49.11,55.26,53.45,66.67,56.1225,7.490239760292503
89,50.45,53.68,50.0,70.0,56.0325,9.454816673703055
90,49.55,53.16,46.55,66.67,53.9825,8.879532176115289
91,51.79,52.63,48.28,73.33,56.50749999999999,11.372160085049805
92,50.89,55.26,50.0,73.33,57.370000000000005,10.885479625017293
93,50.45,54.21,51.72,70.0,56.595,9.072098250496776
94,49.11,54.74,48.28,73.33,56.364999999999995,11.66839177721877
95,50.0,56.32,46.55,73.33,56.55,11.895710711568828
96,50.45,53.68,48.28,73.33,56.435,11.479769161442228
97,49.55,54.74,46.55,73.33,56.04249999999999,12.011304050768176
98,51.79,53.68,50.0,73.33,57.2,10.8577990403212
99,50.0,53.16,53.45,73.33,57.485,10.678266088961571
100,50.89,56.32,50.0,73.33,57.635000000000005,10.82975068965117
101,51.34,52.11,51.72,73.33,57.125,10.807906056833271
102,50.0,56.84,53.45,73.33,58.405,10.334423060819601
103,50.45,56.84,51.72,73.33,58.084999999999994,10.53195929856675
104,51.34,55.79,55.17,73.33,58.9075,9.814330933215297
105,51.34,57.89,55.17,73.33,59.432500000000005,9.646714034668314
106,51.34,55.79,50.0,73.33,57.614999999999995,10.765000387056812
107,50.45,60.53,44.83,73.33,57.285,12.51420925721371
108,50.0,56.84,46.55,73.33,56.67999999999999,11.895200712892574
109,49.55,56.84,55.17,73.33,58.7225,10.22542378909875
110,50.89,57.37,56.9,73.33,59.6225,9.602740494254752
111,48.66,55.26,50.0,73.33,56.8125,11.374114983886292
112,50.0,55.79,58.62,73.33,59.435,9.933789139430464
113,50.89,55.79,55.17,73.33,58.795,9.931866222753237
114,50.89,56.32,53.45,73.33,58.4975,10.134033007643104
115,50.89,60.0,55.17,73.33,59.8475,9.72825566755589
116,52.23,56.84,51.72,73.33,58.53,10.131834318950673
117,51.79,62.11,53.45,73.33,60.17,9.87137275154778
118,50.89,58.42,53.45,73.33,59.022499999999994,10.03756070965451
119,51.34,59.47,55.17,73.33,59.8275,9.594708176906682
120,52.68,64.74,48.28,73.33,59.75749999999999,11.414348791470028
121,54.46,59.47,56.9,73.33,61.040000000000006,8.444820898041591
122,53.57,55.26,50.0,73.33,58.03999999999999,10.426488702658563
123,50.45,55.79,60.34,73.33,59.977500000000006,9.77631619442279
124,50.89,56.84,56.9,73.33,59.489999999999995,9.647732030551705
125,52.23,60.0,48.28,73.33,58.459999999999994,11.044362060949167
126,49.55,62.63,51.72,73.33,59.307500000000005,10.96127235619418
127,51.79,61.05,56.9,73.33,60.7675,9.191468417324115
128,50.0,56.84,55.17,73.33,58.834999999999994,10.092480699345758
129,50.45,55.79,56.9,73.33,59.11750000000001,9.884504287014092
130,49.55,54.74,60.34,73.33,59.489999999999995,10.224711894881603
131,51.34,62.63,48.28,73.33,58.894999999999996,11.4320558081213
132,51.34,55.79,55.17,73.33,58.9075,9.814330933215297
133,51.34,58.95,48.28,73.33,57.974999999999994,11.17650660984907
134,50.89,57.89,51.72,73.33,58.457499999999996,10.395099406290766
135,50.89,58.42,55.17,73.33,59.4525,9.752047220968528
136,52.68,62.11,55.17,73.33,60.82249999999999,9.243849757180897
137,53.12,63.16,51.72,73.33,60.332499999999996,10.05194964505228
138,50.45,57.89,53.45,73.33,58.78,10.170093411567073
139,50.45,59.47,60.34,73.33,60.897499999999994,9.417463830564998
140,52.23,66.32,55.17,73.33,61.76249999999999,9.813383293577534
141,51.34,60.53,56.9,73.33,60.525000000000006,9.335825262574986
142,50.89,58.42,55.17,73.33,59.4525,9.752047220968528
143,50.89,60.53,50.0,73.33,58.6875,10.863874002092132
144,50.89,56.84,56.9,73.33,59.489999999999995,9.647732030551705
145,52.68,63.68,55.17,73.33,61.215,9.349468790614077
146,51.79,64.74,55.17,73.33,61.25749999999999,9.739340754554863
147,50.0,60.0,53.45,73.33,59.19499999999999,10.29561880931237
148,50.89,60.53,51.72,73.33,59.11749999999999,10.430804938578166
149,51.34,60.53,55.17,73.33,60.0925,9.596181098054926
150,50.45,57.89,53.45,73.33,58.78,10.170093411567073
151,49.11,58.42,51.72,73.33,58.144999999999996,10.856207133862789
152,51.34,56.84,53.45,73.33,58.739999999999995,9.987028253356115
153,50.45,63.68,55.17,70.0,59.825,8.716866791839063
154,51.34,58.95,48.28,73.33,57.974999999999994,11.17650660984907
155,52.23,61.58,51.72,73.33,59.715,10.145470253599223
156,52.23,63.68,58.62,73.33,61.965,8.908118020472488
157,50.89,61.58,51.72,73.33,59.379999999999995,10.491237613678695
158,51.34,60.53,55.17,73.33,60.0925,9.596181098054926
159,52.23,63.68,56.9,73.33,61.535,9.16131904622182
160,51.79,62.11,51.72,73.33,59.7375,10.29284338751931
161,51.79,64.74,53.45,73.33,60.8275,10.127916452393682
162,52.68,63.16,51.72,73.33,60.2225,10.159023493098799
163,51.34,64.21,55.17,73.33,61.0125,9.825763329126138
164,53.12,61.58,51.72,73.33,59.9375,9.9341578237245
165,52.23,63.68,55.17,73.33,61.10249999999999,9.488081558811912
166,53.57,63.16,53.45,73.33,60.8775,9.466464933296553
167,53.57,61.05,56.9,73.33,61.212500000000006,8.638396359664602
168,51.79,62.11,55.17,73.33,60.599999999999994,9.511992430610949
169,51.79,62.63,48.28,73.33,59.00749999999999,11.3347265075078
170,54.02,66.32,53.45,73.33,61.78,9.723178492653519
171,53.12,64.74,55.17,73.33,61.58999999999999,9.32214925146914
172,53.12,60.53,50.0,73.33,59.245000000000005,10.376642038732953
173,52.23,59.47,51.72,73.33,59.1875,10.070757584875794
174,50.89,60.0,55.17,73.33,59.8475,9.72825566755589
175,50.89,61.58,48.28,73.33,58.519999999999996,11.42765942789686
