epoch,local_time_s,peak_vram_mb
0,69.87,2482.97
1,69.45,2483.29
2,68.71,2481.54
3,70.32,2481.72
4,71.62,2482.22
5,70.66,2481.41
6,69.02,2479.41
7,68.85,2481.47
8,68.84,2481.72
9,68.72,2480.47
10,68.96,2480.22
11,69.01,2482.72
12,68.86,2482.79
13,69.32,2481.04
14,69.33,2481.29
15,65.46,2482.35
16,65.33,2483.66
17,64.99,2483.29
18,65.91,2481.72
19,65.4,2482.85
20,64.87,2480.6
21,65.28,2483.85
22,65.38,2483.22
23,65.53,2482.72
24,65.16,2482.1
25,65.02,2482.85
26,65.38,2479.91
27,65.61,2485.22
28,65.21,2483.97
29,64.95,2484.29
30,65.22,2485.16
31,65.31,2486.29
32,65.43,2485.1
33,64.91,2483.66
34,65.21,2485.22
35,65.35,2484.79
36,64.96,2483.79
37,65.01,2483.54
38,65.04,2485.22
39,65.32,2482.97
40,65.28,2483.79
41,64.84,2483.04
42,65.12,2481.66
43,64.65,2481.52
44,65.34,2482.47
45,65.06,2484.72
46,64.94,2484.97
47,65.16,2485.22
48,64.8,2483.1
49,64.69,2482.72
50,64.89,2481.47
51,64.89,2482.97
52,65.51,2483.47
53,65.3,2483.1
54,65.07,2484.1
55,65.03,2484.1
56,65.14,2484.72
57,64.74,2484.54
58,64.96,2484.54
59,65.14,2482.79
60,65.32,2483.72
61,65.11,2485.47
62,65.07,2486.16
63,65.24,2484.35
64,64.69,2483.1
65,65.39,2483.41
66,64.86,2482.91
67,65.1,2482.35
68,64.74,2484.04
69,64.78,2486.35
70,65.16,2483.54
71,64.96,2484.1
72,64.77,2483.22
73,64.98,2483.1
74,66.07,2482.29
75,65.48,2482.79
76,65.0,2484.97
77,65.46,2483.85
78,65.16,2479.72
79,65.08,2479.97
80,65.3,2483.72
81,65.45,2484.85
82,65.13,2484.16
83,65.22,2482.47
84,64.78,2480.8
85,65.14,2483.1
86,64.85,2482.29
87,65.26,2482.16
88,65.32,2479.72
89,64.83,2482.6
90,65.02,2482.35
91,65.09,2484.16
92,65.05,2485.97
93,65.14,2486.04
94,65.21,2482.36
95,67.35,2481.49
96,64.79,2482.47
97,65.16,2483.47
98,65.15,2482.79
99,64.79,2483.35
100,65.26,2484.66
101,65.23,2481.97
102,65.25,2481.97
103,65.09,2481.97
104,65.13,2481.66
105,65.18,2483.22
106,64.99,2483.22
107,64.81,2484.35
108,64.94,2484.35
109,65.41,2483.47
110,65.32,2483.66
111,64.97,2484.97
112,65.28,2484.72
113,65.23,2484.41
114,65.28,2484.85
115,65.58,2486.35
116,65.23,2481.54
117,65.01,2481.35
118,65.07,2481.54
119,65.16,2481.72
120,64.93,2481.35
121,65.0,2485.47
122,65.11,2483.79
123,65.28,2484.22
124,65.2,2484.91
125,64.69,2485.04
126,64.71,2482.6
127,65.53,2481.47
128,64.99,2484.22
129,65.59,2485.85
130,64.83,2484.6
131,65.48,2485.97
132,64.79,2485.97
133,64.83,2487.22
134,65.27,2484.6
135,64.8,2482.91
136,64.98,2483.97
137,64.69,2483.72
138,65.13,2482.85
139,64.81,2482.22
140,65.33,2485.41
141,65.07,2486.97
142,64.9,2483.6
143,64.86,2484.47
144,65.04,2485.72
145,65.24,2486.79
146,65.63,2485.91
147,64.74,2484.6
148,65.3,2486.04
149,65.15,2488.33
150,65.32,2489.86
151,65.26,2488.79
152,64.85,2488.79
153,65.27,2486.22
154,65.15,2482.16
155,64.95,2484.29
156,64.96,2482.79
157,65.16,2484.35
158,65.27,2483.97
159,64.98,2484.1
160,64.72,2485.47
161,65.46,2486.04
162,65.06,2484.54
163,65.31,2484.91
164,64.81,2484.04
165,65.51,2484.29
166,64.68,2488.04
167,65.49,2485.1
168,65.31,2483.54
169,65.16,2483.85
170,65.11,2482.6
171,65.21,2482.1
172,64.93,2481.47
173,65.04,2481.35
174,65.2,2482.22
175,65.16,2481.35
176,65.37,2480.22
177,65.28,2480.47
178,65.12,2481.16
179,64.65,2480.85
180,64.98,2483.91
181,64.7,2484.33
182,65.12,2484.68
183,65.01,2482.54
184,65.28,2484.66
185,64.81,2483.22
186,64.97,2482.35
187,65.09,2484.52
188,65.28,2483.4
189,65.32,2484.35
190,65.37,2485.22
191,65.1,2485.22
192,65.38,2485.97
193,64.84,2485.72
194,64.82,2484.1
195,64.66,2484.35
196,65.14,2483.35
197,65.08,2481.22
198,65.5,2480.04
199,65.15,2485.54
