epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,22.77,20.53,15.52,13.33,18.037499999999998,4.363006417597847
1,15.62,11.05,25.86,13.33,16.465,6.53530157427082
2,27.23,25.79,39.66,26.67,29.8375,6.575101393388038
3,25.89,27.89,43.1,20.0,29.22,9.840741841954804
4,31.7,23.16,34.48,26.67,29.0025,5.061451537520304
5,33.93,27.89,39.66,33.33,33.7025,4.812049978959069
6,32.59,25.79,43.1,33.33,33.7025,7.125004678361038
7,34.38,33.16,43.1,33.33,35.99249999999999,4.768950793064097
8,35.27,35.26,44.83,36.67,38.0075,4.596305581660122
9,37.05,38.42,41.38,33.33,37.545,3.3408631619188895
10,38.39,37.89,43.1,36.67,39.0125,2.8191295938049152
11,39.29,43.68,43.1,36.67,40.685,3.3100100704781346
12,38.84,40.53,41.38,46.67,41.855000000000004,3.379136970687436
13,41.52,40.0,43.1,46.67,42.822500000000005,2.860260768997587
14,41.96,43.16,41.38,46.67,43.292500000000004,2.3705326405683596
15,43.75,49.47,39.66,50.0,45.72,4.932389549363135
16,43.75,49.47,39.66,53.33,46.552499999999995,6.049982782344647
17,44.64,46.84,39.66,53.33,46.11749999999999,5.669346670178732
18,44.64,47.89,39.66,53.33,46.379999999999995,5.737845123970032
19,48.21,52.63,39.66,53.33,48.457499999999996,6.287773188233389
20,47.32,53.16,39.66,53.33,48.36749999999999,6.442366930458608
21,47.32,55.79,39.66,53.33,49.02499999999999,7.185830965634154
22,47.77,54.74,39.66,53.33,48.875,6.8406261896603215
23,48.66,55.79,39.66,53.33,49.36,7.11069148067425
24,48.66,58.95,39.66,53.33,50.14999999999999,8.161139626302202
25,50.45,58.42,39.66,53.33,50.465,7.921247797327559
26,52.23,56.32,41.38,53.33,50.815,6.52307953858196
27,51.34,57.37,41.38,53.33,50.855000000000004,6.796609448835499
28,51.79,59.47,41.38,56.67,52.3275,7.958418498671704
29,52.23,61.05,39.66,56.67,52.4025,9.226625872983039
