epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,29.02,24.74,18.97,13.33,21.514999999999997,6.836102690861218
1,33.93,32.63,22.41,23.33,28.075,6.045281906853752
2,36.16,31.58,27.59,26.67,30.5,4.333551276570597
3,38.39,32.11,31.03,30.0,32.8825,3.771377953303894
4,38.84,34.21,32.76,26.67,33.120000000000005,5.021241546337587
5,39.73,38.42,27.59,30.0,33.935,6.039881345412893
6,41.07,41.05,29.31,26.67,34.525000000000006,7.622552066073408
7,42.86,43.68,34.48,33.33,38.58749999999999,5.437544635832121
8,42.86,48.95,31.03,33.33,39.042500000000004,8.35792388495293
9,41.96,51.05,31.03,33.33,39.3425,9.113445652806991
10,43.75,49.47,34.48,33.33,40.25749999999999,7.712273227352188
11,45.09,53.16,32.76,40.0,42.7525,8.58693338742068
12,47.32,54.21,34.48,46.67,45.67,8.203052277455429
13,46.88,57.37,34.48,46.67,46.349999999999994,9.358073163495428
14,49.55,58.42,34.48,46.67,47.28,9.89047690120822
15,47.77,58.95,32.76,46.67,46.537499999999994,10.730428307698938
16,50.89,60.0,31.03,53.33,48.8125,12.464633635477083
17,49.55,59.47,32.76,53.33,48.7775,11.434040915908367
18,50.45,60.0,31.03,53.33,48.7025,12.442109614798717
19,51.79,58.95,32.76,53.33,49.207499999999996,11.38860358721238
20,52.68,60.0,32.76,53.33,49.692499999999995,11.763087392347302
21,52.68,61.58,32.76,56.67,50.9225,12.643592250622447
22,52.68,60.0,29.31,56.67,49.665000000000006,13.89602461137717
23,52.68,62.11,32.76,53.33,50.22,12.408967187750424
24,52.23,62.11,31.03,56.67,50.510000000000005,13.600666650327597
25,53.12,64.21,32.76,60.0,52.522499999999994,13.945418303753625
26,56.7,61.58,32.76,56.67,51.927499999999995,12.985015402378236
27,54.46,63.16,34.48,56.67,52.192499999999995,12.372122897870035
28,57.14,63.68,36.21,56.67,53.425,11.91431212170192
29,56.7,64.21,34.48,56.67,53.015,12.855770429396028
30,57.14,63.16,34.48,60.0,53.695,13.043817181587094
31,58.04,67.37,36.21,53.33,53.7375,13.060575217041553
32,57.59,64.74,36.21,60.0,54.635,12.637337536047692
33,58.93,64.21,36.21,56.67,54.004999999999995,12.276833196444972
34,58.48,65.79,36.21,56.67,54.28750000000001,12.680127168132032
35,59.38,65.26,37.93,56.67,54.81,11.81074934117222
36,58.04,66.84,37.93,56.67,54.870000000000005,12.159130999650703
37,59.38,67.37,37.93,50.0,53.67,12.668998908095832
38,59.82,66.84,36.21,50.0,53.2175,13.27620521835965
39,59.82,67.89,37.93,56.67,55.5775,12.678384163606971
40,58.93,69.47,37.93,53.33,54.915000000000006,13.15257515976751
41,58.93,70.0,31.03,53.33,53.322500000000005,16.396530883086214
42,59.38,68.42,31.03,53.33,53.040000000000006,15.92968089238869
43,58.93,71.58,32.76,53.33,54.14999999999999,16.17464888851275
44,60.27,68.95,31.03,53.33,53.394999999999996,16.221601852673697
45,62.05,70.53,36.21,50.0,54.6975,14.928512707790642
46,60.71,73.16,32.76,46.67,53.325,17.465906790086795
47,61.16,72.11,32.76,50.0,54.00749999999999,16.796577776440056
48,60.27,73.16,34.48,50.0,54.4775,16.35580299669407
49,60.27,71.05,34.48,53.33,54.7825,15.37362974923836
50,62.05,71.58,34.48,46.67,53.69499999999999,16.413877258791313
51,60.71,72.63,36.21,50.0,54.8875,15.507358199684862
52,61.16,72.63,31.03,50.0,53.705,17.716426464348462
53,62.05,73.16,32.76,46.67,53.66,17.666467294472504
54,61.16,73.68,34.48,46.67,53.9975,17.061919342989135
55,63.84,73.16,32.76,50.0,54.94,17.58346192685995
56,62.5,72.63,36.21,46.67,54.5025,16.212442495400456
57,62.95,73.68,32.76,50.0,54.8475,17.6226130771423
58,64.29,74.21,32.76,50.0,55.315,18.023585473854343
59,62.05,72.63,31.03,46.67,53.095,18.165471826150473
60,62.5,72.11,36.21,53.33,56.03750000000001,15.281246404225888
61,62.05,74.21,34.48,50.0,55.184999999999995,16.97704430498234
62,63.84,74.74,32.76,50.0,55.334999999999994,18.13819083223756
63,61.61,75.26,36.21,50.0,55.77,16.631818902332963
64,61.61,75.79,36.21,56.67,57.57000000000001,16.384439772743736
65,61.61,74.74,36.21,46.67,54.807500000000005,16.888501759086463
66,63.84,74.74,34.48,53.33,56.5975,17.141222000390364
67,65.62,74.74,34.48,46.67,55.3775,18.187369930806376
68,62.05,75.26,34.48,56.67,57.114999999999995,16.991532204797387
69,61.61,74.74,36.21,56.67,57.307500000000005,15.99910908977955
70,62.05,74.21,34.48,53.33,56.0175,16.717701945343244
71,61.61,74.21,34.48,53.33,55.9075,16.666146075202867
72,58.93,73.68,36.21,60.0,57.205000000000005,15.52421012483405
73,62.05,74.74,34.48,46.67,54.485,17.595155583284846
74,61.16,74.21,37.93,46.67,54.99250000000001,15.997325557729951
75,62.05,74.74,36.21,56.67,57.417500000000004,16.040011169987796
76,60.71,75.79,37.93,63.33,59.44,15.777067746151905
77,62.5,74.21,36.21,53.33,56.5625,16.034977133337815
78,63.84,73.68,37.93,53.33,57.19500000000001,15.296946318356053
79,62.5,74.21,39.66,50.0,56.592499999999994,15.004948905833258
80,61.16,74.21,37.93,56.67,57.49250000000001,15.014362845844195
81,62.5,74.74,39.66,56.67,58.3925,14.582933804050997
82,63.39,76.32,37.93,50.0,56.91,16.600471880843223
83,62.05,75.79,37.93,56.67,58.11,15.678137644503574
84,61.61,75.26,36.21,56.67,57.4375,16.188957913755086
85,63.84,74.21,39.66,60.0,59.4275,14.48072598318192
86,62.95,74.21,37.93,63.33,59.605000000000004,15.364204068765378
87,63.39,74.74,37.93,56.67,58.182500000000005,15.424226344725795
88,62.5,73.68,37.93,56.67,57.69500000000001,14.94784376869565
89,63.39,74.74,41.38,53.33,58.209999999999994,14.22599264257741
90,65.18,74.21,41.38,63.33,61.02499999999999,13.932543438535069
91,62.05,74.74,43.1,56.67,59.14,13.104841344582033
92,65.18,74.74,39.66,60.0,59.895,14.80733489412145
93,61.61,75.79,41.38,53.33,58.0275,14.463131000351666
94,66.07,76.32,43.1,56.67,60.53999999999999,14.127040265627706
95,63.39,75.26,39.66,56.67,58.745000000000005,14.864545065356022
96,63.39,76.32,43.1,56.67,59.86999999999999,13.837940598224863
97,62.5,76.32,43.1,56.67,59.647499999999994,13.769462286765833
98,63.39,74.21,41.38,60.0,59.745,13.660899189536044
99,63.39,75.79,41.38,60.0,60.14,14.22957249299266
100,62.95,76.84,39.66,56.67,59.03,15.419997838305083
101,64.29,74.74,43.1,56.67,59.7,13.316788902234148
102,62.5,74.21,43.1,60.0,59.95249999999999,12.829329353737341
103,64.29,76.84,39.66,56.67,59.364999999999995,15.547575373671616
104,62.05,74.74,43.1,60.0,59.9725,13.000988103473775
105,64.29,76.84,43.1,56.67,60.224999999999994,14.124282872651152
106,63.39,77.37,43.1,56.67,60.13249999999999,14.25760235804043
107,62.95,74.21,39.66,63.33,60.037499999999994,14.553641869534466
108,64.73,76.32,39.66,60.0,60.1775,15.300379897244381
109,64.73,77.37,41.38,60.0,60.870000000000005,14.91941241023475
110,63.84,78.42,39.66,60.0,60.48,15.98787040227685
111,64.73,76.84,41.38,56.67,59.905,14.874090448382606
112,63.84,77.37,43.1,56.67,60.245000000000005,14.293603464487184
113,64.29,78.42,41.38,60.0,61.0225,15.277683888600391
114,65.18,78.95,43.1,56.67,60.974999999999994,15.042509763998828
