epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,22.32,20.0,15.52,13.33,17.7925,4.100791590250188
1,25.45,14.74,32.76,23.33,24.069999999999997,7.416580523844304
2,30.36,22.11,32.76,30.0,28.807499999999997,4.630013498900408
3,31.7,23.16,36.21,26.67,29.435,5.716983470327687
4,32.59,21.58,37.93,26.67,29.6925,7.099297500457352
5,31.25,24.21,37.93,33.33,31.68,5.708788546326327
6,33.93,23.68,41.38,33.33,33.08,7.257984109470986
7,35.71,30.53,43.1,33.33,35.667500000000004,5.388310650534792
8,35.27,33.68,41.38,33.33,35.915000000000006,3.739861851280964
9,37.5,37.89,41.38,33.33,37.525000000000006,3.296103760502696
10,38.39,37.89,43.1,36.67,39.0125,2.8191295938049152
11,38.84,42.11,41.38,36.67,39.75,2.4860276211927594
12,38.84,40.53,41.38,43.33,41.019999999999996,1.8671011399135984
13,40.18,37.89,43.1,46.67,41.959999999999994,3.7954797676534477
14,41.07,42.11,41.38,43.33,41.9725,1.004535547736696
15,42.41,47.37,43.1,46.67,44.8875,2.4948797566215495
16,41.52,47.89,39.66,53.33,45.599999999999994,6.2430494685423294
17,41.07,47.37,39.66,53.33,45.3575,6.2837110850197435
18,43.3,47.37,39.66,53.33,45.91499999999999,5.861242757868563
19,46.43,51.58,39.66,53.33,47.75,6.137203489103704
20,46.43,52.63,39.66,53.33,48.0125,6.3735305495986045
21,47.32,52.11,39.66,53.33,48.105000000000004,6.198787515850715
22,46.88,52.63,39.66,53.33,48.125,6.340170870462932
23,48.66,55.26,39.66,53.33,49.22749999999999,6.954151637690971
24,47.77,56.84,41.38,53.33,49.83,6.758604392426984
25,48.66,55.26,39.66,53.33,49.22749999999999,6.954151637690971
26,51.34,54.74,41.38,53.33,50.197500000000005,6.041536090542977
27,49.55,55.79,41.38,53.33,50.0125,6.301303436591511
28,49.55,59.47,41.38,53.33,50.932500000000005,7.5674406726008305
29,50.89,58.42,39.66,53.33,50.575,7.924024650811398
30,52.23,56.32,39.66,56.67,51.22,7.965889780809174
31,50.89,60.53,41.38,60.0,53.2,9.037282039787552
