epoch,local_time_s,peak_vram_mb
0,104.98,4013.38
1,104.65,4098.83
2,104.76,4098.41
3,104.78,4099.96
4,104.53,4098.52
5,104.62,4091.77
6,104.6,4091.94
7,104.67,4090.16
8,104.46,4091.38
9,104.62,4094.83
10,104.6,4092.08
11,104.62,4089.77
12,104.63,4089.71
13,104.49,4091.33
14,104.49,4092.21
15,104.51,4090.58
16,104.59,4089.65
17,104.59,4093.27
18,104.56,4093.27
19,104.67,4090.58
20,104.66,4091.1
21,104.41,4092.52
22,104.63,4090.27
23,104.48,4090.9
24,105.13,4091.21
25,104.7,4088.02
26,104.82,4090.52
27,104.55,4087.33
28,104.66,4086.9
29,104.63,4088.96
30,104.57,4089.83
31,104.67,4088.71
32,104.63,4089.08
33,104.43,4087.57
34,104.51,4090.32
35,104.53,4089.83
36,104.66,4090.07
37,104.45,4088.88
38,104.51,4087.38
39,104.53,4086.4
40,104.48,4085.08
41,104.5,4087.88
42,104.76,4086.71
43,104.57,4088.15
44,104.48,4085.6
45,104.43,4086.9
46,104.54,4087.52
47,104.62,4086.58
48,104.44,4085.77
49,104.44,4087.96
50,104.53,4088.21
51,104.7,4086.08
52,104.53,4085.71
53,104.5,4088.21
54,104.47,4088.63
55,104.58,4088.63
56,104.66,4090.33
57,104.61,4089.46
58,104.67,4087.52
59,104.73,4088.83
60,104.89,4089.33
61,104.67,4090.02
62,104.46,4086.96
63,104.57,4087.71
64,104.51,4088.21
65,104.63,4085.96
66,104.45,4090.65
67,104.51,4089.33
68,104.66,4088.83
69,104.62,4088.83
70,104.56,4086.9
71,104.71,4086.21
72,104.73,4088.9
73,104.54,4086.96
74,104.63,4085.96
75,104.58,4087.02
76,104.68,4084.77
77,104.6,4084.46
78,104.62,4080.27
79,104.7,4083.58
80,104.63,4085.08
81,104.81,4083.58
82,104.36,4085.65
83,104.63,4085.58
84,104.56,4084.4
85,104.67,4083.52
86,104.74,4083.58
87,104.67,4084.96
88,104.7,4087.83
89,104.57,4087.71
90,104.69,4087.15
91,104.86,4088.02
92,104.5,4084.46
93,104.79,4085.96
94,105.06,4083.96
95,104.43,4087.77
96,104.55,4087.63
97,104.62,4088.83
98,104.94,4087.21
99,106.37,4087.15
100,104.82,4086.9
101,104.81,4083.96
102,104.61,4084.27
103,105.74,4083.96
104,104.88,4083.96
105,104.51,4082.46
106,104.63,4083.58
107,104.62,4083.58
108,104.63,4084.25
109,104.59,4086.46
110,104.54,4086.21
111,104.47,4085.71
112,104.5,4084.83
113,104.46,4084.75
114,104.67,4087.46
115,104.44,4087.58
116,104.84,4089.96
117,104.58,4091.21
118,104.63,4090.21
119,104.53,4088.58
120,104.46,4087.02
121,104.57,4087.58
122,104.49,4088.46
123,104.44,4085.96
124,104.4,4087.46
125,104.45,4087.71
126,104.5,4087.71
127,104.61,4087.96
128,104.6,4087.46
129,104.37,4086.83
130,104.52,4085.4
131,104.37,4084.27
132,104.49,4086.21
133,104.39,4086.71
134,104.39,4085.33
135,104.57,4086.58
136,104.53,4088.27
137,104.49,4088.19
138,104.5,4087.21
139,104.5,4088.96
140,104.47,4089.21
141,104.64,4084.46
142,104.6,4083.4
143,104.41,4083.4
144,104.48,4081.58
145,104.39,4081.96
146,104.42,4080.96
147,104.46,4082.58
148,104.36,4083.71
149,104.43,4084.83
150,104.47,4087.02
151,104.42,4086.9
152,104.55,4086.02
153,104.5,4084.83
154,104.48,4084.83
155,104.4,4084.83
156,104.31,4087.77
157,104.28,4089.21
158,104.5,4089.21
159,104.51,4089.08
160,104.48,4085.65
161,105.09,4086.83
162,104.37,4090.83
163,104.42,4090.83
164,104.49,4086.33
165,104.46,4087.77
166,104.58,4087.9
167,104.42,4087.33
168,104.52,4090.65
169,104.44,4089.77
170,104.46,4090.52
171,104.34,4089.21
172,104.49,4086.83
173,104.47,4085.65
174,104.52,4086.33
175,104.28,4088.83
176,104.41,4086.71
177,104.39,4083.96
178,104.57,4083.96
179,104.49,4082.4
180,104.52,4085.08
181,104.34,4085.88
182,104.3,4084.71
183,104.81,4087.77
184,104.55,4087.77
185,104.42,4086.58
186,104.51,4086.33
187,104.42,4085.46
188,104.57,4085.46
189,105.6,4086.58
190,104.3,4085.08
191,104.32,4081.46
192,104.38,4082.33
193,104.38,4087.88
194,104.44,4088.96
195,104.37,4088.33
196,104.55,4087.33
197,104.46,4087.21
198,104.38,4087.46
199,104.49,4084.15
