epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,27.68,24.21,18.97,10.0,20.215,7.69377453963051
1,25.0,26.84,22.41,13.33,21.895,5.992175453595019
2,35.27,31.05,29.31,26.67,30.575000000000003,3.610997092217052
3,36.16,40.0,36.21,30.0,35.5925,4.139463532069504
4,37.5,34.21,32.76,26.67,32.785,4.533420342302266
5,38.84,41.05,32.76,33.33,36.495000000000005,4.091230458757692
6,41.96,42.11,31.03,33.33,37.1075,5.767069590933221
7,43.75,44.74,34.48,30.0,38.2425,7.179723184078896
8,42.86,50.0,34.48,33.33,40.167500000000004,7.81081888579339
9,43.3,53.16,34.48,30.0,40.235,10.23596763053368
10,45.54,51.05,34.48,36.67,41.935,7.732539470747411
11,47.77,55.26,32.76,46.67,45.614999999999995,9.381437345453344
12,47.32,55.79,32.76,46.67,45.635000000000005,9.535898838948883
13,47.77,58.42,34.48,46.67,46.834999999999994,9.793870532123652
14,48.66,60.53,34.48,46.67,47.584999999999994,10.666253637836798
15,49.55,60.53,32.76,46.67,47.3775,11.429200540720249
16,51.79,60.53,31.03,53.33,49.17,12.67910617249234
17,50.89,60.53,32.76,53.33,49.3775,11.810016581981023
18,52.23,60.0,32.76,53.33,49.58,11.727088300170678
19,52.23,59.47,32.76,56.67,50.2825,12.0559953964822
20,53.57,61.05,32.76,56.67,51.0125,12.549279859816659
21,54.02,61.58,32.76,56.67,51.25749999999999,12.723181926441725
22,54.02,61.58,31.03,56.67,50.825,13.563235847933438
23,54.02,63.16,31.03,60.0,52.0525,14.518446599642353
24,53.57,62.11,31.03,56.67,50.845,13.673462131686572
25,56.25,64.21,32.76,60.0,53.305,14.077311533101767
26,58.04,62.63,32.76,56.67,52.525000000000006,13.42091030196288
27,57.59,63.68,36.21,56.67,53.53750000000001,11.963108222085653
28,59.38,65.26,36.21,53.33,53.545,12.541091127436507
29,58.48,64.74,34.48,56.67,53.5925,13.20243759058657
30,58.04,65.26,34.48,56.67,53.6125,13.299973370900664
31,58.48,66.84,36.21,50.0,52.8825,13.069364623678792
32,59.38,66.84,37.93,53.33,54.370000000000005,12.274040356242386
33,59.82,66.32,36.21,56.67,54.754999999999995,12.999842306735875
34,59.82,67.89,37.93,56.67,55.5775,12.678384163606971
35,60.27,69.47,39.66,53.33,55.682500000000005,12.561781654420418
36,60.27,68.42,39.66,56.67,56.254999999999995,12.106110027585245
37,60.71,70.53,39.66,50.0,55.225,13.340391048741164
38,60.27,70.53,37.93,53.33,55.515,13.6877889619422
39,61.61,70.0,36.21,53.33,55.28750000000001,14.424683416514439
40,61.61,71.05,36.21,53.33,55.55,14.78667868950518
41,59.82,72.11,32.76,56.67,55.34,16.461354743762737
42,61.16,70.53,31.03,46.67,52.3475,17.271684679459227
43,60.27,73.16,34.48,53.33,55.31,16.13519341894192
44,61.61,71.05,31.03,53.33,54.254999999999995,17.092145369535483
45,63.39,70.53,36.21,53.33,55.86500000000001,14.88212686412799
46,61.16,74.21,34.48,50.0,54.9625,16.86252724237977
47,62.05,72.63,37.93,46.67,54.82000000000001,15.504446673992161
48,62.05,73.68,34.48,50.0,55.0525,16.779990812472658
49,61.16,72.63,34.48,53.33,55.39999999999999,16.041423461359862
50,62.95,72.63,37.93,50.0,55.8775,15.136316978270063
51,62.05,73.16,37.93,50.0,55.785,15.203158663032275
52,62.05,73.16,34.48,53.33,55.754999999999995,16.340821072802104
53,63.84,73.68,36.21,46.67,55.10000000000001,16.827566669010707
54,60.71,74.21,34.48,50.0,54.849999999999994,16.808813164527706
55,63.84,73.68,32.76,53.33,55.9025,17.52366471375209
56,62.05,72.63,36.21,53.33,56.05500000000001,15.404764414513666
57,62.5,73.68,36.21,53.33,56.43000000000001,15.841567683366023
58,63.84,73.68,34.48,53.33,56.332499999999996,16.77145466757928
59,62.05,73.16,31.03,46.67,53.22749999999999,18.35638739875941
60,61.61,73.68,32.76,60.0,57.0125,17.282471611433365
61,62.95,74.74,37.93,53.33,57.2375,15.5672548960952
62,64.29,76.32,32.76,50.0,55.8425,18.776091845748944
63,62.95,76.32,37.93,56.67,58.4675,15.95644566729487
64,62.05,75.26,39.66,53.33,57.575,14.96386870654333
65,62.05,73.68,36.21,46.67,54.6525,16.538993066890946
66,63.39,75.26,39.66,56.67,58.745000000000005,14.864545065356022
67,64.29,75.26,36.21,53.33,57.27250000000001,16.653004483676014
68,62.5,74.21,36.21,63.33,59.0625,16.14219599889267
69,62.05,74.74,36.21,56.67,57.417500000000004,16.040011169987796
70,61.61,73.68,34.48,56.67,56.61,16.39232950701842
71,61.61,74.74,36.21,56.67,57.307500000000005,15.99910908977955
72,61.61,75.26,37.93,63.33,59.5325,15.628598518954497
73,63.39,76.32,34.48,56.67,57.71499999999999,17.505322047880178
74,61.61,74.21,41.38,56.67,58.4675,13.575901136450078
75,62.05,76.32,36.21,60.0,58.645,16.624930075040915
76,61.16,77.37,39.66,60.0,59.5475,15.44839878434008
77,63.39,75.79,39.66,50.0,57.21,15.74161575781428
78,63.39,74.74,39.66,56.67,58.614999999999995,14.67300582702808
79,61.16,76.32,39.66,53.33,57.61749999999999,15.309988841711586
80,61.16,75.79,39.66,56.67,58.31999999999999,14.879343623516018
81,63.39,75.26,39.66,56.67,58.745000000000005,14.864545065356022
82,62.95,77.37,41.38,56.67,59.5925,14.91697550890707
83,61.61,76.84,41.38,53.33,58.28999999999999,14.896024078032815
84,62.5,75.26,39.66,63.33,60.1875,14.874827449979605
85,62.95,74.74,43.1,60.0,60.1975,13.056595715065495
86,62.05,75.79,41.38,63.33,60.6375,14.255925960806616
87,63.84,74.74,39.66,60.0,59.559999999999995,14.662359973755931
88,62.05,76.32,37.93,60.0,59.075,15.855675114397787
89,62.95,75.26,41.38,60.0,59.8975,14.002767286028384
90,63.84,74.74,44.83,63.33,61.68499999999999,12.407982645592849
91,61.61,75.79,43.1,56.67,59.292500000000004,13.498306992607136
92,64.29,76.84,41.38,60.0,60.6275,14.68694516682531
93,61.16,77.89,41.38,60.0,60.1075,14.92264358840841
94,63.39,76.32,43.1,56.67,59.86999999999999,13.837940598224863
95,62.05,77.89,39.66,56.67,59.067499999999995,15.764737813656572
96,62.5,77.89,43.1,56.67,60.03999999999999,14.410581760174244
97,62.5,77.37,43.1,60.0,60.7425,14.040081611823584
98,62.95,76.84,43.1,63.33,61.55500000000001,13.896221308926636
99,62.95,78.95,43.1,60.0,61.25,14.687466312018103
100,63.39,76.32,43.1,60.0,60.70249999999999,13.680527219372793
101,64.29,75.26,43.1,60.0,60.6625,13.355723804172253
102,62.5,76.32,43.1,60.0,60.48,13.629389812704991
103,61.61,77.89,39.66,56.67,58.957499999999996,15.738503476082684
104,63.39,76.84,46.55,60.0,61.69500000000001,12.44304491138189
105,63.39,77.37,43.1,60.0,60.964999999999996,14.084200367788014
106,63.39,77.89,43.1,56.67,60.2625,14.467981603066361
107,63.39,75.79,41.38,63.33,60.9725,14.315801002156093
108,64.73,78.95,43.1,63.33,62.5275,14.74925167593258
109,64.29,77.89,41.38,63.33,61.7225,15.103878916799264
110,63.39,77.89,43.1,60.0,61.095,14.287034915148302
111,61.61,78.42,41.38,60.0,60.3525,15.144810717426171
112,62.95,76.32,43.1,60.0,60.592499999999994,13.653457132413994
113,63.39,80.0,41.38,60.0,61.192499999999995,15.837805771844364
114,63.84,77.89,43.1,56.67,60.375,14.5021159375681
115,64.29,78.95,43.1,56.67,60.7525,14.96596666885682
116,62.5,78.42,43.1,56.67,60.1725,14.630177431140973
117,62.05,80.53,43.1,56.67,60.58749999999999,15.502705946597407
118,63.84,78.95,43.1,60.0,61.472500000000004,14.728487985307025
119,64.73,78.42,44.83,56.67,61.16250000000001,14.112423309505234
120,64.73,76.84,43.1,56.67,60.334999999999994,14.168139139162443
121,63.84,78.95,41.38,56.67,60.21000000000001,15.614789997520514
122,64.29,77.37,44.83,56.67,60.790000000000006,13.648472441998777
123,64.29,77.89,43.1,60.0,61.32,14.342205781073798
124,63.84,78.42,43.1,56.67,60.50749999999999,14.716325118724445
125,64.73,78.95,41.38,56.67,60.432500000000005,15.689916878896035
126,63.39,78.95,41.38,60.0,60.93,15.4255134976657
127,62.95,80.0,43.1,53.33,59.845,15.691880065817479
128,63.39,79.47,43.1,60.0,61.49,14.914228106073743
129,64.29,77.89,43.1,60.0,61.32,14.342205781073798
130,63.39,78.95,44.83,56.67,60.96000000000001,14.237579382277968
131,64.29,77.89,43.1,60.0,61.32,14.342205781073798
132,64.73,77.89,43.1,60.0,61.43,14.374229254699769
133,65.18,78.95,48.28,63.33,63.935,12.549173943597511
134,66.07,79.47,44.83,56.67,61.760000000000005,14.66007276016505
135,65.18,78.42,44.83,56.67,61.275000000000006,14.1520799413608
136,64.29,76.32,44.83,60.0,61.36,13.006113946909737
137,62.95,79.47,44.83,60.0,61.8125,14.198258989514642
138,62.95,79.47,46.55,56.67,61.41000000000001,13.806066299517276
139,63.84,80.0,46.55,56.67,61.765,14.074517161641225
140,63.39,77.89,44.83,56.67,60.69500000000001,13.794079647926257
141,64.73,78.42,43.1,60.0,61.5625,14.577536085818252
142,63.84,80.0,46.55,56.67,61.765,14.074517161641225
