epoch,local_time_s,peak_vram_mb
0,105.32,4810.02
1,105.4,4933.07
2,105.35,4931.95
3,105.31,4931.32
4,105.29,4929.57
5,105.3,4927.99
6,105.39,4928.13
7,105.46,4925.55
8,105.4,4920.82
9,105.37,4922.07
10,105.26,4925.88
11,105.53,4925.63
12,105.23,4922.63
13,105.43,4923.76
14,105.51,4924.2
15,105.26,4923.45
16,105.39,4923.13
17,105.39,4925.32
18,105.41,4923.32
19,105.52,4923.01
20,105.34,4922.26
21,105.36,4920.95
22,105.36,4921.32
23,105.45,4920.2
24,105.53,4920.82
25,105.51,4920.76
26,105.36,4920.07
27,105.45,4919.01
28,105.43,4920.76
29,105.46,4921.57
30,105.47,4921.07
31,105.42,4920.2
32,105.42,4921.07
33,105.4,4920.32
34,105.35,4924.2
35,105.56,4921.2
36,105.4,4916.95
37,105.39,4912.88
38,105.54,4912.82
39,105.39,4912.95
40,105.33,4912.45
41,105.65,4909.51
42,105.5,4913.2
43,105.51,4912.95
44,105.36,4912.32
45,105.27,4913.82
46,105.55,4915.45
47,105.91,4916.45
48,105.55,4916.45
49,105.39,4913.95
50,105.35,4912.51
51,105.38,4914.32
52,105.35,4912.45
53,105.38,4915.82
54,105.36,4915.82
55,105.46,4918.76
56,105.45,4921.07
57,105.48,4920.2
58,105.44,4918.07
59,105.46,4916.45
60,105.41,4917.57
61,105.16,4918.2
62,105.22,4918.2
63,105.29,4919.26
64,105.35,4919.88
65,105.4,4921.32
66,105.48,4920.51
67,105.39,4919.01
68,105.58,4916.2
69,105.54,4916.26
70,105.42,4918.95
71,105.43,4916.7
72,105.22,4918.2
73,105.58,4916.13
74,105.4,4916.7
75,105.46,4915.82
76,105.66,4916.95
77,105.42,4919.2
78,105.51,4917.7
79,105.36,4913.82
80,105.53,4919.82
81,105.52,4920.7
82,105.41,4920.63
83,105.45,4919.82
84,105.36,4917.76
85,105.37,4918.7
86,105.27,4916.07
87,105.26,4918.76
88,105.41,4921.82
89,105.48,4921.88
90,105.49,4923.57
91,105.36,4924.7
92,105.51,4924.95
93,105.11,4924.38
94,105.3,4922.95
95,105.27,4921.45
96,105.26,4920.7
97,105.27,4921.57
98,105.16,4921.95
99,105.26,4919.57
100,105.44,4920.45
101,105.26,4921.32
102,105.34,4920.7
103,105.11,4916.32
104,105.06,4920.38
105,105.29,4917.01
106,105.24,4921.95
107,105.12,4922.45
108,105.31,4920.76
109,105.27,4922.45
110,105.17,4922.45
111,105.14,4922.7
112,105.21,4921.2
113,105.01,4921.76
114,105.22,4922.01
115,105.28,4920.7
116,105.16,4923.88
117,105.33,4922.7
118,105.13,4922.38
119,105.2,4922.07
120,105.23,4922.57
121,105.23,4920.95
122,105.38,4918.88
123,105.52,4916.32
124,105.37,4913.32
125,105.4,4912.88
126,105.44,4912.63
127,105.32,4914.32
128,105.21,4912.63
129,105.33,4917.45
130,105.38,4918.95
131,105.52,4917.82
132,105.41,4915.57
133,105.46,4919.32
134,105.18,4917.57
135,105.29,4918.45
136,105.27,4918.76
137,105.2,4918.32
138,105.46,4922.2
139,105.49,4922.07
140,105.19,4918.82
141,105.34,4917.7
142,105.36,4921.2
143,105.39,4922.32
144,105.24,4916.26
145,105.26,4918.07
146,105.37,4921.07
147,105.4,4918.57
148,105.49,4922.32
149,105.44,4921.76
150,105.52,4922.45
151,105.57,4921.63
152,105.5,4918.07
153,105.39,4915.45
154,105.41,4919.07
155,105.46,4919.2
156,105.48,4917.2
157,105.55,4916.07
158,105.52,4915.2
159,105.45,4918.07
160,105.55,4918.07
161,105.39,4918.45
162,105.52,4917.32
163,105.51,4917.07
164,105.45,4918.2
165,105.6,4916.7
166,105.36,4916.07
167,105.46,4914.07
168,105.48,4915.45
169,105.54,4914.95
170,105.54,4917.32
171,105.33,4919.95
172,105.46,4918.88
173,105.5,4921.07
174,107.73,4920.45
175,112.34,4917.7
176,109.74,4916.95
177,106.3,4920.2
178,105.09,4920.76
179,105.52,4921.57
180,112.5,4921.88
181,109.4,4920.63
182,105.11,4920.51
183,105.38,4922.2
184,105.29,4919.88
185,105.34,4919.63
186,105.27,4918.88
187,105.42,4919.95
188,105.34,4918.01
189,105.32,4916.51
190,105.15,4918.76
191,105.35,4920.07
192,105.73,4919.7
193,105.3,4918.37
194,105.33,4919.7
195,105.37,4921.45
196,106.02,4918.7
197,105.43,4915.57
198,105.22,4916.38
199,105.36,4913.01
