epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,29.02,25.26,18.97,16.67,22.48,5.673805307434039
1,33.48,32.11,22.41,23.33,27.8325,5.769669979008042
2,35.71,32.11,27.59,26.67,30.52,4.19807892573099
3,37.5,32.11,31.03,26.67,31.8275,4.45319641755597
4,38.39,34.21,32.76,26.67,33.00749999999999,4.852575776499185
5,39.29,38.42,29.31,30.0,34.255,5.330931750954362
6,41.52,43.16,29.31,26.67,35.165000000000006,8.38156906551512
7,42.86,44.74,34.48,33.33,38.85249999999999,5.783294188148022
8,43.75,48.42,31.03,33.33,39.1325,8.304586584131286
9,42.41,50.53,32.76,30.0,38.925,9.389428452609172
10,43.75,51.05,34.48,33.33,40.6525,8.355063833787666
11,45.98,54.74,34.48,36.67,42.9675,9.298083583907673
12,46.88,55.26,32.76,46.67,45.3925,9.323666571329829
13,47.32,57.89,34.48,46.67,46.59,9.572206293918521
14,48.66,59.47,34.48,46.67,47.31999999999999,10.242170993820924
15,48.21,60.53,32.76,46.67,47.042500000000004,11.363747547940925
16,50.89,60.0,31.03,50.0,47.980000000000004,12.170064365756932
17,49.55,59.47,32.76,50.0,47.945,11.108688791512105
18,50.89,60.53,32.76,50.0,48.545,11.553102036538357
19,51.79,59.47,32.76,56.67,50.1725,12.034290936043275
20,53.12,60.0,32.76,56.67,50.6375,12.244934667036816
21,53.57,61.05,32.76,56.67,51.0125,12.549279859816659
22,52.23,60.0,31.03,56.67,49.9825,13.02972850829978
23,53.12,61.58,32.76,56.67,51.0325,12.665873769043072
24,53.12,62.63,31.03,56.67,50.8625,13.791609466145228
25,54.02,64.74,32.76,60.0,52.879999999999995,14.112264169863035
26,56.7,62.11,32.76,56.67,52.06,13.118361178135022
27,54.91,62.63,34.48,53.33,51.33749999999999,11.950295324105317
28,56.25,63.68,36.21,56.67,53.2025,11.829819313920225
29,57.59,64.21,34.48,56.67,53.2375,12.948177156135403
30,58.48,63.16,37.93,56.67,54.06,11.095575694843417
31,57.59,67.37,36.21,53.33,53.625,13.013012718044966
32,57.59,64.74,36.21,60.0,54.635,12.637337536047692
33,58.04,64.21,36.21,60.0,54.615,12.537103599582585
34,58.48,66.32,37.93,56.67,54.849999999999994,12.032409013438109
35,58.04,65.26,37.93,56.67,54.47500000000001,11.65590694311973
36,58.48,68.42,36.21,56.67,54.94500000000001,13.516011492547152
37,59.38,68.95,36.21,50.0,53.635000000000005,13.957054369266702
38,60.27,67.37,37.93,53.33,54.72500000000001,12.578567751006737
39,59.82,68.42,37.93,53.33,54.875,12.87685391183214
40,60.71,70.53,39.66,53.33,56.057500000000005,13.005335763959861
41,59.38,70.53,31.03,50.0,52.735,16.72727612812877
42,59.38,70.0,32.76,53.33,53.86749999999999,15.668021306682816
43,59.82,71.58,34.48,53.33,54.802499999999995,15.511630851289192
