epoch,local_time_s,peak_vram_mb
0,99.07,2441.42
1,97.63,2441.92
2,97.79,2441.42
3,97.77,2442.42
4,97.51,2443.29
5,97.69,2441.92
6,97.66,2442.67
7,97.76,2442.92
8,97.73,2442.04
9,97.79,2441.79
10,97.76,2441.29
11,97.81,2442.67
12,97.86,2441.67
13,97.81,2441.92
14,97.71,2442.54
15,97.84,2442.85
16,97.77,2442.17
17,97.68,2441.79
18,97.86,2440.79
19,97.83,2441.23
20,97.69,2441.42
21,97.81,2441.92
22,97.67,2441.98
23,97.7,2442.17
24,97.8,2441.42
25,97.78,2441.23
26,97.59,2440.79
27,97.67,2441.42
28,97.75,2442.29
29,97.68,2441.92
30,97.62,2442.65
31,97.7,2442.42
32,97.75,2441.54
33,97.68,2441.17
34,97.71,2442.67
35,97.73,2442.04
36,97.6,2441.92
37,97.73,2443.29
38,97.65,2443.67
39,97.63,2443.04
40,97.75,2442.17
41,97.68,2442.42
42,97.62,2442.54
43,97.66,2441.23
44,97.78,2442.53
45,97.68,2443.04
46,97.69,2442.29
47,97.69,2442.85
48,97.73,2441.85
49,97.64,2441.29
50,98.17,2441.42
51,97.89,2442.29
52,97.64,2441.29
53,97.79,2442.67
54,97.75,2442.04
55,97.72,2442.54
56,97.75,2442.92
57,97.65,2442.71
58,97.74,2441.85
59,97.66,2442.67
60,97.62,2441.42
61,97.71,2441.75
62,97.72,2441.42
63,97.61,2442.67
64,97.59,2442.92
65,97.86,2442.54
66,97.62,2442.92
67,97.78,2442.92
68,97.65,2442.98
69,97.67,2442.54
70,97.71,2442.73
71,97.64,2442.54
72,97.63,2442.29
73,97.65,2442.35
74,97.64,2442.6
75,97.71,2443.04
76,97.68,2442.42
77,97.72,2441.54
78,97.85,2441.29
79,97.77,2442.29
80,97.73,2441.29
81,97.73,2441.04
82,97.67,2444.35
83,97.86,2443.15
84,97.72,2442.42
85,97.77,2441.85
86,97.77,2441.79
87,97.72,2441.29
88,97.83,2439.79
89,97.65,2440.79
90,97.8,2441.67
91,97.77,2441.29
92,97.68,2440.67
93,97.63,2442.17
94,97.69,2442.85
95,97.56,2444.17
96,97.69,2441.71
97,97.75,2441.48
98,97.62,2443.42
99,97.72,2443.6
100,97.79,2443.85
101,97.68,2442.17
102,97.74,2442.85
103,97.59,2443.67
104,97.6,2443.29
105,97.65,2440.75
106,97.68,2442.67
107,97.62,2441.79
108,97.8,2442.54
109,97.72,2443.73
110,97.74,2443.73
111,97.64,2443.54
112,97.77,2441.54
113,97.91,2442.29
114,97.71,2442.04
115,97.77,2441.17
116,97.81,2441.98
117,97.75,2442.67
118,97.72,2442.17
119,97.68,2442.92
120,97.64,2442.42
121,97.72,2442.54
122,97.66,2441.46
123,97.71,2441.92
124,97.71,2441.29
125,97.75,2442.04
126,97.81,2443.42
127,97.76,2442.25
128,97.63,2442.67
129,97.84,2442.67
130,97.74,2442.04
131,97.61,2441.42
132,97.77,2442.35
133,97.59,2442.17
134,97.57,2442.29
135,97.62,2442.42
136,97.64,2442.04
137,97.6,2442.29
138,97.74,2441.92
139,97.66,2442.79
140,97.61,2442.17
141,97.66,2441.67
142,97.68,2442.09
143,97.71,2441.12
144,97.67,2443.04
145,97.65,2442.73
146,97.79,2444.75
147,97.58,2444.61
148,97.77,2442.67
149,97.62,2442.04
150,97.66,2442.29
151,97.69,2441.92
152,97.7,2443.48
153,97.6,2442.92
154,97.58,2442.56
155,97.69,2442.04
156,97.64,2441.92
157,97.7,2441.73
158,97.93,2441.51
159,98.17,2441.37
160,98.26,2441.5
161,97.77,2441.67
162,97.69,2441.46
163,97.59,2443.1
164,97.74,2443.29
165,97.7,2442.54
166,97.62,2442.37
167,97.72,2442.92
168,97.73,2442.42
169,97.67,2442.92
170,97.76,2441.67
171,97.71,2441.17
172,97.68,2441.92
173,97.62,2441.92
174,97.69,2442.54
175,97.67,2442.92
176,97.63,2442.37
177,97.79,2442.67
178,97.78,2444.17
179,97.99,2444.25
180,97.88,2441.79
181,97.71,2441.04
182,97.63,2440.79
183,97.7,2441.6
184,97.75,2442.34
185,97.64,2441.17
186,97.76,2440.79
187,97.89,2442.79
188,97.81,2442.54
189,97.76,2442.92
190,97.75,2442.04
191,97.74,2441.92
192,97.68,2442.17
193,97.73,2443.29
194,98.02,2442.79
195,98.74,2442.37
196,98.71,2440.42
197,98.81,2441.62
198,98.67,2441.5
199,98.69,2441.5
