epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,20.98,17.37,15.52,20.0,18.4675,2.486863821496197
1,13.84,11.05,25.86,13.33,16.02,6.671206787381125
2,27.68,25.26,37.93,30.0,30.2175,5.493804844246532
3,27.68,23.68,39.66,26.67,29.4225,7.033142374974834
4,29.46,20.0,36.21,33.33,29.75,7.063865797139694
5,32.14,22.63,36.21,40.0,32.745,7.468165772129058
6,33.04,23.16,36.21,36.67,32.269999999999996,6.2840698065293115
7,34.82,25.79,39.66,36.67,34.235,5.972718532349123
8,33.48,27.89,43.1,36.67,35.285,6.349186299571519
9,34.82,26.84,39.66,36.67,34.4975,5.480647011682714
10,37.5,33.68,39.66,40.0,37.71,2.905833213841886
11,35.27,36.32,36.21,40.0,36.95,2.0872150504120706
12,38.39,36.32,37.93,50.0,40.660000000000004,6.289594581529083
13,36.61,32.63,39.66,46.67,38.8925,5.930353418361056
14,39.29,36.84,48.28,46.67,42.769999999999996,5.563134607994549
15,42.86,43.16,41.38,46.67,43.5175,2.24107675013597
16,38.84,40.0,37.93,53.33,42.525000000000006,7.252974102623924
17,45.54,50.53,39.66,50.0,46.4325,5.039175693173109
18,41.52,41.05,43.1,50.0,43.9175,4.148721690673727
19,45.54,50.53,39.66,50.0,46.4325,5.039175693173109
20,47.32,45.79,44.83,56.67,48.6525,5.442464974623173
21,45.54,44.74,43.1,53.33,46.677499999999995,4.54980127771166
22,48.66,50.53,37.93,50.0,46.78,5.952248874725138
23,48.21,52.11,41.38,56.67,49.5925,6.47521621260634
24,46.43,54.21,39.66,53.33,48.4075,6.790416653883129
25,48.21,53.16,39.66,56.67,49.425,7.377255587276343
26,51.79,53.68,46.55,53.33,51.33749999999999,3.2955664662290363
27,48.66,47.37,44.83,46.67,46.88250000000001,1.5974015358283165
28,49.55,55.79,41.38,53.33,50.0125,6.301303436591511
29,50.45,54.74,41.38,56.67,50.81,6.802916041424197
30,50.45,52.63,41.38,56.67,50.2825,6.4702775571583215
31,50.0,54.21,43.1,53.33,50.16,5.043827911418072
32,49.55,55.79,41.38,50.0,49.18,5.92568983325992
33,52.23,56.84,44.83,53.33,51.80749999999999,5.050018976862035
34,52.68,58.42,43.1,56.67,52.7175,6.846859985910816
35,50.0,55.79,39.66,53.33,49.69499999999999,7.098274438199753
36,51.79,56.84,41.38,53.33,50.834999999999994,6.648160146486644
37,54.91,56.84,46.55,53.33,52.9075,4.474776530733129
38,54.46,56.32,41.38,56.67,52.207499999999996,7.283201562499832
39,54.91,54.74,39.66,63.33,53.16,9.85288113531604
40,54.46,57.37,48.28,63.33,55.86,6.258258543716454
41,55.36,56.84,46.55,66.67,56.355000000000004,8.2414096690635
42,55.36,53.68,46.55,63.33,54.72999999999999,6.88892347661568
43,53.57,58.42,39.66,63.33,53.745000000000005,10.200419925996513
44,56.25,56.84,41.38,66.67,55.285,10.429389563472384
45,55.8,57.89,46.55,70.0,57.56,9.646764569878684
46,57.14,58.42,41.38,66.67,55.9025,10.562690234973285
47,56.25,56.84,46.55,73.33,58.24249999999999,11.10981960549615
48,57.59,59.47,48.28,73.33,59.667500000000004,10.339150110139613
49,54.46,59.47,50.0,70.0,58.4825,8.597698820033184
50,57.59,60.0,46.55,66.67,57.7025,8.36830279487225
51,57.14,58.95,43.1,70.0,57.2975,11.040502328547676
52,57.59,58.42,46.55,66.67,57.307500000000005,8.260300135790065
53,56.7,61.58,50.0,63.33,57.9025,5.968731718994691
54,58.93,64.21,46.55,66.67,59.09,8.961919437263427
55,58.04,58.42,51.72,66.67,58.712500000000006,6.130651814176588
56,55.8,59.47,46.55,70.0,57.955,9.696997817194076
57,58.04,61.05,48.28,73.33,60.175,10.325839756003704
58,58.93,57.37,48.28,70.0,58.644999999999996,8.908350015575275
59,56.25,62.11,51.72,66.67,59.1875,6.55543731060967
60,57.59,60.0,51.72,73.33,60.66,9.13442207622719
61,57.14,64.21,50.0,66.67,59.504999999999995,7.5147078009283454
62,58.04,61.58,50.0,73.33,60.7375,9.692802742241275
63,56.7,62.63,53.45,63.33,59.0275,4.761486987626168
64,58.04,63.16,51.72,66.67,59.897499999999994,6.502114399690817
65,54.02,59.47,53.45,63.33,57.567499999999995,4.70334898414594
66,56.7,63.16,48.28,66.67,58.7025,8.08267437176582
67,58.93,65.26,48.28,70.0,60.6175,9.392296045163823
68,56.25,63.16,46.55,70.0,58.989999999999995,10.014492831225487
69,59.38,61.05,44.83,70.0,58.815,10.424312926999075
70,58.04,64.74,44.83,63.33,57.735,9.073883769735353
71,55.36,60.53,48.28,63.33,56.875,6.612999823579814
72,58.48,62.63,46.55,70.0,59.415,9.810893605239707
73,58.93,63.68,50.0,63.33,58.985,6.368026905303295
74,58.93,65.79,46.55,70.0,60.317499999999995,10.249687393607022
75,58.04,65.26,51.72,73.33,62.087500000000006,9.315325633957551
76,61.16,68.95,51.72,70.0,62.9575,8.465996200487377
77,58.48,62.63,51.72,70.0,60.707499999999996,7.654703891507932
78,58.93,61.05,51.72,73.33,61.25749999999999,8.984606743388012
79,59.82,66.32,48.28,63.33,59.4375,7.898448687347829
80,57.59,69.47,48.28,66.67,60.5025,9.597330792117843
81,57.59,65.26,48.28,66.67,59.45,8.448135889058605
82,59.82,64.21,48.28,63.33,58.91,7.3360161759181866
83,59.82,67.37,50.0,70.0,61.7975,8.97079102792316
84,58.93,67.37,51.72,66.67,61.1725,7.371342595936421
85,59.82,68.42,55.17,66.67,62.52000000000001,6.146679320305125
86,59.82,65.26,51.72,63.33,60.0325,5.9817242497460565
87,59.38,65.79,53.45,66.67,61.322500000000005,6.172624374337603
88,58.48,61.58,53.45,70.0,60.8775,6.943324731951785
89,58.04,66.84,53.45,70.0,62.082499999999996,7.663386435947666
90,59.82,63.16,51.72,63.33,59.50749999999999,5.437372987022317
91,60.27,65.26,50.0,63.33,59.715,6.7947160843310215
92,58.48,67.37,51.72,63.33,60.224999999999994,6.734787796706492
93,59.38,67.37,51.72,66.67,61.285,7.329022217640405
94,58.93,66.32,51.72,70.0,61.7425,8.11378405348988
95,58.93,67.37,51.72,63.33,60.337500000000006,6.699588917737169
96,60.71,67.37,50.0,70.0,62.02,8.916266034613368
97,58.48,65.79,50.0,63.33,59.400000000000006,6.963796857079239
98,59.38,70.0,50.0,63.33,60.677499999999995,8.359371487538203
99,60.27,67.37,51.72,63.33,60.6725,6.638977707448642
100,58.48,65.79,53.45,66.67,61.09750000000001,6.28245904615913
101,58.93,66.32,51.72,63.33,60.075,6.343293045939675
102,59.38,68.42,51.72,66.67,61.5475,7.632148561621864
103,59.38,68.95,51.72,66.67,61.68000000000001,7.794113163150765
104,58.93,70.53,50.0,63.33,60.697500000000005,8.586203565410424
105,57.14,69.47,51.72,63.33,60.41499999999999,7.677215206918022
106,59.82,71.05,55.17,60.0,61.510000000000005,6.741498349773585
107,57.59,66.32,48.28,60.0,58.0475,7.480193290728964
108,59.82,66.84,53.45,60.0,60.0275,5.468621855641511
109,58.04,66.84,53.45,56.67,58.75,5.726214572763873
110,59.82,69.47,53.45,60.0,60.685,6.601487206178113
111,58.48,68.95,51.72,63.33,60.620000000000005,7.314884369102041
112,58.48,66.84,48.28,63.33,59.2325,8.066124120873255
113,58.48,69.47,48.28,66.67,60.724999999999994,9.517284276515017
114,58.48,71.58,50.0,63.33,60.8475,9.029999538575108
115,58.48,71.05,53.45,63.33,61.5775,7.49333648428166
116,58.48,67.89,53.45,63.33,60.787499999999994,6.220216368155263
117,58.93,72.63,51.72,63.33,61.6525,8.744256686534309
118,60.27,67.37,51.72,63.33,60.6725,6.638977707448642
119,58.93,68.95,51.72,63.33,60.7325,7.274349340891827
120,58.93,70.53,55.17,63.33,61.989999999999995,6.59806032103375
121,58.93,68.95,51.72,63.33,60.7325,7.274349340891827
122,59.38,71.58,51.72,63.33,61.5025,8.268374991496213
123,58.04,70.53,53.45,63.33,61.33749999999999,7.338443863199699
124,57.14,69.47,53.45,66.67,61.682500000000005,7.614212040651349
125,59.38,69.47,50.0,63.33,60.545,8.16427379909975
