epoch,local_time_s,peak_vram_mb
0,97.88,4744.5
1,98.25,4863.48
2,97.9,4864.6
3,97.87,4864.18
4,97.93,4862.74
5,98.27,4862.43
6,97.77,4862.43
7,97.98,4859.81
8,97.92,4859.73
9,97.85,4859.81
10,97.89,4860.18
11,98.03,4858.43
12,97.95,4857.56
13,98.04,4859.06
14,98.11,4859.06
15,101.9,4856.37
16,98.72,4858.06
17,97.95,4858.18
18,98.14,4856.43
19,97.95,4858.18
20,97.84,4858.49
21,98.04,4859.06
22,97.99,4859.93
23,97.96,4859.81
24,97.88,4859.93
25,97.78,4859.37
26,97.74,4858.93
27,97.94,4858.06
28,98.03,4857.56
29,97.92,4856.68
30,97.93,4859.93
31,97.96,4859.93
32,97.74,4859.06
33,97.83,4859.43
34,97.86,4858.85
35,97.85,4858.43
36,97.85,4859.06
37,98.0,4858.43
38,97.76,4860.81
39,97.86,4860.81
40,97.84,4858.49
41,98.34,4858.43
42,98.26,4858.93
43,98.29,4860.81
44,97.87,4858.18
45,97.87,4859.06
46,97.87,4857.62
47,98.04,4859.93
48,98.03,4859.93
49,98.01,4859.06
50,98.21,4859.06
51,98.09,4859.93
52,98.06,4860.43
53,98.06,4858.18
54,98.1,4859.56
55,98.18,4860.81
56,98.11,4860.43
57,98.01,4859.31
58,98.12,4860.81
59,98.03,4859.93
60,98.04,4860.81
61,98.21,4859.06
62,98.18,4859.93
63,98.2,4860.18
64,97.97,4859.93
65,98.11,4858.31
66,98.09,4859.06
67,98.09,4859.56
68,98.05,4859.93
69,98.1,4859.06
70,97.96,4859.56
71,98.1,4859.56
72,98.15,4858.68
73,98.16,4859.93
74,98.08,4859.06
75,100.99,4857.87
76,98.8,4859.06
77,98.21,4859.06
78,98.55,4859.06
79,98.36,4860.35
80,98.2,4859.37
81,98.14,4859.93
82,98.09,4859.06
83,98.48,4857.62
84,98.26,4858.18
85,98.15,4858.18
86,98.19,4859.06
87,98.31,4859.93
88,98.22,4859.81
89,98.3,4858.18
90,98.26,4858.06
91,98.04,4858.18
92,98.13,4859.06
93,98.25,4859.93
94,98.19,4859.37
95,98.2,4859.93
96,98.19,4858.68
97,98.35,4859.06
98,98.23,4858.06
99,98.22,4858.6
100,98.33,4858.81
101,98.18,4860.81
102,98.16,4859.06
103,98.34,4857.18
104,98.18,4859.06
105,98.08,4859.06
106,98.16,4857.31
107,98.15,4859.06
108,98.24,4859.06
109,98.17,4859.93
110,98.23,4858.37
111,98.21,4859.81
112,98.09,4857.68
113,98.27,4858.43
114,98.13,4858.43
115,98.16,4859.62
116,98.22,4859.18
117,98.11,4859.93
118,98.07,4860.81
119,98.18,4859.93
120,98.35,4859.31
121,98.15,4858.74
122,98.15,4857.81
123,98.18,4857.93
124,98.08,4857.31
125,98.09,4857.93
126,98.06,4857.81
127,98.19,4856.93
128,98.16,4856.24
129,98.14,4859.23
130,98.35,4858.81
131,98.16,4857.93
132,98.26,4857.93
133,98.43,4856.68
134,98.18,4853.81
135,98.22,4857.93
136,98.4,4859.68
137,98.07,4858.93
138,98.17,4857.93
139,98.3,4858.49
140,98.33,4858.81
141,98.41,4859.68
142,98.33,4859.31
143,98.31,4858.43
144,98.21,4858.66
145,98.21,4859.68
146,98.33,4859.68
147,98.01,4859.68
148,98.13,4857.81
149,98.2,4858.18
150,98.39,4858.18
151,98.09,4859.06
152,98.14,4858.18
153,98.28,4857.31
154,98.06,4857.62
155,98.26,4857.06
156,98.27,4857.93
157,98.13,4858.43
158,98.26,4857.24
159,98.11,4858.43
160,98.08,4858.18
161,98.08,4858.18
162,98.27,4857.93
163,98.41,4856.31
164,98.23,4857.06
165,98.29,4857.06
166,98.28,4857.06
167,98.13,4858.43
168,98.22,4858.43
169,98.19,4858.43
170,98.16,4857.93
171,98.27,4857.93
172,98.33,4858.81
173,98.27,4859.68
174,98.23,4858.81
175,98.21,4857.06
176,98.35,4857.06
177,98.83,4857.93
178,98.07,4857.56
179,98.06,4857.81
180,98.34,4857.81
181,98.67,4857.06
182,98.21,4857.06
183,98.23,4857.06
184,98.03,4857.93
185,97.96,4857.93
186,98.56,4858.81
187,98.89,4858.81
188,99.51,4857.81
189,98.16,4858.81
190,98.24,4858.81
191,97.99,4858.81
192,98.09,4859.68
193,98.14,4858.81
194,98.01,4857.93
195,98.03,4858.81
196,97.99,4857.93
197,98.06,4858.81
198,98.29,4857.06
199,97.99,4857.93
