epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,27.23,27.37,18.97,23.33,24.224999999999998,3.9722831386160453
1,30.8,33.68,27.59,16.67,27.185000000000002,7.438245760930462
2,31.25,31.05,27.59,23.33,28.305,3.7179698761555358
3,32.59,30.53,27.59,33.33,31.01,2.5694097895560892
4,30.8,31.05,27.59,30.0,29.86,1.5782057322584198
5,33.48,32.11,25.86,33.33,31.195,3.609196586499549
6,32.59,31.05,27.59,30.0,30.3075,2.1008311847139627
7,37.05,33.68,29.31,26.67,31.6775,4.60267585215383
8,35.27,34.21,29.31,30.0,32.197500000000005,2.980887731308691
9,37.05,33.16,27.59,30.0,31.95,4.094150298494995
10,36.61,34.74,31.03,23.33,31.4275,5.875329068798332
11,37.05,34.21,29.31,33.33,33.474999999999994,3.1983902200951024
12,36.16,39.47,34.48,33.33,35.86,2.672539366719725
13,35.71,42.63,27.59,40.0,36.4825,6.578699846220884
14,36.61,42.11,29.31,36.67,36.175,5.253148262391484
15,36.61,42.11,29.31,36.67,36.175,5.253148262391484
16,38.39,43.68,25.86,40.0,36.9825,7.738494147227009
17,37.5,44.21,29.31,40.0,37.755,6.2740231643393445
18,37.5,44.74,27.59,43.33,38.290000000000006,7.791409799687516
19,38.84,46.32,27.59,36.67,37.355000000000004,7.71148278002789
20,39.73,46.32,27.59,43.33,39.2425,8.222268036659147
21,39.29,47.37,25.86,40.0,38.129999999999995,8.958664334970177
22,40.62,46.84,29.31,40.0,39.1925,7.2763973457565765
23,41.07,48.42,22.41,40.0,37.975,11.030970038940366
24,41.07,50.53,25.86,36.67,38.5325,10.23783953445908
25,42.86,51.58,27.59,43.33,41.34,10.003176162266328
26,42.86,55.26,34.48,36.67,42.317499999999995,9.329581537596779
27,40.62,51.58,29.31,36.67,39.545,9.291890729734897
28,44.64,54.74,31.03,36.67,41.769999999999996,10.292641384341858
29,41.07,53.16,29.31,43.33,41.7175,9.796194414159
30,39.73,57.37,27.59,36.67,40.34,12.468953444455552
31,40.18,56.32,29.31,43.33,42.285,11.1183766800734
32,45.09,57.89,34.48,40.0,44.365,10.003627675331918
33,43.3,55.79,34.48,43.33,44.224999999999994,8.763007474605965
34,43.75,58.42,32.76,43.33,44.565,10.5436947983143
35,44.2,56.32,31.03,46.67,44.55500000000001,10.423372774682866
36,45.09,59.47,34.48,43.33,45.5925,10.351233018341343
37,44.64,56.32,37.93,43.33,45.55500000000001,7.74195711690526
38,44.64,61.05,34.48,43.33,45.875,11.077438031121336
39,46.88,58.95,34.48,43.33,45.91,10.13712319480565
40,47.32,57.37,37.93,40.0,45.655,8.78764473565016
41,43.3,59.47,36.21,43.33,45.5775,9.848686460640321
42,47.32,60.0,34.48,33.33,43.7825,12.534119766993346
43,49.11,60.53,39.66,36.67,46.49250000000001,10.755886372896782
44,47.77,62.11,39.66,43.33,48.2175,9.837348474055396
45,47.32,60.0,29.31,36.67,43.325,13.350716585012707
46,45.54,57.89,31.03,33.33,41.947500000000005,12.389814028736133
47,47.77,62.11,34.48,53.33,49.4225,11.579439753286858
48,46.88,61.58,37.93,43.33,47.43000000000001,10.12562755256845
