epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,27.23,27.89,18.97,23.33,24.355,4.115446512834301
1,31.7,33.16,29.31,16.67,27.71,7.529147804809429
2,30.8,31.05,29.31,23.33,28.6225,3.6109774761597917
3,32.59,30.0,27.59,30.0,30.045,2.041902707443886
4,30.36,30.53,27.59,33.33,30.4525,2.34438869075359
5,33.04,30.53,25.86,33.33,30.69,3.4567132751598977
6,32.14,30.0,27.59,30.0,29.9325,1.8591642387553253
7,35.27,33.16,27.59,26.67,30.672500000000003,4.197081327144694
8,33.93,34.21,25.86,26.67,30.1675,4.519781521268478
9,35.27,34.74,31.03,30.0,32.760000000000005,2.6350838063839017
10,36.16,34.74,29.31,33.33,33.385000000000005,2.952134820769539
11,36.61,33.16,25.86,30.0,31.4075,4.57868521885195
12,37.05,37.89,25.86,33.33,33.5325,5.485401079228391
13,37.05,40.53,27.59,40.0,36.292500000000004,6.000257633357643
14,37.5,42.63,29.31,40.0,37.36,5.7609200654062205
15,37.05,43.16,29.31,43.33,38.2125,6.614944570188525
16,38.39,43.16,25.86,40.0,36.8525,7.591448588159355
17,37.05,46.32,29.31,43.33,39.0025,7.528387941651254
18,37.05,43.68,29.31,40.0,37.51,6.102474907773075
19,39.29,45.26,27.59,43.33,38.8675,7.919142946051674
20,37.95,46.84,27.59,40.0,38.095,7.9682725020337175
21,37.05,47.37,29.31,43.33,39.265,7.8787372084617715
22,40.62,48.42,32.76,43.33,41.2825,6.5372796329972
23,38.84,51.05,25.86,46.67,40.605000000000004,11.051583596933066
24,40.18,47.89,29.31,36.67,38.5125,7.720079338970553
25,41.52,53.68,27.59,43.33,41.53,10.726698777660658
26,44.2,55.26,31.03,40.0,42.6225,10.057476075039899
27,41.96,53.68,31.03,40.0,41.667500000000004,9.315268380460115
28,42.86,55.26,31.03,43.33,43.120000000000005,9.893758975569733
29,42.41,54.21,32.76,43.33,43.177499999999995,8.772165734108464
30,41.52,56.84,25.86,36.67,40.222500000000004,12.867614062702796
31,41.96,55.26,32.76,40.0,42.495,9.384858372222068
32,44.2,57.37,37.93,40.0,44.875,8.728865905717647
33,44.64,56.84,36.21,43.33,45.254999999999995,8.565592020792648
34,42.86,57.37,32.76,43.33,44.08,10.11298505223194
35,43.3,57.37,29.31,43.33,43.3275,11.455462670708677
36,43.3,60.0,32.76,43.33,44.8475,11.260602041335684
37,45.09,56.84,37.93,40.0,44.965,8.46903575778652
38,43.75,60.0,36.21,43.33,45.822500000000005,10.064947010955066
39,44.2,57.37,32.76,43.33,44.41499999999999,10.081244962800971
40,45.54,56.84,39.66,40.0,45.51,8.019817121771961
41,45.09,56.32,32.76,43.33,44.375,9.647011627096411
42,44.2,60.0,34.48,43.33,45.5025,10.615857242823116
43,47.32,58.95,37.93,40.0,46.050000000000004,9.496662571661691
44,45.09,59.47,36.21,40.0,45.1925,10.189943980873169
45,45.54,60.0,36.21,40.0,45.4375,10.43695477617873
46,45.98,58.95,36.21,36.67,44.4525,10.661720858598141
47,45.98,59.47,36.21,53.33,48.7475,10.013645273658671
48,46.88,61.58,41.38,46.67,49.1275,8.68291569693038
49,46.88,58.42,41.38,46.67,48.337500000000006,7.187221878676999
50,45.54,62.11,34.48,50.0,48.0325,11.429929643994608
51,49.11,61.05,39.66,50.0,49.955,8.752182584932743
52,49.55,63.68,36.21,53.33,50.692499999999995,11.353115211253694
53,48.21,58.95,39.66,50.0,49.205,7.909785079254685
54,46.43,62.63,37.93,50.0,49.2475,10.258032218705496
55,46.88,61.58,43.1,46.67,49.557500000000005,8.200538092101027
56,46.88,61.05,37.93,50.0,48.965,9.54353009460685
57,46.88,62.11,43.1,53.33,51.355000000000004,8.321484242609607
58,49.11,61.58,37.93,50.0,49.655,9.662596269464364
59,51.34,62.11,39.66,46.67,49.94500000000001,9.424084394075994
60,49.55,63.68,36.21,53.33,50.692499999999995,11.353115211253694
61,50.45,63.68,41.38,46.67,50.545,9.514026487245028
62,49.11,63.68,39.66,50.0,50.6125,9.88853671345429
63,48.21,61.58,39.66,56.67,51.53,9.649549212268935
