epoch,local_time_s,peak_vram_mb
0,119.31,4440.35
1,118.97,4439.27
2,119.03,4438.27
3,118.88,4437.47
4,118.9,4437.22
5,118.97,4436.27
6,118.89,4436.22
7,118.84,4436.22
8,119.03,4437.66
9,118.97,4438.33
10,118.93,4437.08
11,119.06,4436.16
12,118.93,4437.04
13,118.87,4437.04
14,118.92,4434.91
15,118.93,4434.1
16,118.84,4434.6
17,118.74,4435.91
18,118.82,4436.79
19,118.77,4434.97
20,118.68,4435.22
21,118.73,4434.47
22,118.64,4433.22
23,118.64,4434.46
24,118.79,4434.91
25,118.67,4434.66
26,118.63,4436.22
27,118.75,4435.6
28,118.64,4435.77
29,118.65,4435.29
30,118.72,4435.72
31,118.96,4436.04
32,118.66,4434.77
33,118.59,4433.85
34,118.58,4436.22
35,118.61,4436.22
36,118.62,4434.72
37,118.78,4434.08
38,118.64,4434.79
39,118.74,4435.35
40,118.62,4435.21
41,118.72,4436.22
42,118.67,4436.05
43,118.7,4434.47
44,118.61,4434.47
45,118.62,4434.9
46,118.6,4434.35
47,118.68,4435.22
48,118.57,4435.46
49,118.63,4435.6
50,118.7,4433.6
51,118.59,4434.1
52,118.76,4434.1
53,118.61,4435.35
54,118.51,4433.54
55,118.63,4435.1
56,118.61,4436.47
57,118.58,4435.46
58,118.69,4434.47
59,118.45,4434.46
60,118.69,4434.33
61,118.57,4434.85
62,118.69,4434.85
63,118.69,4435.04
64,118.56,4435.91
65,118.7,4435.91
66,118.72,4434.47
67,118.57,4434.6
68,118.78,4435.41
69,118.67,4435.35
70,118.59,4433.79
71,118.62,4435.33
72,118.74,4434.85
73,118.67,4434.85
74,118.72,4433.6
75,118.75,4434.47
76,118.7,4434.72
77,118.57,4434.85
78,118.75,4433.85
79,118.68,4434.97
80,118.62,4435.35
81,118.67,4434.35
82,118.71,4433.85
83,118.65,4434.6
84,118.52,4434.6
85,118.69,4434.47
86,118.69,4433.47
87,118.64,4434.91
88,118.64,4435.79
89,118.55,4435.27
90,118.48,4434.79
91,118.71,4435.41
92,118.58,4434.47
93,118.65,4434.46
94,118.64,4436.35
95,118.5,4437.05
96,118.53,4436.79
97,118.62,4436.79
98,118.6,4435.41
99,118.64,4435.85
100,118.66,4435.91
101,118.68,4434.33
102,118.57,4436.33
103,118.54,4435.6
104,118.63,4436.21
105,118.55,4437.1
106,118.66,4436.22
107,118.56,4434.97
108,118.64,4435.1
109,118.65,4434.96
110,118.6,4435.22
111,118.7,4435.85
112,118.62,4435.6
113,118.67,4435.97
114,118.78,4434.41
115,118.5,4435.35
116,118.65,4435.64
117,118.66,4436.85
118,118.47,4437.72
119,118.72,4435.58
120,118.51,4435.6
121,118.53,4435.47
122,118.51,4435.29
123,118.56,4436.97
124,118.7,4436.16
125,118.57,4436.22
126,118.57,4435.35
127,118.77,4435.97
128,118.52,4436.47
129,118.69,4436.85
130,118.57,4436.83
131,118.53,4436.97
132,118.67,4437.83
133,118.49,4436.6
134,118.51,4436.6
135,118.57,4435.97
136,118.61,4435.29
137,118.54,4435.97
138,118.69,4433.85
139,119.3,4434.91
140,118.94,4434.14
141,118.67,4434.97
142,118.6,4434.22
143,118.59,4433.47
144,118.72,4434.58
145,118.69,4435.6
146,118.46,4435.33
147,118.56,4435.16
148,118.48,4435.72
149,118.6,4436.85
150,118.62,4436.85
151,118.62,4435.85
152,118.57,4435.1
153,118.6,4433.96
154,118.45,4436.72
155,118.59,4436.79
156,118.55,4436.22
157,118.59,4436.22
158,118.61,4436.85
159,118.47,4434.1
160,118.57,4435.68
161,118.59,4435.41
162,118.56,4435.72
163,118.66,4436.29
164,118.6,4435.85
165,118.42,4435.96
166,118.62,4436.47
167,118.57,4436.85
168,118.62,4436.22
169,118.52,4434.47
170,118.6,4434.16
171,118.57,4435.35
172,118.54,4434.79
173,118.51,4435.35
174,118.42,4435.41
175,118.54,4435.97
176,118.63,4435.35
177,118.42,4435.72
178,118.48,4434.97
179,118.44,4434.96
180,118.5,4434.47
181,118.42,4436.35
182,118.61,4435.21
183,118.54,4433.6
184,118.4,4434.1
185,118.54,4434.1
186,118.6,4434.47
187,118.54,4434.47
188,118.47,4434.47
189,118.55,4435.08
190,118.45,4435.35
191,118.43,4435.35
192,118.39,4434.47
193,118.44,4434.46
194,118.58,4434.1
195,118.61,4434.22
196,118.63,4433.85
197,118.46,4434.85
198,118.45,4435.97
199,118.53,4435.97
