epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,18.75,12.63,15.52,16.67,15.892500000000002,2.552937850137889
1,16.96,15.79,39.66,30.0,25.6025,11.371444865685861
2,22.77,16.84,41.38,30.0,27.747500000000002,10.562005412483623
3,28.12,21.05,41.38,36.67,31.805000000000003,9.029545946502516
4,27.68,22.63,44.83,36.67,32.9525,9.819166206964825
5,29.46,24.74,43.1,33.33,32.6575,7.797625172662081
6,24.55,21.58,36.21,36.67,29.7525,7.818927356101987
7,26.34,23.68,34.48,30.0,28.625,4.684936854786127
8,25.0,23.16,34.48,36.67,29.827499999999997,6.738592212027672
9,27.68,22.11,34.48,30.0,28.5675,5.147707418518136
10,25.0,25.26,37.93,33.33,30.38,6.347277631657002
11,27.23,24.21,36.21,30.0,29.4125,5.111440599283141
12,25.89,24.74,39.66,33.33,30.904999999999998,6.968694282288468
13,27.23,27.89,34.48,33.33,30.732499999999998,3.7030651718092478
14,26.34,24.74,37.93,33.33,30.584999999999997,6.155433913759993
15,26.79,24.74,36.21,33.33,30.267500000000002,5.395630176355678
16,27.68,23.16,39.66,33.33,30.9575,7.13921739408459
17,28.57,24.21,37.93,33.33,31.01,5.929092117123273
18,28.57,22.11,39.66,33.33,30.9175,7.423706958117352
19,27.68,24.21,46.55,33.33,32.942499999999995,9.819447964795847
20,29.02,23.16,39.66,33.33,31.2925,6.963434856448359
