epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,21.43,17.89,15.52,20.0,18.71,2.5762375666851844
1,21.88,20.53,37.93,26.67,26.7525,7.903671615141914
2,25.89,18.42,34.48,30.0,27.197499999999998,6.822581989247178
3,29.46,21.05,34.48,26.67,27.915000000000003,5.602514316507067
4,31.25,24.74,39.66,26.67,30.58,6.640507008755681
5,33.04,30.0,34.48,26.67,31.0475,3.4646729042340088
6,30.8,27.37,34.48,30.0,30.6625,2.936646329857693
7,30.8,27.89,32.76,26.67,29.529999999999998,2.763753486353898
8,29.46,26.84,32.76,26.67,28.9325,2.8533883366972663
9,30.8,25.79,32.76,26.67,29.005,3.3221729836559275
10,31.25,27.89,34.48,26.67,30.0725,3.519132232051909
11,31.25,27.37,36.21,26.67,30.375000000000004,4.3806354181404625
12,31.25,27.37,36.21,26.67,30.375000000000004,4.3806354181404625
13,31.7,30.0,36.21,26.67,31.145,3.9706800425116096
14,34.82,33.16,34.48,26.67,32.2825,3.809552685902461
15,34.38,33.16,34.48,26.67,32.1725,3.717090035677549
16,37.5,40.53,37.93,30.0,36.49,4.528995473612223
17,35.27,37.37,37.93,26.67,34.31,5.220446979585815
18,34.82,45.26,36.21,30.0,36.5725,6.3737240553175285
19,33.48,45.26,37.93,30.0,36.6675,6.5838356348458955
20,34.38,42.11,36.21,30.0,35.675000000000004,5.019233009135957
21,36.16,45.79,36.21,30.0,37.04,6.521436447082294
22,38.39,46.84,37.93,30.0,38.29,6.879103623777352
23,37.5,44.74,37.93,40.0,40.042500000000004,3.316387341671658
24,38.84,47.37,39.66,40.0,41.4675,3.965008406884739
25,37.95,37.89,39.66,40.0,38.875,1.1117103939425934
26,38.39,46.84,39.66,43.33,42.055,3.816197933371208
27,39.73,42.63,41.38,40.0,40.935,1.3413053343664918
28,41.96,50.0,39.66,40.0,42.905,4.8373925483329
29,39.73,46.32,37.93,43.33,41.8275,3.742996794014123
30,40.18,48.95,41.38,43.33,43.459999999999994,3.883374820951489
31,38.84,49.47,37.93,46.67,43.227500000000006,5.719361123995114
32,41.96,51.58,43.1,43.33,44.99249999999999,4.432331027048106
33,39.29,45.79,39.66,46.67,42.8525,3.9194249152990137
34,37.5,46.84,37.93,46.67,42.235,5.222658965188774
35,39.29,50.0,41.38,46.67,44.334999999999994,4.889734144102316
36,39.73,50.53,43.1,50.0,45.839999999999996,5.295954430821072
37,41.07,48.42,46.55,46.67,45.67750000000001,3.188347273013612
38,41.96,53.16,43.1,46.67,46.2225,5.0414308484794255
39,41.07,52.63,41.38,46.67,45.4375,5.440265771694125
40,42.41,52.63,46.55,46.67,47.065,4.20553207097509
41,39.73,51.05,41.38,46.67,44.707499999999996,5.161604240285508
42,46.43,52.11,50.0,46.67,48.802499999999995,2.7416464031672643
43,41.96,51.05,41.38,46.67,45.265,4.5260910286913125
44,43.3,56.32,50.0,50.0,49.905,5.316524554004556
45,44.2,52.11,46.55,46.67,47.38250000000001,3.3505360267674575
46,47.32,55.26,46.55,46.67,48.95,4.220244858615038
47,43.3,53.68,46.55,46.67,47.55,4.374692370136824
48,44.64,58.42,51.72,53.33,52.0275,5.692986181843994
49,41.96,54.21,55.17,46.67,49.5025,6.303265687985343
50,44.2,56.84,46.55,46.67,48.565,5.632645914665683
51,46.43,54.74,48.28,46.67,49.03,3.8942778534665456
52,45.54,55.79,43.1,50.0,48.6075,5.575825051057466
53,45.54,53.16,46.55,46.67,47.980000000000004,3.4903199471299655
54,45.09,55.79,43.1,46.67,47.662499999999994,5.61175774601862
55,45.54,56.84,48.28,50.0,50.165,4.814100816005693
56,45.54,57.37,44.83,50.0,49.435,5.763693838734555
57,47.77,58.95,53.45,50.0,52.542500000000004,4.86897234194924
58,46.88,54.21,50.0,53.33,51.105000000000004,3.3497910382589526
59,44.64,55.79,50.0,46.67,49.275000000000006,4.873058587786524
60,47.32,57.37,46.55,53.33,51.1425,5.140346129720578
61,45.09,57.37,46.55,53.33,50.584999999999994,5.774873735993424
62,46.88,56.32,46.55,50.0,49.9375,4.530035871822651
63,48.21,54.74,46.55,50.0,49.875,3.5360854062083984
64,48.21,58.95,51.72,60.0,54.72,5.690676585433406
65,45.98,54.74,48.28,53.33,50.582499999999996,4.135943060536497
