epoch,local_time_s,peak_vram_mb
0,125.2,5450.93
1,124.7,5533.06
2,124.61,5533.63
3,124.57,5533.63
4,124.55,5532.19
5,124.57,5530.5
6,124.7,5531.38
7,124.66,5530.81
8,124.47,5529.94
9,124.54,5530.25
10,124.62,5527.56
11,124.76,5527.88
12,124.61,5528.38
13,124.74,5528.56
14,124.56,5529.88
15,124.56,5530.25
16,124.7,5529.06
17,124.83,5528.63
18,124.72,5527.5
19,124.64,5527.5
20,124.69,5526.63
21,124.54,5527.13
22,124.53,5526.63
23,124.64,5527.13
24,124.59,5526.5
25,124.62,5526.75
26,124.64,5528.38
27,124.74,5528.38
28,124.63,5528.5
29,124.62,5527.31
30,124.57,5528.75
31,124.55,5529.38
32,124.55,5529.25
33,124.53,5528.0
34,124.47,5529.0
35,124.61,5527.94
36,124.53,5527.94
37,124.58,5529.13
38,124.54,5528.75
39,124.59,5528.75
40,124.43,5527.25
41,124.59,5526.88
42,124.72,5526.56
43,124.62,5527.38
44,124.86,5527.75
45,124.71,5527.75
46,124.77,5525.44
47,124.54,5524.94
48,124.64,5525.19
49,124.59,5524.31
50,124.55,5526.0
51,124.59,5526.13
52,124.63,5525.75
53,124.51,5526.0
54,124.64,5526.88
55,124.65,5526.88
56,124.62,5527.25
57,124.51,5528.13
58,124.67,5526.63
59,124.72,5526.38
60,124.54,5527.38
61,124.68,5526.0
62,124.5,5526.88
63,124.51,5526.88
64,124.64,5526.38
65,124.78,5526.88
66,124.45,5526.0
67,124.56,5524.08
68,124.54,5524.63
69,124.64,5527.88
70,124.61,5527.88
71,124.63,5526.38
72,124.67,5522.88
73,124.77,5521.63
74,124.62,5522.17
75,124.51,5524.13
76,124.58,5528.13
77,124.77,5528.13
78,124.78,5528.13
79,124.61,5527.5
80,124.57,5526.38
81,124.49,5526.63
82,124.5,5526.69
83,124.52,5525.5
84,124.31,5527.5
85,124.47,5529.13
86,124.31,5529.13
87,124.68,5529.13
88,124.55,5527.38
89,124.58,5527.13
90,124.53,5524.25
91,124.41,5526.38
92,124.51,5525.08
93,124.64,5525.08
94,124.48,5525.13
95,124.72,5526.08
96,124.47,5526.5
97,124.5,5524.95
98,124.26,5524.25
99,124.38,5525.88
100,124.35,5525.88
101,124.55,5525.25
102,124.5,5524.0
103,124.53,5523.88
104,124.46,5525.38
105,124.51,5524.38
106,124.54,5522.25
107,124.5,5525.0
108,124.4,5525.0
109,124.65,5522.63
110,124.37,5523.13
111,124.42,5523.25
112,124.56,5521.63
113,124.62,5524.25
114,124.44,5525.13
115,124.41,5525.13
116,124.48,5526.0
117,124.43,5525.13
118,124.61,5525.13
119,124.6,5526.0
120,124.48,5525.13
121,124.38,5524.75
122,124.46,5523.0
123,124.52,5522.5
124,124.3,5522.5
125,124.41,5524.25
126,124.61,5525.13
127,124.49,5525.13
128,124.3,5526.88
129,124.49,5526.0
130,124.72,5525.13
131,124.68,5526.0
132,124.66,5524.25
133,124.47,5526.0
134,124.37,5526.0
135,124.65,5526.0
136,124.7,5525.13
137,124.72,5526.0
138,124.88,5526.0
139,125.23,5525.38
140,127.12,5524.5
141,125.21,5525.13
142,124.51,5523.38
143,124.53,5521.88
144,124.79,5524.25
145,124.55,5524.25
146,124.55,5525.38
147,124.61,5521.0
148,124.59,5522.5
149,124.39,5522.25
150,124.66,5523.63
151,124.6,5523.63
152,124.53,5523.5
153,124.55,5525.25
154,124.59,5526.0
155,124.47,5526.0
156,124.54,5525.0
157,124.63,5525.0
158,124.45,5526.88
159,124.52,5526.88
160,124.48,5525.25
161,124.64,5524.5
162,124.5,5525.38
163,124.42,5525.38
164,124.6,5524.5
165,124.47,5523.5
166,124.66,5522.38
167,124.72,5523.5
168,124.81,5524.5
169,124.72,5525.38
170,124.64,5525.38
171,124.6,5523.63
172,124.58,5523.0
173,124.31,5522.5
174,124.62,5522.75
175,124.61,5522.75
176,124.71,5522.75
177,124.46,5523.63
178,124.45,5523.88
179,124.49,5524.38
180,124.57,5524.13
181,124.52,5524.13
182,124.63,5521.75
183,124.61,5522.63
184,124.72,5522.38
185,124.46,5522.25
186,124.7,5521.75
187,124.57,5521.75
188,124.43,5519.38
189,124.62,5517.25
190,124.53,5516.0
191,124.5,5516.0
192,124.6,5517.25
193,124.23,5517.25
194,124.52,5516.88
195,124.52,5516.88
196,124.65,5517.25
197,124.67,5517.63
198,124.7,5518.5
199,124.5,5518.88
