epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,26.79,27.89,18.97,23.33,24.245,4.017706642683942
1,21.43,13.16,20.69,13.33,17.1525,4.522627370603655
2,29.02,24.21,24.14,26.67,26.01,2.3261269670133364
3,34.82,24.74,29.31,33.33,30.55,4.518664994590032
4,32.59,38.95,29.31,23.33,31.045,6.516837167419998
5,35.71,41.05,34.48,30.0,35.309999999999995,4.545789260403521
6,34.82,36.84,32.76,26.67,32.772499999999994,4.396114761923306
7,39.73,41.58,34.48,36.67,38.114999999999995,3.1578315344552497
8,36.61,42.11,31.03,33.33,35.769999999999996,4.807022640540261
9,38.39,38.95,31.03,36.67,36.260000000000005,3.6191159141425686
10,37.95,45.26,29.31,26.67,34.7975,8.476852304953766
11,38.39,40.53,24.14,26.67,32.432500000000005,8.226649277399233
12,39.29,44.74,27.59,36.67,37.072500000000005,7.15978758995917
13,42.86,52.63,27.59,40.0,40.77,10.317186308937789
14,41.07,52.11,27.59,40.0,40.1925,10.027576560000261
15,42.41,46.32,27.59,33.33,37.412499999999994,8.514044769281716
16,41.52,52.11,27.59,40.0,40.305,10.043214956709164
17,39.29,48.42,27.59,36.67,37.99250000000001,8.570827945225984
18,41.96,54.21,27.59,46.67,42.6075,11.211102755750659
19,40.62,51.05,32.76,36.67,40.27499999999999,7.867462530363055
20,43.3,53.16,34.48,43.33,43.567499999999995,7.631659387053381
21,39.29,51.05,29.31,46.67,41.58,9.51115134986296
22,47.77,57.89,34.48,43.33,45.86749999999999,9.734373374799222
23,42.86,54.21,27.59,46.67,42.832499999999996,11.202804336415058
24,44.2,56.32,36.21,46.67,45.85000000000001,8.285437023275637
25,41.96,53.68,31.03,50.0,44.167500000000004,10.032824045767638
26,43.75,57.37,34.48,46.67,45.567499999999995,9.429571835454674
27,45.09,57.89,29.31,43.33,43.905,11.695142866449588
28,44.64,59.47,37.93,50.0,48.01,9.096794307153848
29,42.86,57.37,34.48,46.67,45.345,9.497011810739911
30,45.09,57.89,29.31,46.67,44.739999999999995,11.759461438915192
31,44.2,60.0,36.21,50.0,47.6025,10.013525436461759
32,45.54,58.95,44.83,46.67,48.9975,6.678120369285558
33,45.54,57.89,39.66,46.67,47.44,7.61432422039759
34,43.75,61.05,41.38,46.67,48.212500000000006,8.82756431110341
35,47.77,62.11,39.66,46.67,49.052499999999995,9.41697890337802
36,45.09,61.58,41.38,43.33,47.845,9.281194247868463
37,48.66,58.95,46.55,46.67,50.207499999999996,5.908109539720244
38,48.21,64.74,43.1,46.67,50.67999999999999,9.61458960815974
39,47.32,60.53,36.21,46.67,47.682500000000005,9.963819130567689
40,47.77,61.58,48.28,43.33,50.239999999999995,7.880063451521186
41,45.98,58.95,39.66,46.67,47.815,8.065781631889955
42,45.98,60.0,39.66,46.67,48.0775,8.551430192273884
43,47.32,59.47,41.38,43.33,47.875,8.11570699323232
44,50.89,65.79,41.38,46.67,51.182500000000005,10.486757919713162
45,51.79,63.68,41.38,53.33,52.545,9.125636050891648
46,46.88,55.79,37.93,43.33,45.9825,7.502690073122662
47,48.21,60.53,36.21,53.33,49.57000000000001,10.240416658189906
