epoch,local_time_s,peak_vram_mb
0,120.6,6238.81
1,120.51,6362.49
2,120.51,6362.8
3,120.79,6363.36
4,120.86,6361.11
5,120.52,6360.18
6,120.46,6361.74
7,120.42,6361.68
8,120.42,6362.61
9,120.53,6362.11
10,120.57,6362.99
11,120.35,6360.99
12,120.56,6359.55
13,120.43,6359.8
14,120.42,6359.49
15,120.51,6360.74
16,120.73,6359.11
17,120.54,6358.74
18,120.55,6356.99
19,120.71,6356.61
20,121.56,6358.49
21,120.67,6356.36
22,120.57,6357.24
23,120.62,6355.8
24,120.45,6357.24
25,120.58,6357.61
26,120.58,6356.24
27,120.51,6355.86
28,120.77,6356.24
29,120.53,6355.68
30,120.75,6353.61
31,120.71,6353.99
32,120.69,6355.49
33,120.7,6355.99
34,120.8,6354.24
35,120.56,6356.61
36,120.48,6356.86
37,120.51,6356.99
38,120.55,6357.61
39,120.54,6354.36
40,120.47,6353.36
41,120.36,6355.49
42,120.42,6355.74
43,120.47,6354.86
44,120.32,6355.86
45,120.94,6356.74
46,121.08,6356.61
47,120.79,6357.49
48,120.45,6357.61
49,120.53,6357.61
50,120.26,6357.49
51,120.64,6356.74
52,120.65,6359.36
53,120.64,6358.49
54,120.48,6355.86
55,120.48,6355.86
56,120.57,6355.36
57,120.4,6356.24
58,121.18,6353.74
59,120.3,6355.49
60,120.38,6356.24
61,120.48,6356.74
62,120.52,6357.05
63,120.42,6356.24
64,120.51,6355.61
65,120.57,6354.49
66,120.55,6357.49
67,120.65,6356.11
68,120.65,6353.99
69,120.25,6355.86
70,120.66,6354.99
71,120.39,6357.61
72,120.42,6354.43
73,120.55,6354.49
74,120.39,6355.36
75,120.35,6356.24
76,120.56,6355.36
77,120.54,6354.49
78,120.75,6354.74
79,120.36,6355.36
80,120.45,6355.86
81,120.39,6355.74
82,120.69,6355.3
83,120.63,6355.86
84,120.38,6356.74
85,120.49,6356.74
86,120.43,6356.11
87,120.34,6359.36
88,120.52,6358.49
89,120.43,6357.55
90,120.5,6356.74
91,120.77,6356.24
92,120.63,6356.74
93,120.71,6354.99
94,120.32,6354.99
95,120.46,6357.11
96,120.47,6355.36
97,120.53,6356.24
98,120.42,6356.24
99,120.54,6359.3
100,120.33,6359.36
101,120.63,6359.36
102,120.54,6357.05
103,120.54,6357.99
104,120.4,6357.11
105,120.61,6357.61
106,121.94,6357.61
107,125.92,6354.99
108,125.38,6357.61
109,125.44,6357.61
110,125.23,6355.8
111,125.29,6356.24
112,125.39,6355.36
113,125.67,6355.24
114,125.61,6354.49
115,125.67,6354.36
116,125.55,6354.49
117,125.61,6356.24
118,125.39,6354.49
119,125.56,6355.36
120,125.56,6356.24
121,125.65,6357.43
122,125.42,6356.74
123,125.43,6356.74
124,125.67,6355.86
125,125.52,6356.24
126,125.56,6356.05
127,126.28,6356.93
128,126.43,6356.36
129,125.3,6357.11
130,125.53,6356.24
131,125.59,6354.49
132,125.46,6356.74
133,125.45,6357.99
134,125.54,6355.36
135,125.39,6354.99
136,125.87,6354.8
137,125.87,6357.11
138,125.33,6357.99
139,125.42,6358.49
140,125.21,6359.36
141,125.52,6357.61
142,125.42,6356.86
143,125.51,6358.49
144,125.36,6358.49
145,125.45,6356.61
146,125.62,6357.61
147,125.39,6356.74
148,125.34,6354.24
149,125.4,6356.74
150,125.28,6356.74
151,125.28,6356.74
152,125.46,6357.11
153,125.35,6357.36
154,125.2,6355.61
155,125.55,6355.86
156,125.36,6356.74
157,125.38,6354.36
158,125.16,6354.11
159,125.23,6356.11
160,125.26,6356.74
161,125.28,6354.99
162,125.57,6355.24
163,125.34,6355.36
164,125.25,6355.86
165,125.43,6356.74
166,125.45,6356.49
167,125.54,6356.49
168,125.41,6357.11
169,125.67,6356.24
170,125.45,6355.61
171,125.39,6354.99
172,125.46,6357.24
173,125.56,6357.24
174,125.51,6356.11
175,125.3,6356.74
176,125.49,6357.11
177,125.55,6355.61
178,125.57,6357.61
179,125.67,6358.49
180,125.19,6357.61
181,125.41,6357.86
182,125.51,6358.49
183,125.41,6357.86
184,125.4,6356.74
185,125.39,6357.61
186,125.6,6357.99
187,125.46,6358.49
188,125.29,6357.86
189,125.22,6357.61
190,125.44,6355.49
191,125.51,6355.86
192,125.67,6355.61
193,125.63,6354.99
194,125.44,6355.86
195,125.43,6356.74
196,125.72,6356.74
197,125.63,6357.61
198,125.92,6356.74
199,125.81,6350.99
