epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,20.54,16.84,15.52,20.0,18.224999999999998,2.432084154245764
1,12.95,10.53,20.69,13.33,14.375,4.388845710054829
2,27.23,26.84,29.31,30.0,28.345,1.5468785774369402
3,27.68,26.84,36.21,30.0,30.182499999999997,4.234732380367541
4,28.12,22.11,29.31,30.0,27.385,3.6013747375134404
5,32.14,30.0,31.03,26.67,29.96,2.361002611886173
6,28.57,24.21,34.48,30.0,29.314999999999998,4.233300524807248
7,32.14,26.84,37.93,30.0,31.7275,4.673081602825556
8,32.14,25.79,36.21,33.33,31.8675,4.397214080149689
9,33.04,27.89,37.93,36.67,33.8825,4.500824924388861
10,32.59,30.0,41.38,40.0,35.9925,5.554945994336939
11,35.71,30.53,44.83,40.0,37.7675,6.095836694006819
12,31.7,30.0,39.66,40.0,35.34,5.232692105089565
13,35.71,35.79,37.93,40.0,37.3575,2.039761015413325
14,34.82,32.11,39.66,40.0,36.6475,3.8402723427729266
15,33.48,36.84,34.48,40.0,36.199999999999996,2.89864336083854
16,34.38,41.58,37.93,40.0,38.472500000000004,3.1108774217788335
17,35.71,40.53,39.66,36.67,38.1425,2.3157630132060856
18,34.38,47.89,37.93,43.33,40.88250000000001,5.946850006516055
19,35.71,48.42,41.38,43.33,42.209999999999994,5.25221857884837
20,36.61,44.21,37.93,46.67,41.355000000000004,4.852693410193286
21,37.95,50.53,41.38,46.67,44.13250000000001,5.57274543350642
22,37.5,44.74,37.93,43.33,40.875,3.6981481852408242
23,39.73,50.0,41.38,46.67,44.44499999999999,4.74110043484984
24,41.07,48.95,41.38,43.33,43.682500000000005,3.651368464927454
25,40.62,46.84,43.1,43.33,43.4725,2.558376764017896
26,38.84,46.84,41.38,43.33,42.5975,3.3732513988731996
27,43.75,50.53,50.0,46.67,47.7375,3.1599934071661187
28,41.07,54.74,46.55,43.33,46.4225,5.983585185043051
