epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,18.75,12.63,15.52,16.67,15.892500000000002,2.552937850137889
1,16.96,15.79,39.66,30.0,25.6025,11.371444865685861
2,22.77,16.84,41.38,30.0,27.747500000000002,10.562005412483623
3,26.79,21.05,41.38,33.33,30.6375,8.744031774111225
4,26.79,22.11,44.83,36.67,32.599999999999994,10.164218284419777
5,29.46,24.74,44.83,33.33,33.09,8.57874505196807
6,27.23,23.16,43.1,33.33,31.705000000000002,8.6704344374047
7,26.79,23.16,34.48,33.33,29.44,5.384997678736731
8,26.34,22.11,34.48,33.33,29.065,5.86827913446523
9,27.68,21.05,34.48,30.0,28.302500000000002,5.598490123833983
10,25.45,25.79,37.93,33.33,30.624999999999996,6.078319394920497
11,28.57,22.63,36.21,30.0,29.3525,5.57520926363606
12,26.34,22.63,39.66,30.0,29.6575,7.31571083354174
13,27.23,23.16,36.21,33.33,29.982499999999998,5.890961296766429
14,28.12,24.21,41.38,33.33,31.76,7.4220706904026015
15,27.23,23.16,39.66,33.33,30.845,7.21126202547099
16,28.57,20.0,34.48,33.33,29.095,6.580985235256698
17,28.57,23.68,37.93,33.33,30.8775,6.134087136648778
18,27.68,21.05,37.93,33.33,29.9975,7.290602970033869
19,28.57,22.63,39.66,30.0,30.215,7.059095787233186
20,28.12,20.0,37.93,33.33,29.845000000000002,7.690082357599733
21,29.46,25.79,39.66,33.33,32.06,5.928625473075525
22,32.14,23.16,39.66,33.33,32.0725,6.79678048784864
23,29.02,27.37,39.66,33.33,32.345,5.485912260812536
24,33.04,26.32,41.38,36.67,34.352500000000006,6.350860177960149
25,29.91,28.42,39.66,36.67,33.665,5.372153509844383
26,32.59,27.89,44.83,43.33,37.16,8.240461152144336
27,29.46,26.32,43.1,36.67,33.8875,7.516255162424082
28,32.59,29.47,43.1,36.67,35.457499999999996,5.8864441728432295
29,32.14,34.21,41.38,36.67,36.099999999999994,3.9773106491698638
30,33.04,32.63,43.1,40.0,37.1925,5.1910267128318015
31,30.36,36.84,39.66,40.0,36.715,4.467135547529311
32,37.05,33.16,46.55,43.33,40.022499999999994,6.040901560749576
33,31.7,35.79,46.55,43.33,39.3425,6.8038291914676
