epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,16.96,14.74,32.76,23.33,21.9475,8.075573767025267
1,15.18,16.84,17.24,13.33,15.647499999999997,1.7839539418568702
2,31.7,25.79,31.03,30.0,29.63,2.6537646215643673
3,32.59,33.68,37.93,30.0,33.550000000000004,3.302796794637336
4,30.8,34.74,36.21,33.33,33.769999999999996,2.3028243528328427
5,33.48,38.42,39.66,33.33,36.2225,3.293087457083398
6,33.48,36.32,39.66,33.33,35.6975,2.978325872029452
7,37.05,38.42,43.1,33.33,37.974999999999994,4.0371318201581365
8,37.05,36.84,43.1,33.33,37.58,4.056328389073056
9,37.5,42.63,43.1,30.0,38.3075,6.091487913474015
10,39.29,42.11,46.55,33.33,40.32,5.535882946739391
11,39.73,45.26,46.55,33.33,41.2175,6.0333151473022415
12,40.18,42.11,44.83,33.33,40.1125,4.907534173764526
13,40.18,43.68,48.28,33.33,41.36749999999999,6.301901168166107
14,41.07,45.26,46.55,33.33,41.552499999999995,5.959946168660697
15,41.07,49.47,44.83,33.33,42.175,6.824492655135618
16,41.96,51.05,44.83,33.33,42.79249999999999,7.361378380892172
17,41.07,52.63,48.28,36.67,44.66250000000001,7.149673069448701
18,41.96,55.26,46.55,36.67,45.11,7.879344304361032
19,43.3,56.32,48.28,36.67,46.1425,8.285700030775915
20,42.86,54.21,46.55,36.67,45.072500000000005,7.329712932077672
21,44.2,59.47,48.28,36.67,47.155,9.514762214580035
22,44.2,56.84,46.55,40.0,46.8975,7.160681415433404
23,45.98,58.42,48.28,36.67,47.337500000000006,8.932123207838101
24,46.43,58.95,46.55,46.67,49.650000000000006,6.200774145217678
25,46.43,62.11,50.0,40.0,49.635,9.289135230651631
26,47.77,58.95,46.55,46.67,49.985,6.00183027639625
27,48.66,60.53,50.0,43.33,50.629999999999995,7.201337838670443
28,48.21,61.58,44.83,50.0,51.155,7.273085085894889
29,49.11,61.58,46.55,53.33,52.6425,6.581506286557812
30,49.55,59.47,46.55,50.0,51.3925,5.5985020317938625
31,49.55,62.11,48.28,50.0,52.485,6.457866004597288
32,49.11,61.05,46.55,53.33,52.50999999999999,6.342596734251148
33,51.79,61.58,46.55,53.33,53.3125,6.228998715684568
34,50.0,60.53,44.83,53.33,52.1725,6.5782387460474565
35,50.89,61.58,50.0,53.33,53.95,5.277859414573297
36,51.34,60.0,48.28,60.0,54.905,6.014368905656962
37,52.23,62.11,53.45,56.67,56.11500000000001,4.4137474629465006
38,50.89,64.21,48.28,63.33,56.677499999999995,8.266548554263741
39,51.34,63.16,48.28,66.67,57.3625,8.925672243590395
40,51.34,62.63,50.0,63.33,56.825,7.133930660348939
41,51.34,65.79,51.72,63.33,58.045,7.591198851301421
42,51.34,65.79,53.45,63.33,58.477500000000006,7.147005783310005
43,51.79,66.84,48.28,60.0,56.7275,8.340884745237362
44,51.34,64.21,50.0,63.33,57.22,7.591552322592963
45,51.79,63.16,50.0,66.67,57.905,8.252726822087352
46,53.12,63.68,53.45,66.67,59.230000000000004,6.973679086393352
47,52.23,63.16,55.17,66.67,59.307500000000005,6.73938857266246
48,53.12,65.79,53.45,66.67,59.75750000000001,7.483641604637858
49,51.79,64.74,53.45,66.67,59.16250000000001,7.625778102375301
50,53.12,66.32,53.45,66.67,59.89,7.629325002908185
51,52.68,66.84,53.45,66.67,59.91000000000001,7.910478283053855
52,52.23,64.74,51.72,66.67,58.84,7.968801666499173
53,52.68,65.79,56.9,63.33,59.675,5.98283377673156
54,53.57,65.26,55.17,66.67,60.167500000000004,6.750754896059157
55,54.02,66.84,58.62,63.33,60.7025,5.584659792682093
56,53.57,65.79,55.17,63.33,59.465,6.003940372788525
57,54.46,65.79,55.17,66.67,60.52250000000001,6.606599604435957
58,55.36,65.79,56.9,66.67,61.18000000000001,5.876024733326664
59,54.46,68.95,58.62,60.0,60.5075,6.101045675401337
60,56.25,68.42,56.9,70.0,62.8925,7.3280892234379
61,56.7,67.89,55.17,70.0,62.44,7.586316629300414
62,57.14,66.84,56.9,66.67,61.8875,5.621787230647091
63,55.8,68.95,56.9,66.67,62.08,6.696660859463222
64,57.59,68.42,56.9,70.0,63.2275,6.9437615886491955
65,56.25,67.89,58.62,66.67,62.3575,5.787246754718518
66,56.7,69.47,55.17,70.0,62.835,7.994808732337919
67,58.04,70.0,55.17,70.0,63.302499999999995,7.821859859820211
68,56.7,70.53,58.62,70.0,63.9625,7.322788061933788
69,57.14,70.0,56.9,70.0,63.51,7.494646978566324
70,58.04,70.53,56.9,70.0,63.8675,7.405004501461609
71,58.04,72.63,58.62,70.0,64.82249999999999,7.577089920719343
72,57.59,70.53,58.62,70.0,64.185,7.03648823396065
73,58.48,71.58,58.62,70.0,64.67,7.096374661285391
74,57.14,68.42,55.17,70.0,62.682500000000005,7.607489182816278
75,58.04,71.58,60.34,70.0,64.99000000000001,6.793457637070143
76,57.59,73.16,58.62,70.0,64.8425,7.89723316527166
77,59.82,71.58,56.9,70.0,64.575,7.303339418832091
78,58.48,70.53,58.62,70.0,64.4075,6.767359775668304
79,59.38,72.63,55.17,70.0,64.295,8.355479240195221
80,58.93,73.16,56.9,73.33,65.58,8.889765651204383
81,58.93,73.68,58.62,66.67,64.47500000000001,7.178163646318841
82,58.48,71.58,56.9,70.0,64.24000000000001,7.61810125074921
83,58.48,70.53,56.9,73.33,64.81,8.325579058940386
84,58.48,72.11,58.62,73.33,65.635,8.19639961609161
85,58.93,72.63,55.17,73.33,65.015,9.328785201371788
86,58.93,72.11,56.9,73.33,65.3175,8.602183346879636
87,59.82,71.58,56.9,73.33,65.4075,8.255573369952366
88,58.48,73.16,56.9,70.0,64.63499999999999,8.148069300965311
89,59.38,73.68,56.9,70.0,64.99000000000001,8.11452196168491
90,60.71,72.63,56.9,70.0,65.06,7.4658466811652815
91,60.27,73.16,56.9,66.67,64.25,7.190442730921834
92,59.82,69.47,53.45,73.33,64.0175,9.05066249877138
93,60.27,72.63,56.9,73.33,65.7825,8.428908094567566
94,58.93,71.05,55.17,70.0,63.787499999999994,7.941361659060742
95,59.82,72.11,51.72,73.33,64.245,10.341690706391615
96,60.71,70.53,56.9,73.33,65.3675,7.819711738080033
97,61.61,71.05,56.9,73.33,65.7225,7.767570941635057
98,60.71,71.05,55.17,73.33,65.065,8.583074429752234
99,60.27,68.95,53.45,66.67,62.33500000000001,6.970363452981966
100,62.5,70.53,55.17,73.33,65.3825,8.21103880963507
101,60.27,68.95,55.17,73.33,64.42999999999999,8.219764797932683
102,61.16,67.89,55.17,73.33,64.3875,7.908115557240338
103,62.05,71.05,55.17,73.33,65.39999999999999,8.380190928612544
104,62.05,69.47,55.17,73.33,65.005,8.056076381630616
105,59.82,70.53,55.17,73.33,64.71249999999999,8.623620179483787
106,60.71,69.47,51.72,66.67,62.1425,7.850075901968507
107,60.27,68.42,50.0,70.0,62.1725,9.16679287791901
108,62.5,67.89,53.45,73.33,64.29249999999999,8.473316450284779
109,60.27,70.53,53.45,73.33,64.395,9.206539342590496
110,62.5,69.47,53.45,70.0,63.855000000000004,7.732815356216215
111,60.71,71.05,51.72,66.67,62.537499999999994,8.364573609375833
112,62.5,70.0,51.72,70.0,63.555,8.64592967817805
113,61.16,68.95,50.0,66.67,61.69500000000001,8.454681149122855
114,61.61,70.0,50.0,70.0,62.9025,9.46738392235856
115,60.27,69.47,51.72,70.0,62.865,8.669473263507227
116,63.84,70.0,51.72,70.0,63.89,8.617339109802593
117,62.05,69.47,50.0,70.0,62.879999999999995,9.32212064571862
118,63.39,71.05,50.0,70.0,63.61,9.68617915726664
119,61.16,69.47,51.72,66.67,62.254999999999995,7.825890790617173
120,62.95,68.42,53.45,70.0,63.705,7.474251356044518
121,61.61,68.42,51.72,70.0,62.9375,8.317276697733861
122,62.5,70.0,50.0,70.0,63.125,9.437293044088436
123,62.95,70.53,50.0,73.33,64.2025,10.434370688578523
124,62.05,66.84,53.45,73.33,63.91749999999999,8.37042959869245
125,61.61,67.89,53.45,73.33,64.07,8.547436262802234
126,63.84,69.47,50.0,70.0,63.3275,9.311954234566805
127,63.39,68.95,50.0,70.0,63.085,9.192854108853608
128,63.39,69.47,51.72,70.0,63.645,8.496809205029066
129,63.84,69.47,53.45,70.0,64.19,7.683415039334179
130,63.39,70.53,51.72,70.0,63.910000000000004,8.751742683603078
131,61.16,70.53,53.45,73.33,64.61749999999999,9.083550609022149
132,63.39,70.0,50.0,70.0,63.3475,9.428132989445295
133,62.95,70.53,55.17,70.0,64.66250000000001,7.210101131976813
134,63.84,70.0,55.17,70.0,64.7525,7.017346958312189
135,62.5,70.53,53.45,70.0,64.12,8.002828666582001
136,64.29,70.53,55.17,73.33,65.83,8.048751455971292
137,61.61,70.0,56.9,73.33,65.46000000000001,7.541984707842713
