epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,31.25,28.95,20.69,13.33,23.555,8.186938784836897
1,33.48,34.21,27.59,10.0,26.32,11.276420826958644
2,33.48,31.58,27.59,16.67,27.330000000000002,7.518603593753296
3,34.38,33.16,29.31,20.0,29.2125,6.51064448934717
4,34.38,32.63,29.31,26.67,30.747500000000002,3.4366298898775822
5,34.38,34.21,31.03,26.67,31.5725,3.613275291661754
6,36.16,33.68,32.76,26.67,32.317499999999995,4.029527474365531
7,37.5,37.89,36.21,26.67,34.567499999999995,5.313720448047676
8,38.84,38.42,36.21,26.67,35.035,5.694737336641027
9,38.39,41.05,34.48,26.67,35.147499999999994,6.2627702869151
10,42.86,38.95,34.48,26.67,35.739999999999995,6.948644951835334
11,41.52,40.53,34.48,26.67,35.8,6.835949092847313
12,41.96,43.16,32.76,36.67,38.6375,4.827286159600098
13,43.3,50.0,37.93,33.33,41.14,7.1755464367995465
14,42.41,49.47,36.21,33.33,40.355000000000004,7.160956640002786
15,41.07,52.11,39.66,33.33,41.542500000000004,7.807779774045885
16,43.3,51.05,31.03,36.67,40.5125,8.631177497885208
17,44.64,48.95,36.21,36.67,41.61750000000001,6.234844959312675
18,43.75,52.63,37.93,36.67,42.745000000000005,7.275829849577298
19,45.54,54.21,41.38,36.67,44.45,7.447572311386666
20,45.54,54.74,34.48,36.67,42.8575,9.253058503363452
21,45.09,56.32,37.93,36.67,44.0025,9.010073529111736
22,45.98,56.32,36.21,36.67,43.795,9.485914118663874
23,46.43,57.89,34.48,36.67,43.86749999999999,10.694641571054794
24,46.88,56.84,36.21,36.67,44.150000000000006,9.789160672226537
25,49.55,58.42,37.93,36.67,45.6425,10.304068371279376
26,48.66,57.89,37.93,40.0,46.12,9.11985014496766
27,51.79,61.05,37.93,40.0,47.6925,10.796500590469115
28,48.66,62.63,39.66,46.67,49.405,9.624636789683722
29,50.89,61.58,37.93,40.0,47.6,10.916858522487134
30,50.0,60.0,39.66,46.67,49.082499999999996,8.458472576850584
31,51.34,60.53,36.21,40.0,47.02,11.065245892734
32,51.34,61.58,36.21,43.33,48.114999999999995,10.898502955299257
33,51.79,61.58,37.93,40.0,47.825,11.016092773756037
34,49.55,62.11,36.21,43.33,47.8,10.987077257699914
35,50.45,61.05,36.21,40.0,46.9275,11.175987279281712
36,51.79,61.05,34.48,43.33,47.662499999999994,11.384350003403796
37,51.34,64.21,36.21,40.0,47.94,12.608322648155857
38,52.23,62.11,34.48,46.67,48.8725,11.525323928925673
39,52.68,62.63,34.48,46.67,49.114999999999995,11.768966253102551
40,52.68,64.21,37.93,46.67,50.3725,11.035175198730043
41,54.91,65.79,37.93,46.67,51.325,11.876917389064669
42,52.23,64.74,36.21,46.67,49.962500000000006,11.881187861489266
43,52.23,64.74,37.93,50.0,51.225,10.983668179013177
44,53.12,65.26,32.76,56.67,51.9525,13.772671914580219
45,53.12,64.74,41.38,53.33,53.1425,9.537541175096788
46,54.91,66.84,37.93,46.67,51.587500000000006,12.307001733430717
47,55.36,64.74,41.38,56.67,54.537499999999994,9.702832490223319
48,54.91,66.32,39.66,50.0,52.7225,11.07125519833531
49,53.12,65.26,37.93,50.0,51.5775,11.22991354968209
50,55.36,67.37,39.66,50.0,53.0975,11.532332446936602
51,54.46,67.89,39.66,53.33,53.834999999999994,11.534286569470463
52,54.46,65.26,39.66,56.67,54.0125,10.64210309728925
53,54.02,68.42,39.66,50.0,53.025,11.913156592608024
54,54.46,69.47,39.66,56.67,55.065,12.216929510587622
55,54.46,70.0,37.93,50.0,53.097500000000004,13.256425800343015
56,55.36,70.0,44.83,63.33,58.379999999999995,10.83589405632964
57,57.14,68.95,39.66,60.0,56.4375,12.26420367030272
58,55.8,68.95,41.38,60.0,56.5325,11.494240224274648
59,55.8,68.42,39.66,60.0,55.97,12.07322657784571
