epoch,local_time_s,peak_vram_mb
0,191.74,5466.47
1,191.68,5551.42
2,191.62,5553.0
3,191.76,5550.3
4,191.83,5549.99
5,191.54,5549.74
6,191.35,5550.3
7,191.24,5549.67
8,191.38,5549.05
9,191.38,5550.05
10,191.41,5550.05
11,191.44,5549.17
12,191.5,5548.55
13,191.4,5547.67
14,191.29,5548.55
15,191.4,5548.55
16,191.45,5547.17
17,191.46,5546.55
18,191.33,5546.05
19,191.4,5545.42
20,191.45,5545.3
21,191.36,5545.49
22,191.38,5543.42
23,191.3,5544.86
24,191.56,5544.67
25,191.32,5544.24
26,191.25,5545.49
27,191.35,5545.49
28,191.44,5545.17
29,191.53,5546.67
30,191.45,5544.8
31,191.36,5546.05
32,191.65,5546.47
33,191.47,5545.42
34,191.53,5544.8
35,191.59,5544.92
36,191.44,5545.36
37,191.57,5544.92
38,191.45,5544.3
39,191.52,5543.92
40,191.49,5543.17
41,191.57,5544.42
42,191.38,5545.67
43,191.91,5545.67
44,191.42,5545.67
45,191.5,5546.05
46,191.56,5546.05
47,191.62,5545.17
48,191.49,5544.3
49,191.45,5543.42
50,191.42,5543.42
51,191.62,5543.17
52,191.55,5544.92
53,191.63,5545.35
54,191.36,5544.3
55,191.43,5542.61
56,191.37,5541.85
57,191.74,5542.3
58,191.52,5544.05
59,191.58,5543.42
60,191.31,5542.86
61,191.4,5543.55
62,191.35,5544.55
63,191.26,5544.36
64,191.36,5545.17
65,191.52,5544.3
66,191.45,5543.8
67,191.25,5544.17
68,191.45,5544.72
69,191.54,5543.3
70,191.49,5544.6
71,191.51,5544.17
72,191.47,5543.3
73,191.3,5542.85
74,191.51,5542.3
75,191.78,5543.92
76,191.41,5542.55
77,191.42,5542.85
78,191.37,5542.42
79,191.42,5543.3
80,191.24,5543.92
81,191.27,5543.92
82,191.38,5543.3
83,191.55,5542.42
84,191.27,5544.05
85,191.21,5545.8
86,191.12,5544.92
87,191.31,5543.22
88,191.24,5543.42
89,191.39,5543.6
90,191.25,5545.05
91,191.21,5545.05
92,191.27,5545.17
93,191.34,5543.74
94,191.36,5544.49
95,191.38,5544.17
96,191.25,5543.8
97,191.34,5544.17
98,191.25,5544.17
99,191.33,5544.17
100,191.43,5544.05
101,191.28,5543.8
102,191.39,5544.22
103,191.37,5542.3
104,191.16,5542.17
105,191.31,5542.42
106,191.26,5543.05
107,191.33,5541.92
108,191.71,5540.85
109,191.31,5541.3
110,191.15,5540.3
111,191.48,5541.42
112,191.59,5539.55
113,191.52,5541.91
114,191.47,5542.61
115,191.23,5543.17
116,191.49,5541.92
117,191.24,5541.92
118,191.38,5541.3
119,191.34,5542.17
120,191.26,5542.8
121,191.45,5543.74
122,191.23,5543.17
123,191.31,5541.92
124,191.41,5541.05
125,191.34,5542.3
126,191.29,5543.17
127,191.33,5542.3
128,191.35,5542.17
129,191.3,5541.05
130,191.37,5540.11
131,191.35,5540.17
132,191.3,5540.55
133,191.14,5539.8
134,191.14,5540.67
135,191.21,5542.8
136,191.28,5542.42
137,191.29,5540.05
138,191.3,5540.05
139,191.28,5541.05
140,191.3,5541.05
141,191.42,5538.3
142,191.41,5542.3
143,191.27,5542.3
144,191.35,5541.05
145,191.25,5541.05
146,191.34,5541.92
147,191.37,5542.3
148,191.52,5543.17
149,191.16,5541.3
150,191.41,5542.8
151,191.25,5542.24
152,191.55,5541.42
153,191.49,5542.3
154,191.27,5541.92
155,191.27,5543.67
156,191.35,5544.92
157,191.19,5543.17
158,191.31,5543.17
159,191.35,5543.11
160,191.26,5542.55
161,191.29,5541.67
162,191.28,5542.05
163,191.33,5542.05
164,191.33,5542.92
165,191.38,5543.42
166,191.27,5543.8
167,191.16,5543.17
168,191.38,5543.17
169,191.4,5542.3
170,191.17,5542.3
171,191.25,5541.3
172,191.2,5541.3
173,191.32,5542.86
174,191.38,5542.05
175,191.43,5540.3
176,191.39,5541.42
177,191.48,5543.17
178,191.32,5543.6
179,191.56,5544.61
180,191.33,5544.3
181,191.17,5543.67
182,191.34,5543.8
183,191.16,5544.05
184,191.26,5544.05
185,191.21,5544.47
186,191.18,5544.05
187,191.44,5544.05
188,191.25,5544.55
189,191.4,5545.35
190,191.43,5544.47
191,191.49,5544.05
192,191.45,5544.92
193,191.28,5544.05
194,191.34,5543.17
195,191.21,5542.05
196,191.25,5543.42
197,191.32,5543.05
198,191.26,5543.92
199,191.21,5543.42
