epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,30.8,28.95,24.14,16.67,25.14,6.305886139156018
1,18.75,23.68,25.86,13.33,20.404999999999998,5.576058942777895
2,35.71,34.21,24.14,30.0,31.015,5.181598852349212
3,37.05,37.37,31.03,20.0,31.362499999999997,8.116950884825327
4,35.71,34.21,29.31,26.67,31.475,4.210728361380408
5,40.18,37.89,32.76,23.33,33.53999999999999,7.480298568016298
6,40.18,40.0,31.03,33.33,36.135000000000005,4.662949710215627
7,39.73,41.58,32.76,30.0,36.0175,5.524058743351666
8,40.18,42.11,31.03,30.0,35.83,6.201876060247146
9,39.73,43.68,37.93,30.0,37.835,5.748950628882921
10,43.75,46.84,36.21,33.33,40.0325,6.316562224290469
11,44.64,46.32,32.76,33.33,39.2625,7.2157899775423076
12,45.09,50.53,34.48,33.33,40.8575,8.342802786434147
13,45.98,50.0,36.21,36.67,42.215,6.869946627643234
14,47.77,54.74,34.48,36.67,43.415000000000006,9.531542372564896
15,43.75,53.16,36.21,36.67,42.447500000000005,7.931794143403704
16,45.54,55.26,34.48,36.67,42.9875,9.476600568417629
17,45.09,52.63,36.21,36.67,42.650000000000006,7.805724395168801
18,46.43,54.74,36.21,36.67,43.5125,8.84524118759159
19,45.98,56.32,37.93,33.33,43.39,10.081471453446996
20,48.66,57.37,34.48,33.33,43.459999999999994,11.60151426897943
21,45.98,60.53,36.21,36.67,44.8475,11.382754133629817
22,47.77,59.47,32.76,43.33,45.832499999999996,11.058753320334079
23,46.43,61.05,34.48,43.33,46.32249999999999,11.047030898239884
24,48.21,60.0,32.76,46.67,46.91,11.155240920751108
25,47.32,65.26,34.48,46.67,48.432500000000005,12.677816255175813
26,50.45,61.58,36.21,50.0,49.56,10.387309565041372
27,50.45,63.16,32.76,43.33,47.425,12.761558159827768
28,49.11,66.84,36.21,53.33,51.3725,12.62399401932685
29,50.89,65.26,32.76,46.67,48.894999999999996,13.380110861523782
30,50.89,62.63,39.66,53.33,51.6275,9.446665637497006
31,50.89,65.26,37.93,43.33,49.352500000000006,11.862496575341973
32,51.79,65.79,37.93,56.67,53.045,11.627752720682247
33,50.89,64.74,36.21,53.33,51.292500000000004,11.727893743834253
34,50.45,66.84,39.66,53.33,52.56999999999999,11.185898861215106
35,52.23,64.74,37.93,53.33,52.057500000000005,10.986068071274028
36,52.68,66.32,39.66,60.0,54.665,11.45122264214612
37,54.02,66.84,37.93,46.67,51.36500000000001,12.234744241980161
38,53.12,66.84,39.66,60.0,54.905,11.604589609288217
39,53.12,67.37,36.21,66.67,55.8425,14.639729904156932
40,53.57,67.89,37.93,60.0,54.847500000000004,12.708119123877722
41,52.68,66.32,41.38,60.0,55.095,10.708144875125036
42,53.57,66.32,37.93,60.0,54.455,12.184472358976674
43,52.23,66.84,39.66,63.33,55.515,12.267872676222233
44,54.91,68.42,37.93,60.0,55.315,12.859399934159708
45,54.46,68.95,39.66,66.67,57.435,13.449680293598062
46,56.7,68.95,36.21,56.67,54.63250000000001,13.57455063712976
47,54.46,66.32,37.93,66.67,56.345,13.524936229054834
48,54.46,70.0,37.93,63.33,56.43000000000001,13.879070574069432
49,54.91,67.89,36.21,63.33,55.584999999999994,13.991000679007916
50,55.36,71.58,41.38,66.67,58.7475,13.423167472694363
51,56.7,69.47,41.38,70.0,59.3875,13.487953575938295
52,54.91,70.53,39.66,70.0,58.775,14.657217789653444
53,55.36,70.53,36.21,66.67,57.192499999999995,15.398433632461886
54,56.7,71.05,41.38,66.67,58.95,13.162773264020009
55,54.91,72.63,36.21,63.33,56.769999999999996,15.499961290274241
56,56.7,73.16,43.1,70.0,60.74,13.753729191265423
57,58.04,73.68,37.93,70.0,59.9125,16.10422589467332
58,57.14,72.63,41.38,70.0,60.287499999999994,14.306994501525
59,57.14,73.68,37.93,63.33,58.019999999999996,15.031236365205183
60,57.59,71.58,37.93,66.67,58.44250000000001,14.852329503033074
61,57.59,72.63,36.21,66.67,58.275000000000006,15.956978619609247
62,57.59,73.68,37.93,66.67,58.9675,15.49473109371914
