epoch,local_time_s,peak_vram_mb
0,197.16,6264.86
1,197.3,6385.04
2,197.39,6384.16
3,197.44,6384.86
4,197.62,6384.16
5,197.37,6384.16
6,197.28,6381.11
7,197.25,6377.79
8,197.3,6376.96
9,197.3,6378.54
10,197.57,6377.66
11,197.22,6377.04
12,197.31,6378.29
13,197.41,6375.16
14,197.22,6376.04
15,197.29,6377.79
16,197.37,6377.79
17,197.25,6377.79
18,197.29,6376.54
19,197.4,6377.41
20,197.04,6377.79
21,197.12,6376.04
22,197.37,6376.36
23,197.25,6376.91
24,197.27,6376.29
25,195.15,6373.97
26,192.04,6374.16
27,192.15,6376.41
28,192.2,6376.04
29,192.13,6375.72
30,191.69,6375.04
31,191.93,6375.91
32,192.01,6376.54
33,191.9,6377.41
34,191.95,6375.16
35,191.84,6377.79
36,191.78,6376.91
37,191.51,6375.91
38,191.72,6376.79
39,191.84,6376.54
40,191.64,6376.54
41,191.7,6377.41
42,191.51,6377.41
43,191.85,6376.79
44,191.71,6376.58
45,191.87,6377.16
46,191.97,6375.72
47,191.74,6377.79
48,191.73,6378.04
49,191.95,6377.79
50,191.77,6377.79
51,191.79,6378.29
52,192.07,6376.96
53,191.72,6376.96
54,191.86,6377.41
55,191.98,6378.66
56,191.9,6379.72
57,191.84,6378.29
58,191.98,6376.04
59,191.96,6378.66
60,191.62,6378.29
61,191.85,6377.79
62,192.08,6376.91
63,191.81,6375.97
64,192.15,6375.66
65,192.05,6376.04
66,192.26,6376.04
67,192.75,6374.54
68,192.39,6376.04
69,192.22,6376.04
70,191.78,6378.35
71,191.81,6379.16
72,191.87,6378.29
73,191.79,6378.29
74,191.73,6375.16
75,191.73,6374.79
76,191.88,6376.79
77,191.69,6375.91
78,191.64,6375.29
79,191.86,6377.16
80,191.84,6376.29
81,191.68,6375.66
82,191.66,6375.91
83,191.98,6376.79
84,191.91,6376.96
85,191.7,6377.41
86,191.72,6376.79
87,191.68,6375.91
88,191.94,6376.79
89,191.72,6377.97
90,191.58,6377.41
91,191.76,6374.29
92,191.77,6375.66
93,191.55,6374.79
94,191.7,6374.29
95,191.77,6374.29
96,191.76,6374.96
97,191.88,6376.54
98,191.74,6376.96
99,191.54,6375.66
100,191.62,6375.91
101,191.83,6377.41
102,191.55,6375.66
103,191.86,6376.85
104,191.83,6376.91
105,191.86,6377.79
106,191.93,6378.29
107,191.98,6376.35
108,192.06,6378.97
109,191.8,6376.66
110,191.82,6374.91
111,191.99,6374.6
112,191.98,6372.79
113,191.75,6374.54
114,192.14,6374.54
115,191.89,6374.54
116,191.68,6374.54
117,191.79,6375.41
118,191.78,6376.66
119,191.64,6375.79
120,191.87,6375.79
121,191.85,6376.66
122,191.7,6375.66
123,191.59,6373.91
124,191.56,6374.79
125,191.66,6374.91
126,191.77,6375.49
127,191.57,6375.41
128,191.65,6376.85
129,191.71,6377.16
130,191.76,6375.66
131,191.74,6375.41
132,191.56,6373.54
133,191.54,6373.54
134,191.68,6373.91
135,191.73,6374.47
136,191.72,6376.16
137,191.68,6375.04
138,191.83,6373.91
139,191.61,6375.79
140,191.84,6373.66
141,191.72,6373.91
142,191.7,6374.41
143,191.94,6377.16
144,191.59,6376.29
145,191.79,6375.79
146,191.72,6374.54
147,191.62,6376.66
148,193.37,6374.79
149,196.3,6376.29
150,191.89,6375.41
151,191.57,6374.54
152,191.61,6375.79
153,191.7,6376.91
154,191.68,6375.04
155,191.86,6376.29
156,191.74,6376.29
157,192.03,6375.04
158,191.97,6375.6
159,191.79,6376.29
160,191.71,6376.29
161,191.93,6375.41
162,191.76,6376.29
163,191.67,6375.41
164,191.91,6375.41
165,191.95,6376.29
166,191.69,6376.54
167,191.95,6375.66
168,191.95,6375.79
169,191.81,6377.08
170,191.77,6375.79
171,191.92,6374.91
172,191.76,6375.04
173,192.1,6376.29
174,191.89,6376.29
175,191.75,6376.79
176,191.81,6375.66
177,191.69,6374.04
178,191.7,6374.54
179,192.02,6374.91
180,191.68,6374.91
181,191.72,6373.66
182,191.95,6377.72
183,192.34,6378.04
184,191.86,6376.29
185,191.94,6377.16
186,191.83,6377.16
187,191.82,6376.16
188,191.89,6377.16
189,191.75,6376.66
190,191.9,6375.96
191,191.99,6375.79
192,191.86,6376.66
193,191.8,6377.54
194,191.97,6376.29
195,191.83,6376.29
196,191.76,6374.54
197,192.02,6374.04
198,191.84,6375.79
199,191.8,6375.79
