epoch,local_time_s,peak_vram_mb
0,62.41,2428.9
1,61.52,2428.9
2,61.91,2426.57
3,61.96,2425.46
4,62.14,2424.15
5,61.97,2424.09
6,62.02,2422.65
7,61.58,2424.15
8,61.82,2425.21
9,61.68,2423.98
10,61.68,2424.09
11,61.79,2423.84
12,61.67,2424.96
13,62.04,2424.96
14,61.87,2424.29
15,62.07,2424.6
16,62.03,2424.21
17,61.81,2424.13
18,62.5,2425.07
19,62.3,2423.77
20,61.82,2422.84
21,61.53,2423.71
22,61.84,2422.52
23,62.09,2422.34
24,61.62,2422.34
25,62.06,2423.88
26,62.09,2424.34
27,61.71,2423.84
28,61.93,2422.71
29,62.28,2425.71
30,62.17,2423.7
31,62.3,2422.84
32,62.19,2421.71
33,61.95,2421.34
34,62.18,2422.71
35,62.01,2424.59
36,61.82,2423.09
37,61.87,2421.21
38,61.95,2420.59
39,61.91,2421.46
40,62.11,2422.21
41,61.57,2422.9
42,62.02,2421.46
43,61.59,2421.96
44,61.86,2421.59
45,61.93,2422.84
46,61.81,2423.46
47,62.49,2420.59
48,61.72,2422.46
49,61.61,2423.59
50,61.89,2422.27
51,61.93,2422.9
52,62.33,2422.96
53,61.79,2422.77
54,61.76,2422.77
55,61.95,2422.4
56,61.91,2423.13
57,61.61,2423.13
58,61.6,2423.27
59,61.73,2423.09
60,62.04,2422.84
61,61.81,2423.02
62,61.84,2422.84
63,61.83,2422.71
64,61.61,2423.21
65,61.85,2422.17
66,61.57,2422.4
67,61.99,2422.4
68,61.82,2423.59
69,61.57,2423.59
70,62.16,2424.77
71,61.81,2423.71
72,61.71,2423.59
73,61.63,2423.34
74,62.81,2423.71
75,61.98,2424.4
76,61.78,2424.09
77,62.25,2423.71
78,62.01,2424.84
79,61.9,2423.27
80,62.16,2423.09
81,62.11,2421.84
82,62.28,2420.96
83,62.22,2421.84
84,61.73,2422.21
85,61.72,2422.21
86,61.58,2423.13
87,62.22,2423.38
88,61.98,2423.59
89,61.71,2422.84
90,61.85,2422.96
91,62.02,2421.34
92,61.92,2420.96
93,62.04,2422.09
94,61.97,2421.96
95,62.3,2421.21
96,61.97,2421.21
97,61.95,2422.21
98,61.95,2423.09
99,61.66,2424.71
100,62.17,2423.46
101,62.02,2422.59
102,62.19,2422.65
103,61.81,2422.96
104,61.8,2423.59
105,62.2,2423.34
106,62.06,2423.09
107,61.81,2423.09
108,61.8,2423.59
109,62.1,2423.71
110,62.25,2424.84
111,61.84,2422.77
112,62.14,2422.84
113,62.26,2421.46
114,61.81,2424.09
115,62.22,2424.09
116,62.25,2424.09
117,61.7,2424.09
118,61.83,2423.21
119,62.06,2423.88
120,61.88,2422.59
121,61.7,2422.46
122,61.83,2422.84
123,62.11,2422.71
124,62.19,2421.96
125,62.17,2422.09
126,61.65,2422.4
127,61.86,2422.88
128,61.91,2423.16
129,62.22,2423.26
130,61.62,2424.79
131,62.34,2424.96
132,61.8,2423.77
133,61.61,2424.13
134,62.19,2424.27
135,61.73,2423.65
136,61.91,2424.71
137,61.6,2424.41
138,62.03,2424.09
139,61.8,2425.34
140,62.07,2424.77
141,61.84,2425.34
142,61.75,2423.85
143,61.71,2425.84
144,62.01,2425.21
145,62.01,2426.07
146,62.4,2426.96
147,61.72,2423.91
148,61.89,2423.77
149,62.12,2424.91
150,62.13,2425.09
151,62.34,2424.34
152,61.77,2422.71
153,62.14,2422.96
154,61.83,2422.71
155,61.97,2422.46
156,61.76,2422.09
157,61.91,2422.46
158,62.26,2422.29
159,61.8,2422.16
160,61.72,2422.59
161,62.48,2422.51
162,61.98,2421.09
163,62.27,2421.84
164,61.65,2422.71
165,62.21,2422.09
166,61.66,2422.88
167,62.08,2424.34
168,62.2,2423.63
169,62.03,2422.71
170,62.06,2421.71
171,61.88,2422.09
172,61.9,2423.38
173,61.83,2423.16
174,62.16,2424.71
175,62.27,2422.84
176,62.12,2423.15
177,62.35,2423.59
178,61.96,2423.65
179,61.74,2422.91
180,61.8,2421.29
181,61.85,2423.09
182,61.99,2422.71
183,61.95,2423.34
184,62.07,2422.96
185,61.61,2422.84
186,61.76,2423.02
187,62.05,2423.46
188,62.24,2423.59
189,62.19,2422.21
190,62.1,2422.4
191,61.67,2422.34
192,62.13,2422.4
193,61.65,2423.46
194,61.74,2422.71
195,61.87,2423.09
196,62.14,2423.26
197,61.85,2424.38
198,62.28,2423.04
199,62.18,2423.16
