epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,19.64,14.21,10.34,6.67,12.715,5.548972877929753
1,21.43,15.79,25.86,16.67,19.9375,4.661254301866254
2,20.09,15.79,32.76,23.33,22.992499999999996,7.2069058316774655
3,22.32,17.37,31.03,23.33,23.5125,5.647963497285253
4,22.77,16.32,32.76,33.33,26.294999999999998,8.230303761101409
5,23.21,17.89,36.21,30.0,26.8275,7.980419266346015
6,22.32,19.47,36.21,30.0,27.0,7.581279575375124
7,22.32,21.58,37.93,30.0,27.9575,7.661080754915284
8,22.77,23.68,43.1,30.0,29.887500000000003,9.37682737745911
9,22.77,24.21,44.83,30.0,30.4525,10.081449548552033
10,24.11,24.21,39.66,33.33,30.327499999999997,7.576095630336247
11,25.89,24.21,41.38,30.0,30.37,7.732464031600794
12,25.45,23.68,43.1,30.0,30.557499999999997,8.775186132878702
13,23.21,27.89,39.66,30.0,30.189999999999998,6.921642386986871
14,24.55,24.74,41.38,33.33,31.0,8.040800126023946
15,25.89,25.26,46.55,40.0,34.425,10.566293894581326
16,26.34,24.74,39.66,40.0,32.685,8.277316392809125
17,25.89,26.32,37.93,36.67,31.7025,6.486248915976012
18,24.55,25.79,36.21,33.33,29.970000000000002,5.688467866364955
19,26.34,24.21,34.48,33.33,29.59,5.079586597352188
20,26.34,24.21,34.48,33.33,29.59,5.079586597352188
21,26.34,25.26,39.66,40.0,32.815,8.113402492173057
22,27.68,25.79,48.28,36.67,34.605000000000004,10.278289416694461
23,26.79,23.16,37.93,33.33,30.3025,6.600441273127123
24,23.66,28.95,37.93,33.33,30.967499999999998,6.097203593998372
25,29.02,32.63,31.03,30.0,30.67,1.5430057247679514
26,25.0,30.0,34.48,26.67,29.037499999999998,4.181454093175401
27,25.45,25.79,41.38,33.33,31.4875,7.5314734060917115
28,27.23,26.32,48.28,33.33,33.79,10.148993381940235
29,29.02,26.32,43.1,40.0,34.61,8.187478244245904
30,32.59,34.74,36.21,40.0,35.885000000000005,3.1201976433125713
