epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,21.43,17.89,15.52,20.0,18.71,2.5762375666851844
1,13.39,11.05,25.86,16.67,16.7425,6.5007147042972635
2,28.57,25.79,37.93,30.0,30.572499999999998,5.207138529621299
3,26.79,24.21,37.93,33.33,30.565,6.2323109678513315
4,29.02,17.89,36.21,36.67,29.9475,8.768399226768818
5,31.25,22.11,37.93,33.33,31.154999999999998,6.644604327322031
6,33.04,23.16,36.21,36.67,32.269999999999996,6.2840698065293115
7,34.38,24.74,39.66,36.67,33.8625,6.454478419412887
8,33.93,27.89,41.38,36.67,34.9675,5.632822708613034
9,33.93,28.42,39.66,36.67,34.67,4.778779481555235
10,36.61,35.26,37.93,40.0,37.45,2.0194553721238813
11,34.38,33.16,36.21,40.0,35.9375,2.984318738562176
12,38.39,33.68,36.21,50.0,39.57,7.214776503814931
13,37.95,32.11,37.93,46.67,38.665000000000006,6.002763252591816
14,37.95,34.74,43.1,46.67,40.614999999999995,5.305848973852661
15,41.52,41.58,43.1,50.0,44.05,4.033476581478233
16,40.18,41.58,37.93,56.67,44.09,8.520371666384827
17,45.09,47.89,39.66,46.67,44.8275,3.6306874922893986
18,38.84,36.84,43.1,53.33,43.0275,7.3477224362383184
19,46.88,48.42,36.21,53.33,46.21000000000001,7.211735805846836
20,46.88,51.05,44.83,56.67,49.8575,5.227283392610992
21,44.64,46.84,39.66,50.0,45.285,4.347639206128618
22,47.32,49.47,39.66,53.33,47.44499999999999,5.754873297186192
23,47.77,51.05,41.38,56.67,49.2175,6.387995903776602
24,46.88,55.26,39.66,56.67,49.61750000000001,7.920885367179608
25,48.21,52.11,41.38,56.67,49.5925,6.47521621260634
26,49.55,46.32,48.28,56.67,50.205,4.510140426490806
27,48.66,48.42,44.83,53.33,48.81,3.4854650574445105
28,49.55,54.74,43.1,56.67,51.015,6.073112875618237
29,50.0,54.74,41.38,56.67,50.697500000000005,6.814564671838302
30,50.45,54.21,43.1,53.33,50.272499999999994,5.044088123734555
31,48.66,52.63,41.38,53.33,49.0,5.480444020940881
32,49.11,54.74,39.66,53.33,49.209999999999994,6.801171467720349
33,51.79,56.84,39.66,56.67,51.239999999999995,8.06729611869223
34,52.23,54.74,41.38,60.0,52.0875,7.838245445676389
35,52.23,56.84,39.66,56.67,51.349999999999994,8.080284648451443
36,51.79,56.32,41.38,53.33,50.705,6.494913394341759
37,54.91,56.84,44.83,53.33,52.47749999999999,5.296523230698922
38,53.57,57.89,41.38,56.67,52.3775,7.553813054786745
39,54.91,56.32,39.66,70.0,55.2225,12.407901716245178
40,54.46,57.37,44.83,63.33,54.9975,7.7185118384310325
41,54.91,58.42,43.1,66.67,55.775000000000006,9.782653014392364
42,55.36,56.84,41.38,60.0,53.395,8.24045912960356
43,55.36,57.89,37.93,66.67,54.462500000000006,12.040208677593592
44,56.25,57.37,41.38,63.33,54.582499999999996,9.334085832760126
45,54.91,58.95,46.55,66.67,56.769999999999996,8.379944311668588
46,55.8,58.42,43.1,66.67,55.9975,9.766529151477851
47,55.8,57.37,46.55,73.33,58.26249999999999,11.12164069131289
48,56.7,60.53,46.55,76.67,60.1125,12.515479415507823
49,56.7,61.05,48.28,70.0,59.0075,9.044531957671072
50,57.14,61.58,46.55,66.67,57.985,8.560110980588979
51,55.36,61.58,46.55,70.0,58.3725,9.905107689133589
52,57.14,61.58,46.55,66.67,57.985,8.560110980588979
53,54.46,62.63,48.28,63.33,57.175,7.167828587980231
54,58.04,65.79,50.0,70.0,60.9575,8.826068868225915
55,58.93,62.63,51.72,70.0,60.82,7.614254176652278
56,57.14,63.16,44.83,66.67,57.95,9.59119387771929
57,59.38,66.32,50.0,73.33,62.25749999999999,9.96042962594151
58,60.27,60.53,48.28,70.0,59.77,8.897576449048733
