epoch,local_time_s,peak_vram_mb
0,98.0,4745.71
1,98.34,4864.51
2,98.29,4864.51
3,98.35,4864.51
4,98.1,4863.94
5,98.32,4862.94
6,98.12,4865.07
7,98.07,4864.51
8,98.18,4864.51
9,98.16,4863.94
10,98.14,4863.94
11,98.26,4864.51
12,98.02,4862.93
13,98.06,4864.13
14,98.03,4865.01
15,98.12,4863.51
16,98.05,4862.38
17,98.11,4864.13
18,98.2,4864.13
19,98.12,4864.13
20,98.13,4863.43
21,98.19,4862.62
22,98.07,4862.3
23,98.06,4861.87
24,98.08,4863.18
25,98.27,4861.43
26,98.14,4861.49
27,98.14,4862.05
28,98.23,4861.43
29,98.15,4861.18
30,98.07,4862.05
31,98.31,4862.05
32,98.1,4862.05
33,98.14,4862.05
34,98.21,4861.18
35,98.14,4862.05
36,98.12,4860.73
37,98.11,4863.24
38,98.32,4863.24
39,98.13,4860.3
40,98.12,4861.18
41,98.15,4862.05
42,98.13,4860.55
43,98.18,4860.3
44,98.16,4860.55
45,98.11,4861.18
46,98.13,4860.55
47,98.08,4862.05
48,98.36,4863.8
49,98.18,4862.05
50,98.13,4861.49
51,98.3,4861.3
52,98.15,4862.3
53,98.05,4862.3
54,98.18,4861.18
55,98.15,4859.93
56,98.15,4860.55
57,98.15,4862.05
58,98.16,4861.43
59,98.07,4861.94
60,98.19,4863.18
61,98.18,4862.05
62,98.16,4862.05
63,98.18,4862.93
64,98.53,4861.18
65,99.33,4859.68
66,98.87,4860.3
67,98.91,4860.3
68,98.58,4862.05
69,98.19,4862.05
70,98.22,4862.93
71,98.18,4862.93
72,98.21,4862.23
73,98.06,4862.93
74,98.08,4860.93
75,98.24,4860.05
76,98.1,4859.18
77,98.05,4860.05
78,98.26,4859.63
79,98.02,4860.93
80,98.03,4859.18
81,98.03,4860.93
82,98.02,4860.93
83,98.14,4859.18
84,98.13,4859.18
85,98.25,4860.05
86,97.99,4859.49
87,98.03,4859.18
88,98.25,4860.05
89,97.99,4861.8
90,98.16,4861.24
91,98.18,4858.55
92,98.05,4860.37
93,98.18,4860.93
94,98.39,4857.99
95,98.28,4858.3
96,98.16,4859.18
97,98.24,4859.18
98,98.18,4859.18
99,98.16,4859.18
100,98.26,4860.05
101,98.16,4860.93
102,98.09,4859.43
103,98.15,4860.93
104,98.06,4860.05
105,98.1,4860.93
106,98.27,4860.93
107,98.03,4860.05
108,98.1,4858.76
109,98.14,4858.3
110,98.22,4858.48
111,98.3,4858.48
112,98.04,4858.55
113,98.01,4858.3
114,98.07,4857.43
115,98.01,4860.93
116,98.06,4860.93
117,98.0,4858.3
118,98.1,4858.85
119,98.09,4860.93
120,98.08,4861.18
121,98.11,4861.24
122,97.95,4860.37
123,98.39,4860.05
124,98.36,4860.93
125,97.95,4860.05
126,98.06,4860.93
127,98.0,4860.93
128,98.03,4860.93
129,98.03,4861.8
130,98.1,4861.8
131,98.15,4861.8
132,98.01,4860.93
133,98.18,4861.23
134,98.19,4859.18
135,98.11,4860.05
136,98.0,4859.37
137,98.16,4860.05
138,98.12,4860.05
139,98.07,4860.3
140,97.97,4860.23
141,98.31,4859.93
142,98.06,4858.93
143,98.17,4858.93
144,98.27,4858.93
145,97.99,4858.93
146,98.03,4858.05
147,98.21,4858.3
148,98.03,4859.1
149,98.07,4858.05
150,98.11,4858.05
151,98.21,4858.76
152,98.05,4859.18
153,98.08,4859.18
154,98.24,4860.05
155,97.95,4859.8
156,98.06,4860.68
157,98.28,4858.93
158,98.04,4858.93
159,98.04,4857.18
160,98.09,4860.05
161,98.09,4859.48
162,97.99,4860.68
163,98.01,4860.68
164,98.16,4860.68
165,98.16,4860.68
166,98.04,4860.68
167,98.11,4859.8
168,98.07,4859.8
169,98.39,4860.23
170,98.19,4859.8
171,98.43,4859.8
172,98.23,4859.8
173,98.06,4859.8
174,98.2,4860.68
175,98.21,4860.68
176,98.07,4859.8
177,98.23,4860.68
178,98.06,4860.05
179,98.14,4858.93
180,98.14,4858.93
181,98.29,4858.93
182,98.13,4858.51
183,98.22,4858.3
184,98.17,4859.8
185,98.0,4858.93
186,98.19,4857.18
187,98.16,4858.05
188,98.08,4858.93
189,98.12,4858.93
190,97.97,4857.68
191,98.26,4858.93
192,98.2,4858.3
193,98.17,4858.3
194,98.17,4859.18
195,98.22,4857.18
196,98.12,4858.98
197,98.04,4860.12
198,98.08,4860.99
199,98.09,4858.93
